English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which is the lower parts of the main part of human brain?,মানব মস্তিষ্কের প্রধান অংশের নিচের অংশগুলো কী কী?,Thalamus and pons,Mesulla and Pons,Thalamus and Hypothalamus,Hypothalamus and Medulla,থ্যালামাস ও পনস,মেডুলা ও পনস,থ্যালামাস ও হাইপোথ্যালঅমাস,হাইপোথ্যালামাস ও মেডুলা,c
"The electronic configuration of an element is 2,8,5 - Which is the element?","একটি মৌলের ইলেকট্রন বিন্যাস ২, ৮,৫ হলে মৌলটি কী?",Chlorine,Fluorine,Sulphur,Phosphorus,ক্লোরিন,ফ্লোরিন,সালফার,ফসফরাস,d
What is the mass number of second isotope of Carbon?,কার্বনের দ্বিতীয় আইসোটোপের ভরসংখ্যা কত?,7,8,12,13,7,8,12,13,d
What is the chemical name of vinegar?,ভিনেগারের রাসায়নিক নাম কী?,Cirtic acid,Acetic Acid,Maleic Acid,Hydrochloric acid,সাইট্রিক এসিড,এসিটিক এসিড,ম্যালিক এসিড,হাইড্রোক্লোরিক এসিড,b
Which part of the following protectes the eye from external harmfrl effects?,নিচের কোন অংশটি চক্ষুকে বাহিরের বিভিন্ন প্রকার অনিষ্ট হতে রক্ষা করে?,Sclcra,Iris,Eye-ball,Cornea,শ্বেতমন্ডল,আইরিস,অক্ষিগোলক,কর্ণিয়া,a
"Protein is formed by-
 i. Oxygen and Chlorine 
 ii. Carbon and Hydrogen 
 iii. Sulphur and Nitrogen 
 Which one is correct?","আমিষ গঠিত হয়-
 i. অক্সিজেন ও ক্লোরিন দিয়ে
 ii. কার্বন ও হাইড্রোজেন দিয়ে
 iii. সালফার ও নাইট্রোজেন দিয়ে 
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
In a drycell which of the following acts as cathode?,শুষ্ককোষে কোনটি ব্যাথোড হিসাবে কাজ করে?,manganese dioxide,carbon rod,Zinc container,Metal cap,ম্যাঙ্গানিজ ডাইঅক্সাইড,কার্বন দন্ড,দস্তার চোঙ,ধাতব টুপি,*
"The value of the weight of an object-
 i. depends on its mass 
 ii. Difference in different places 
 iii. Is maximum in pole region 
 Which on is correct?","বস্তুর ওজনের মান- 
 i. বস্তুর ভরের উপর নির্ভরশীল 
 ii. স্থানভেদে ভিন্ন হয় 
 iii. মেরু অঞ্চলে সবচেয়ে বেশি
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"(i) CaCO_{3}\xrightarrow[]{Heat}'X' + CO_{2}
 (ii) 'X' + H_{2}O\rightarrow 'Y'
 Which is the characteristics of 'X'compound?","(i) CaCO_{3}\xrightarrow[]{তাপ}'X' + CO_{2}
(ii) 'X' + H_{2}O\rightarrow 'Y'
x যৌগের বৈশিষ্ট্য কোনটি?",Gives H+ ion water solution,It feels slippery when touched,Ncutral substance,Does not dissolve in water,জলীয় দ্রবণে H আয়ন দেয়,স্পর্শ করলে পিচ্ছিল অনুভূত হয়,নিরপেক্ষ জাতীয় পদার্থ,পানিতে অদ্রবণীয়,b
"(i) CaCO_{3}\xrightarrow[]{Heat}'X' + CO_{2}
 (ii) 'X' + H_{2}O\rightarrow 'Y'
 According to the reaction(ii)- 
 i. 'Y' dissolves in water very slightly 
 ii. 'Y' is a slat 
 iii. Huge heat energy is produced in the reaction 
 Which on is correct?","(i) CaCO_{3}\xrightarrow[]{তাপ}'X' + CO_{2}
(ii) 'X' + H_{2}O\rightarrow 'Y'
(ii) নং বিক্রিয়ার ক্ষেত্রে- 
 i. Y পানিতে খুব অল্প দ্রবীভূত হয় 
 ii. Y একটি লবণ 
 iii. বিক্রিয়াটিতে প্রচুর পরিমাণ তাপ উৎপন্ন হয় 
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which of the following is the characteristics of Fuses?,নিচের কোনটি ফিউজের বৈশিষ্ট্য?,Made from alloy,The wire is thick,High melted,Never get hot,সংকর ধাতুর তৈরি,তারটি মোটা হয়,উচ্চ গলনাংকবিশিষ্ট,কখনও উত্তপ্ত হয় না,a
"If the vlotage difference between the two ends of a conductor is 10 volt and current flowing through it is 5 ampere, what will be the resistance of the conductor?","১০ ভোল্ট বিভব পার্থক্য বিশিষ্ট্য কোনো পরিবাহকের মধ্য দিয়ে ৫ অ্যাম্পিয়ার বিদ্যুৎ প্রবাহিত হলে, ঐ পরিবাহীর রোধ কত হবে?",2 Ohms,5 Ohms,10 Ohms,50 Ohms,২ ওহম,৫ ওহম,‍১০ ওহম,৫০ ওহম,a
What thype of fruit is banana?,কলা কোন ধরনের ফল?,Dry fruit,Aggregate fruit,Multiple fruit,Fleshy fruit,নীরস ফল,গুচ্ছ ফল,যৌগিক ফল,রসালো ফল,d
Where produce the florigen hormone?,ফ্লোরিজেন নামক হরমোন কোথায় উৎপন্ন হয়?,In the root,In the stem,In the leaf,In the flower,মূলে,কান্ডে,পাতায়,ফূলে,c
Which vitamin is found in food grains?,শস্যদানায় কোন ভিটামিন পাওয়া যায়?,K,D,E,C,কে,ডি,ই,সি,c
Which one is the correct food chain,সঠিক খাদ্য-শৃঙ্খল কোনটি?,Grass\rightarrow Phytoplankton\rightarrow Zooplankton,Zooplankot\rightarrow Phytoplankton\rightarrow Small fish,Phytoplankton\rightarrow Zooplankton\rightarrow Small fish,Grass\rightarrow Frog\rightarrow Tiger,ঘাস \rightarrow  ফাইটোপ্ল্যাংকটন \rightarrow  জুপ্লাঙ্কটন,জু-প্লাঙ্কটন \rightarrow  ফাইটোপ্ল্যাংকটন\rightarrow  ছোটমাস,ফাইটোপ্লাঙ্কটন \rightarrow  জু-প্লাঙ্কটন \rightarrow  ছোটমাছ,ঘাস\rightarrow  ব্যাঙ\rightarrow  বাঘ,c
Which planet has 27 satellites?,২৭ টি উপগ্রহ আছে কোন গ্রহের?,Jupiter,Saturn,Uranus,Neptune,বৃহস্পতি,শনি,ইউরেনাস,নেপচুন,c
Which one is pure food?,নিচের কোনটি বিশুদ্ধ খাদ্য?,Millk,Guava,Egg,Sugar,দুধ,পেয়ারা,ডিম,চিনি,d
How much kilocalories of energy is produced from 25 grams of carbohydrate and 25 grams of protein?,২৫ গ্রাম শর্করা ও ২৫ গ্রাম আমিষ থেকে মোট কত কিলোক্যালরি শক্তি উৎপন্ন হয়?,50,200,325,450,50,200,325,450,b
"Pumpkin is- 
 i. Large flower and petals with nectars
 ii. Pollen granis and stigmas are sticky
 iiii. Coloured and scented petals
 Which one is correct?","কুমড়া- 
 i. ফুল বড় এবং মধুগ্রন্থিযুক্ত 
 ii. ফুলের পরাগরেণু ও গর্ভমুন্ড আঠালো 
 iii. ফুল রঙিন ও সুগন্ধযুক্ত
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which of the following have contain malic acid?,নিচের কোনটিতে ম্যালিক এসিড পাওয়া যায়?,apple,grape,orange,lime,আপেল,আঙুর,কমলা,বাতাবি লেবু,a
Which one is from the phylum annclida?,কোনটি Annelida পর্বের প্রাণী?,Butterfly,Round worm,Leach,Crab,প্রজাপতি,গোলকৃমি,জোঁক,কাঁকড়া,c
Which one is the first arificial satellite for remote sensing?,রিমোট সেনসিং বা দূর অনুধাবনের জন্য পাঠানো প্রথম কৃত্রিম উপগ্রহের নাম কী?,Appolo souz,Land set-1,Vostok-1,Explorer-1,অ্যাপোলো-সুযোজ,ল্যান্ডসেট-১,ভস্টক-১,এক্সপ্লোরার-১,b
Which is the correct in the followings?,নিচের কোনটি সঠিক?,Imbibition\rightarrow Diffusion\rightarrow Osmosis \rightarrow Transpiration,Imbibition \rightarrow Osmosis\rightarrow Diffusion\rightarrow Transpiration,Imbibitionh\rightarrow Osmosis\rightarrow Rranspiration\rightarrow Diffusion,Imbibition\rightarrow Diffusion\rightarrow Transpiration\rightarrow Osmosis,ইমবাইবিশন\rightarrow  ব্যাপন \rightarrow  অভিস্রবণ\rightarrow  প্রস্বেদন,ইমবাইবিশন\rightarrow  অভিস্রবণ\rightarrow  ব্যাপণ\rightarrow  প্রস্বেদন,ইমবাইবিশন\rightarrow  অভিস্রবণ\rightarrow  প্রস্বেদন\rightarrow  ব্যাপন,ইমবাইবিশন\rightarrow  ব্যাপন\rightarrow  প্রস্বেদন \rightarrow অভিস্রবণ,b
What is the number of Neutron in Tritium?,ট্রিটিয়াম আইসোটোপে নিউট্রন সংখ্যা কত?,0,1,2,3,0,1,2,3,c
Which vitamin helps to increase number of platelets of bolld in body?,কোন ভিটামিন দেহের রক্তের অনুচক্রিকার সংখ্যা বৃদ্ধিতে সহায়তা করে?,B_{1},B_{2},B_{6},B_{12},বি_{১},বি_{২},বি_{৬},বি_{১২},d
Which acid is present inTomato?,টমেটেতে কোন এসিড বিদ্যমান?,Nitric acid,Carbolic acid,Oxalic acid,Ascorbic acid,নাইট্রিক এসিড,কার্বলিক এসিড,অক্সালিক এসিড,এসকরবিক এসিড,c
Weight of Mr. X is 65 Kgs. How much amout of carbohydrate he needs daily?,মি. X এর ওজন ৬৫ কেজি। তার দৈনিক কত গ্রাম শর্করা প্রয়োজন?,14.13 gram,260 gram,299 gram,585 gram,১৪.১৩ গ্রাম,২৬০ গ্রাম,২৯৯ গ্রাম,৫৮৫ গ্রাম,c
Which level of consumer the deer belongs to?,হরিণ কোন স্তরের খাদক?,First,Second,Third,Omnivorous,১ম,২য়,৩য়,সর্বভূক,a
Which hormone acts as growth retarding agent for plants,কোন হরমোন উদ্ভিদের বৃদ্ধি প্রতিবন্ধক হিসাবে কাজ করে?,Auxin,Abscisic acid,Cytokinin,Gebberellin,অক্সিন,অ্যাবসাইসিক এসিড,সাইটোকাইনিন,জিব্বেরেলিন,b
Which relation is correct?,কোন সম্পর্কটি সঠিক?,Hydra\rightarrow Cnidoblast cell,Earth worm \rightarrow Flame cell,Tape worm\rightarrow Nephridia,Roud worm\rightarrow Haemocoel,হাইড্রো\rightarrow  নিডোব্লাস্ট কোষ,কেঁচো\rightarrow  শিখা অঙ্গ,ফিতাকৃমি \rightarrow  নেফ্রিডিয়া,গোলকৃমি\rightarrow  হিমোসিল,a
Which one is the feature of meiosis cell division?,মিয়োসিস কোষ বিভাজনের বৈশিষ্ট্য কোনটি?,It takes place in somatic cell,It is an equational division,Nucleus divides only once,Cromosome divides only once,এডি দেহকোষে ঘটে,এটি সমীকরণিক বিভাজন,নিউক্লিয়াসটি একবার বিভাজিত হয়,ক্রোমোজোম একবার বিভাজিত হয়,d
In which one reproduction through root occurs?,মূলের মাধ্যমে প্রজনন হয় কোনটি?,Ginger,Onion,Gralic,Patol,আদার,পিয়াজের,রসুনের,পটল,d
What is the international Unit of mass?,আন্তর্জাতিক পদ্ধতিতে ভরের একক কোনটি?,Newton,Kilogram,Gram,Metric ton,নিউটন,কিলোগ্রাম,গ্রাম,মেট্রিক টন,b
"Which one is the incidence angle for total internal reflection, while the cirtical angle is 60?",সংকট কোণের মান ৬০^{\circ} হলে পূর্ণ-অভ্যন্তরীণ প্রতিফলনের জন্য আপতন কোণের মান কোনটি?,30^{\circ},45^{\circ},60^{\circ},75^{\circ},৩০^{\circ},৪৫^{\circ},৬০^{\circ},৭৫^{\circ},d
Which one is an animal pollinated flower?,প্রাণিপরাগী ফুল কোনটি?,Paddy,Shimul,China-rose,Mustard,ধান,শিমুল,জবা,সরিষা,b
Unusually repid palapitation is the symptom of which disease?,বুক ধড়ফড় করা কোন রোগের লক্ষণ?,Cretinis,Anemia,Goiter,Scurvy,ক্রোটিনিজম,অ্যানিমিয়া,গলগন্ড,স্কার্ভি,b
Which acid of the following is edible?,নিচেরর কোন এসিডটি খাওয়ার ‍উপযোগী?,Phosphoric acid,Malic acid,Perchoric acid,Hydrochloric acid,ফসফরিক এসিড,ম্যালিক এসিড,পারক্লোরিক এসিড,হাইড্রোক্লোরিক এসিড,b
"By green plants, the solar enery transforms into which energy?",সবুজ উদ্ভিদের মাধ্যমে সৌরশক্তি কোন শক্তিতে রূপান্তরিত হয়?,Chemical energy,Heat energy,Mechanical energy,Light energy,‘রাসায়নিক শক্তি,তাপ শক্তি,যান্ত্রিক শক্তি,আলোক শক্তি,a
Which one is used in magnifying glass?,ম্যাগনিফাইং গ্লাসে কোনটি ব্যবহৃত হয়?,Concave lens,Concave mirror,Convex lens,Convex mirror,অবতল লেন্স,অবতল দর্পণ,উত্তল লেন্স,উত্তল দর্পণ,c
Which panet has the highest number of satellites?,নিচের কোন গ্রহের উপগ্রহ সংখ্যা সবচেয়ে বেশি?,Mars,Earth,Uranus,Neptune,মঙ্গল,পৃথিবী,ইউরেনাস,নেপচুন,c
Which part of the brain controls our swallowing and breathing?,মস্তিষ্কের কোন অংশ আমাদের খাদ্য গ্রহণ ও শ্বসন নিয়ন্ত্রণ করে?,Cerebellum,Pons,Modulla,Cerebrum,সেরিবেলাম,পনৃস,মেডুলা,সেরিব্রাম,c
