Whhich is the correct order in case of boiling point?,স্ফুটনাঙ্কের সঠিক ক্রম কোনটি?,NH_{3}<HF<H_{2}O<CH_{4},CH_{4}<NH_{3}<HF<H_{2}O,CH_{4}<NH_{3}<H_{2}O<HF,NH_{3}<CH_{4}<H_{2}O<HF,NH_{3}<HF<H_{2}O<CH_{4},CH_{4}<NH_{3}<HF<H_{2}O,CH_{4}<NH_{3}<H_{2}O<HF,NH_{3}<CH_{4}<H_{2}O<HF,b
Which one has the highest ionic radius?,কোনটির আয়নিক ব্যাসার্ধ বড়?,Na^{+},K^{+},Mg^{2+},Ca^{2+},Na^{+},K^{+},Mg^{2+},Ca^{2+},b
"Which set is correct for the electron of outermost energy shell of 
potassium?",পটাশিয়াম এর সর্ববহিঃস্থ ইলেকট্রনের জন্য কোন সেটটি সঠিক?,"n=4, l=2, m=+2, s=-\frac{1}{2}","n=3,l=2,m=-1,s= +\frac{1}{2}","n=3, l=1, m=+1, s= -\frac{1}{2}","n=4,l=0,m=0,s= +\frac{1}{2}","n=4, l = 2, m = +2, s = -\frac{1}{2}","n=3, l = 2, m = -1, s = +\frac{1}{2}","n=3, l = 1, m = +1, s = -\frac{1}{2}","n=4, l = 0, m = 0, s = +\frac{1}{2}",d
Which one is the basic buffer solution?,কোনটি ক্ষারীয় বাফার দ্রবণ?,NaOH+NaCI,CH_{3}COOH + CH_{2}COONa,NH_{4}OH+NH_{4}CI,H_{2}CO_{3}+NaHCO_{3},NaOH + NaCl,CH_{3}COOH + CH_{3}COONa,NH_{4}OH NH_{4}Cl,H_{2}CO_{3} + NaHCO_{3},c
"Vinegar-
i.destroys bacteria
ii.increases the taste of meal
iii.decreases blood circulation
Which one is correct?","ভিনেগার-
 i. খাদ্যের ব্যাকটেরিয়া ধ্বংস করা
 ii. খাবারের রুচি বৃদ্ধি করে
 iii. রক্ত সঞ্চালন কমায়
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"I,ii&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which one's ionization potential is the highest?,কোনটির আয়নিকরণ শক্তি বেশি?,Be,B,Mg,Al,Be,B,Mg,Al,a
Which one is the  highest soluble in water?,কোনটি পানিতে অধিক দ্রবণীয়?,KCL,NaCI,MgCI_{2},CaCI_{2},KCl,NaCl,MgCl_{2},CaCl_{2},a
What is the hybridisation of Zn in [Zn(NH_{3})_{4}]^{2-}?,[Zn(NH_{3})_{4}]^{2+} এ Zn এর সংকরণ কোনটি?,sp^{3},sp^{3}d,sp^{3}d^{2},sp^{2}d,sp^{3},sp^{3}d,sp^{3}d^{2},sp^{2}d,a
What is the value of K_{p} if HI is dissociated 35% at 450˚C temperature?,450^{\circ}C তাপমাত্রায় HI 35% বিয়োজিত হলে K_{p} এর মান কত?,0.8250 atm,0.7250 atm,0.0825 atm,0.0725 atm,0.8250 atm,0.7250 atm,0.0825 atm,0.0725 atm,d
Which enzyme influences the production of ethanol invert sugar?,কোন এনজাইম এর প্রভাবে ইনভার্ট চিনি হতে ইথানল তৈরি হয়?,Maltsse,Invertase,Zymase,Diastase,মল্টেজ,ইনভারটেজ,জাইমেজ,ডায়াস্টেজ,c
The energy required for releasing electron to form positive ion is called-,ইলেকট্রন ত্যাগ করে ধনাত্মক আয়নে পরিণত হতে যে শক্তির প্রয়োজন হয় তাকে বলে-,electron affinity,electro negativity,ionic engergy,ionization energy,ইলেকট্রন আসক্তি,তড়িৎ ঋণাত্মকতা,আয়নিক শক্তি,আয়নিকরণ শক্তি,d
"Have delocalized electron-
i.propene
ii.graphite
iii.benzene
Which one is correct?","সঞ্চরণশীল ইলেকট্রন আছে-
 i. প্রোপিন
 ii. গ্রাফাইট
 iii. বেনজিন
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"I,ii&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"H_{2}+N_{2}\rightleftharpoons P
For'P'-
i.hybirdization of central atom is sP3
ii.unit of K_{c} is L^{2} mol^{-2}
iii.tetrahedral shape
Which one is correct?","H_{2}+N_{2}\rightleftharpoons P
'P'-এর ক্ষেত্রে-
 i. কেন্দ্রীয় মৌলের সংকরায়ন sp^{3}
 ii. K_{c} -এর একক L^{2}mol^{-2}
 iii. আকৃতি চতুস্তলকীয়
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"i,ii&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
What is the pH of 0.01M NaOH solution?,0.01 M NaOH দ্রবণের pH কত?,12,13,14,15,12,13,14,15,a
Which one basic buffer solution?,নিচের কেনাটি ক্ষারীয় বাফার দ্রবণ?,"CH_{3}COOH+
CH_3}COONa",NaOH+NaCI,Na_{2}SO_{4}+H_{2}SO_{4},NH_{4}CI+NH_{4}OH,CH_{3}COOH+CH_{3}COONa,NaOH + NaCl,Na_{2}SO_{4}+H_{2}SO_{4},NH_{4}Cl+NH_{4}OH,d
Which one in antioxidant?,কোনটি এন্টি অক্সিডেন্ট?,C_{6}H_{5}COONa,NaNO_{2},EDTA,BHT,C_{6}H_{5}COONa,NaNO_{2},EDTA,BHT,d
Which source is the basis of orbital?,পরমাণুতে অরবিটালের ধারণা কোন উৎস থেকে?,Bohr's Model,"Rutherford's 
Model",Quantum Mechanics,Aufbow Principle,বোর মডেল,রাদারফোর্ড মডেল,কোয়ান্টাম তত্ত্ব,আউফবাউ নীতি,c
What is the another name of vinegar?,ভিনেগারের অপর নাম কী?,Ethanoic acid,Methnoic acid,BHA,Propanoic acid,ইথানয়িক এসিড,মিথানয়িক এসিড,BHA,প্রোপানয়িক এসিড,a
Which one of the following has highest H^{+} ion concentration?,নিচের কোনটির H^{+} এর ঘনমাত্রা সর্বাধিক?,pH=11.5,pH=3.4,pH=2.5,pH=13.5,pH = 11.5,pH = 3.4,pH = 2.5,pH = 13.5,c
Solubility product is applicable in which case.,দ্রাব্যতা গুণফল নিচের কোন ক্ষেত্রে প্রযোজ্য?,More soluble ionic compound,More soluble covalent copound,Less soluble ionic compound,Less soluble covalent compouund,অধিক দ্রবণীয় আয়নিক যৌগ,অধিক দ্রবণীয় সমযোজী যৌগ,স্বল্প দ্রবণীয় আয়নিক যৌগ,স্বল্প দ্রবণীয় সমযোজী যৌগ,c
Which one of the following has maximum bond angle?,নিচের কোনটির বন্ধন কোন সবচেয়ে বড়?,CH_{4},BCI_{3},NH_{3},H_{2}O,CH_{4},BCl_{3},NH_{3},H_{2}O,b
"Which one is responsible for food rettening-
i.sodium benzoate
ii.food oxidation
iii.lack of anti-oxidants
Which one is correct?","খাদ্যদ্রব্য পঁচনের কারণ
 i. সোডিয়াম বেনজোয়েট
 ii. খাদ্যের জারণ
 iii. অ্যান্টি অক্সিডেন্টের অভাব
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"I,ii&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"Which one of the following needs more energy to remove one 
electron?",কোনটি থেকে একটি ইলেকট্রন সরাতে সবচেয়ে বেশি শক্তি লাগে?,Ne,Na^{+},Mg^{2+},AI^{3+},Ne,Na^{+},Mg^{2+},Al^{3+},d
Which one is the Conditions for equilibrium?,কোনটি সাম্যাবস্থার শর্ত?,irreversible,Reversible,Steady,Depend on catalyst,একমুখীতা,উভমুখীতা,গতিহীনতা,প্রভাবকের উপর নির্ভরশীলতা,b
Which one is the group of Cu in periodic table?,পর্যায় সারণিতে Cu এর অবস্থান কোন শ্রেণিতে?,10,11,12,13,10,11,12,13,b
What is the solubility of AB2 if its solubility product 1.7×10-12?,AB_{2} যৌগের দ্রাব্যতা গুণফল 1.7\times 10^{-12} হলে এর দ্রাব্যতা কত?,7.52\times 10^{-6}molL^{-1},7.52\times 10^{-6}gL^{-1},7.52\times 10^{-5}molL^{-1},7.52\times 10^{-5}gL^{-1},7.52\times 10^{-6}molL^{-1},7.52\times 10^{-6}gL^{-1},7.52\times 10^{-5}molL^{-1},7.52\times 10^{-5}gL^{-1},c
Which one set of quantum number is impossible?,কোয়াান্টাম সংখ্যার মানের কোন সেটটি অবাস্তব?,"3, 2, -2, +\frac{1}{2}","4, 0, 0, +\frac{1}{2}","3, 2, -3, +\frac{1}{2}","5, 3, 0, -\frac{1}{2}","3, 2, -2, +\frac{1}{2}","4, 0, 0, +\frac{1}{2}","3, 2, -3, +\frac{1}{2}","5, 3, 0, -\frac{1}{2}",c
Which one of the following ray is used for the detection of cancer cell?,ক্যান্সার আক্রান্ত কোষ শনাক্তকরণ পরীক্ষায় কোন রশ্মি ব্যবহার করা হয়?,UV,X-ray,IR,MW,UV,X-ray,IR,MW,c
What is the role of ammonium phosphet for the preparation of vinegar?,ভিনেগার প্রস্তুতিতে অ্যামোনিয়াম ফসফেটের ভূমিকা কী?,Fermentation,Resist bactotia,Control pH,"Help to grow 
bacteria",ফারমেন্টেশন,ব্যাকটেরিয়া প্রতিরোধক,pH নিয়ন্ত্রক,ব্যাকটেরিয়া বৃদ্ধি সহায়ক,d
"Which one is the emitted ray of Balmer series of H-atom spectra which
has lowest wave numbers?",H-পরমাাণুর বর্ণালির বামার সিরিজের সর্বনিম্ন তরঙ্গ সংখ্যার বিকিরিত রশ্মি কোনটি?,3R_{H}/4,5R_{H}/36,8R_{H/9},9R_{H/144},3R_{H}/4,5R_{H}/36,8R_{H}/9,9R_{H}/144,b
What is the value of low energy level in case of paschan series?,প্যাশ্চেন সিরিজের ক্ষেত্রে নিম্ন শক্তিস্তরের মান কত?,5,4,3,2,5,4,3,2,c
"In case of two Fe^{2+} and Fc^{3+} ion-
i.Fe^{2+} less stable
ii.Fe^{3+} more stable
iii.Both ions are coloured
Which one is correct?","Fe^{2+} ও Fe^{3+} আয়ন দুটির ক্ষেত্রে-
 i. Fe^{2+} কম সুস্থিত
 ii. Fe^{3+} অধিক সুস্থিত
 iii. উভয় আয়ন রঙিন
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
What is the value of azimuthal quantum number for 4p orbital?,4p অরবিটালের জন্য সহকারী কোয়ান্টাম সংখ্যার মান কত?,0,1,2,3,0,1,2,3,b
Which one formed the highest number of Hydrogen bond?,কোনটি বেশি সংখ্যক হাইড্রোজেন বন্ধন গঠন করে?,NH_{3},HF,HCl,H_{2}O,NH_{3},HF,HCl,H_{2}O,d
How many sigma-electrons in ammonia molecule?,অ্যামোনিয়া অণুতে কতটি সিগমা-ইলেকট্রন আছে?,2,4,6,8,2,4,6,8,c
Whose geometric shape is linear?,কোনটির জ্যামিতিক আকৃতি সরল রৈখিক?,CO_{2},H_{2}O,H_{2}S,SO_{2},Co_{2},H_{2}O,H_{2}S,SO_{2},a
What is the heat of neutralization of HCI and NaOH ?(Kj mol-1),কক্ষ্ষ তাপমাত্রা HCI ও NaOH এর প্রশমন তাপের মান কত? (KJmol^{-1}),-50.4,-55.2,-57.34,-68.6,-50.4,-55.2,-57.34,-68.6,c
What is the concentration of H^{+} ion if pH=3.6 of aqueous solution?,দ্রবণের pH = 3.6 হলে H^{+} আয়নের ঘনমাত্রা কত?,3.5\times 10^{-4} M,2.5\times 10^{-4} M,1.5\times 10^{-4} M,0.5\times 10^{-4},3.5\times 10^{-4} M,2.5\times 10^{-4} M,1.5\times 10^{-4} M,0.5\times 10^{-4},b
Which one is disinfectant?,কোনটি জীবাণুনাশক?,Formaldehyde,Benzoate,Sulphite,Bromate,ফরমালডিহাইড,বেনজোয়েট,সালফাইট,ব্রোমেট,a
AB(g)\rightleftharpoons A(g)+B(g); Whcich is the unit of K_{p} in the reaction?,AB(g)\rightleftharpoons A(g)+B(g); বিক্রিয়াটিতে K_{p} একক কোনটি?,atm,atm^{-1},atm^{2},atm^{-2},atm,atm^{-1},atm^{2},atm^{-2},a
Which one is used in curing?,কিউরিং-এ কোনটি ব্যবৃহত হয়?,Nal,NaBr,NaCl,NaF,NaI,NaBr,NaC1,NaF,c
What is the value of planck constant?,প্লাঙ্ক ধ্রুবকের মান কত?,6.23\times 10^{23}Js,6.23\times 10^{-23}Js,6.624\times 10^{34}Js,6.624\times 10^{-34}Js,6.23\times 10^{23}Js,6.23\times 10^{-23}Js,6.624\times 10^{34}Js,6.624\times 10^{-34}Js,d
"If the radius of the fourth orbit of H-atom is 7.5×10^{-10}m.What is the 
velocity if the electron is that cell?
[The mass if electrons=9.1×10^{-31} Kg]","H-পরমাণুর ৪র্থ কক্ষপথের ব্যাসার্ধ 7.5\times 10^{-10}m হলে, ঐ কক্ষে ইলেকট্রনটির গতিবেগ কত?
 [ইলেকট্রনের তর = 9.1\times 10^{-31}Kg]",4.5982\times 10^{5}ms^{-1},5.9482×105ms-1,6.1805\times 10^{5}ms^{-1},7.4805\times 10^{5}ms^{-1},4.5982\times 10^{5}ms^{-1},5.9482\times 10^{5}ms^{-1},6.1805\times 10^{5}ms^{-1},7.4805\times 10^{5}ms^{-1},c
Which Is the highest pH of the following aqueous solutions?,নিচের কোনটির জলীয় দ্রবণের pH সর্বাধিক?,NH_{3},PH_{3},HF,H_{2}S,NH_{3},PH_{3},HF,H_{2}S,a
Which of the following electrons will enter after the 3d orbital?,3d অরবিটালের পরে কোনটিতে ইলেকট্রন প্রবেশ করবে?,4p,4d,4s,5s,4p,4d,4s,5s,a
Which of the following forms a buffer with volume of 1M NaOH?,নিম্নের কোনটি সম-আয়তন 1M NaOH দ্রবণের সাথে বাফার গঠন করবে?,0.1 M CH_{3}COOH,0.2 M CH_{3}COOH,1.0 M CH_{3}COOH,2.0 M CH_{3}COOH,0.1 M CH_{3}COOH,0.2 M CH_{3}COOH,1.0 M CH_{3}COOH,2.0 M CH_{3}COOH,c
"In which block of periodic table contains the highest number of non-
metals?",পর্যায় সারণির কোন ব্লকে অধাতুর সংখ্যা বেশি?,f,d,p,s,f,d,p,s,c
Which element existe the electronic configuration [Ar]3d^{10}4s^{1}?,[Ar]3d^{10}4s^{1} ইলেকট্রন বিন্যাসটি কোন মৌলের?,Cu,Cr,Zn,Na,Cu,Cr,Zn,Na,a
What is the \angle HOH value in water molecule?,পানির অণুতে \angle HOH এর মান কত?,120^{\circ},109^{\circ},107^{\circ},104.5^{\circ},120^{\circ},109^{\circ},107^{\circ},104.5^{\circ},d
Which type of bonds are present in acetylene?,অ্যাসিটিলিনের অণুতে কোন বন্ধনসমূহ রয়েছে?,"3\sigma , 2\pi","1\sigma , 2\pi","2\sigma , 1\pi","1\sigma , 1\pi","3\sigma , 2\pi","1\sigma , 2\pi","2\sigma , 1\pi","1\sigma , 1\pi",a
A+O_{2}\xrightarrow[]{Acetobactor}CH_{3}COOH In this reaction 'A' is-,A+O_{2}\xrightarrow[]{অ্যাসিটোব্যাক্টর}CH_{3}COOH বিক্রিয়াটিতে 'A' যৌগটি হলো-,Methanol,Ethanol,Methanal,Ethanal,মিথানল,ইথানল,মিথান্যাল,ইথান্যাল,b
Which one of the following is more powerful base?,সর্বাপেক্ষা শক্তিশালী ক্ষার কোনটি?,NaOH,KOH,CsOH,RbOH,NaOH,KOH,CsOH,RbOH,c
What is the pH of 3.5% Na2CO3 solution?,3.5% Na_{2}CO_{3} দ্রবণের pH কত?,13.8,12.7,11.5,10.5,13.8,12.7,11.5,10.5,a
"What is the value of K_{c} of reaction A2+B2\rightleftharpoons AB.If its K_{p} is 5.6 at 25^{\circ}
temperature and 1.5 atm pressure?",A_{2}+B_{2}\rightleftharpoons AB;; বিক্রিয়াটির 25^{\circ}C তাপমাত্রায় ও 1.5 atm চাপে K_{p} এর মান 5.6 হলে K_{c} এর মান কত?,7.5,5.6,3.6,2.8,7.5,5.6,3.6,2.8,b
What type of oxide SO_{3} is?,SO_{3} কোন ধরনের অক্সাইড?,Acidic oxide,Basic oxide,Amphoteric oxide,Neutral oxide,অম্লধর্মী অক্সাইড,ক্ষারধর্মী অক্সাইড,উভধর্মী অক্সাইড,নিরপেক্ষ অক্সাইড,a
"Which ion does identify by using basic potassium tetra iodomercurate
solution?",ক্ষারীয় পটাশিয়াম ট্রেটাআয়োডো মারকিউরেট দ্রবণ দ্বারা নিচের কোনটি শনাক্ত করা হয়?,Al^{3+},Cu^{2+},NH_{4}^{+},CO_{3}^{2-},Al^{3+},Cu^{2+},NH_{4}^{+},Cu_{3}^{2-},c
"Electron affinity depends on-
i.atomic mass
ii.atomic size
iii.active nuclear charge
Which one is correct?","ইলেকট্রন আসক্তি যে সকল নিয়ামক দ্বারা প্রভাবিত হয়-
 i. পারমাণবিক ভর
 ii. পরমাণুর আকার
 iii. কার্যকর নিউক্লিয়ার আধান
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"I,ii&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
What is the valiue of n_{2} of Brackett series?,ব্রাকেট সিরিজের ক্ষেত্রে n_{2} এর মান কত?,2,3,4,5,2,3,4,5,d
Unit of K_{c} is mol^{-1}L for which reaction?,কোন বিক্রিয়াটির K_{c} এর একক mol^{-1}L?,N_{2}O_{4}\rightleftharpoons 2NO_{2},2NH_{3}\rightleftharpoons N_{2}+3H_{2},2NO + O_{2}\rightleftharpoons 2NO_{2},N_{2}+3H_{2}\rightleftharpoons 2NH_{3},N_{2}O_{4}\rightleftharpoons 2NO_{2},2NH_{3}\rightleftharpoons N_{2}+3H_{2},2NO + O_{2}\rightleftharpoons 2NO_{2},N_{2}+3H_{2}\rightleftharpoons 2NH_{3},c
Which one is natural antioxidant?,প্রাকৃতিক অ্যান্টি অক্সিডেন্ট কোনটি?,Beta-Carotine,Vinegar,BHT,BHA,বিটা ক্যারোটিন,ভিনেগার,BHT,BHA,a
"X^{2}+Y^{2}\rightleftharpoons 2XY
Which one is for this reaction?",X_{2}+Y_{2}\rightleftharpoons 2XY; বিক্রিয়াটির ক্ষেত্রে কোনটি প্রযোজ্য?,K_{p} > K_{c},K_{p} = K_{c},K_{p} < K_{c},K_{p} \neq  K_{c},K_{p} > K_{c},K_{p} = K_{c},K_{p} < K_{c},K_{p} \neq  K_{c},b
What is the bond angle of H2S?,H_{2}S অণুর বন্ধন কোণ কত?,109^{\circ},107^{\circ},92^{\circ},72^{\circ},109^{\circ},107^{\circ},92^{\circ},72^{\circ},c
"Why 99% Alpha (α) particles are passes strictly straight way through 
gold foil for the experiment of Rutherford nucleus invention?",রাদারফোর্ডের নিউক্লিয়াস আবিষ্কার পরীক্ষায় ৯৯% আলফা (\alpha ) কণা স্বর্ণপাত ভেদ করে সোজা চলে যায় কেন?,Center of a atom is positive charge,Kinetic energy of alpha particle is higher,Reflection power of alpha particle is less,Maximum space in atom is null,পরমাণুর কেন্দ্র ধনাত্মক চার্জযুক্ত বলে,আলফা কণার গতিশক্তি বেশি বলে,আলফা কণার প্রতিফলিত হওয়ার ক্ষমতা কম,পরমাণুর অধিকাংশ স্থানই ফাঁক,d
How many lone pair electrons are in Cl atom?,C1 পরমাণুর মুক্ত জোড় উলেকট্রন কত জোড়া?,0,1,2,3,0,1,2,3,d
Which one of the  following is occurred by the influence of IR?,IR এর প্রভাবে ঘটে?,Decrease blood circulation,Expansion of artery and vain occur,Organ replacement,Body temperture decrease,রক্ত সঞ্চালন হ্রাস,ধমনী ও শিরা প্রশস্তকরণ,অঙ্গ প্রতিস্থাপন,দেহের তাপমাত্রা হ্রাস,b
"How can convert reversible reaction to irreversible one?
i.If one product is gaseous
ii.If one the products be precipitate
iii.If one the  productsis taken from reaction
Which one is correct?","একটি উভমুখী বিক্রিয়া কীভাবে একমুখী করা যায়?
 i. একটি উৎপাদ গ্যাসীয় হলে
 ii. একটি উৎপাদ অধঃক্ষিপ্ত হলে
 iii. একটি উৎপাদকে বিক্রিয়াস্থল থেকে সরিলে নিলে
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"I,ii&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"If the solubility of AgCl solution is 0.00015gL^{-1}, what is the solubility
product?",সিলভার ক্লোইডের দ্রাব্যতা প্রতি লিটার জলীয় দ্রবণে 0.00015 গ্রাম হলে দ্রাব্যতা গুণফল কত?,1.1\times 10^{-10},1.1\times 10^{-12},2.1\times 10^{-13},2.1\times 10^{-15},1.1\times 10^{-10},1.1\times 10^{-12},2.1\times 10^{-13},2.1\times 10^{-15},b
Which is the solar model?,সৌর মডেল কোনটি?,"Rutherford atom
model",Bhor atom model,"Thomson atom 
model","Dalton atom
model",রাদারফার্ড পরমাণু মডেল,বোর পরমাণু মডেল,থমসন পরমাণু মডেল,ডাল্টন পরমাণু মডেল,a
There are lone pair electron in the centeral atom of XeF_{2}-,XeF_{2} এর কেন্দ্রীয় পরমাণুতে নিঃসঙ্গ ইলেকট্রন জোড় আছে-,4,3,2,1,4,3,2,1,b
The rule of determining the orbital number in any energy level is-,কোনো শক্তি স্তরে অরবিটাল সংখ্যা নির্ণয়ের সূত্র-,2(2n+1),2n+1,2n^{2},N^{2},2(2n+1),2n+1,2n^{2},n^{2},d
"The unit of Kp in the reaction-
N_{2} + 3H_{2}\rightleftharpoons 2NH_{3} is",N_{2}+3H_{2}\rightleftharpoons 2NH_{3} এর K_{p} একক-,atm^{2},atm,atm^{-1},atm^{-2},atm^{2},atm,atm^{-1},atm^{-2},d
"CH_{3}COOH + H_{2}O \rightleftharpoons CH_{3}COO^{-}+H_{3}O^{+}
Which is the conjugate base in the reaction?","CH_{3}COOH+H_{2}O\rightleftharpoons CH_{3}COO^{-}+H_{3}O^{+}
বিক্রিয়াটিতে অণুবন্ধী ক্ষারক কোনটি?",CH_{3}COOH,H_{2}O,CH_{3}COO^{-},H_{3}O^{-},CH_{3}COOH,H_{2}O,CH_{3}COO^{-},H_{3}O^{+},c
"CH_{3}COOH + H_{2}O \rightleftharpoons CH_{3}COO^{-}+H_{3}O^{+}
What is the value of K_{a} when the concentration of the acid is 0.001M
and degree of dissociation is 10%?","CH_{3}COOH+H_{2}O\rightleftharpoons CH_{3}COO^{-}+H_{3}O^{+}
উদ্দীপকে অম্লের ঘনমাত্রা 0.001M এবং বিয়োজন মাত্রা 10% হলে, K_{a} এর মান কত?",0.00001,0.0001,0.001,0.1,0.00001,0.0001,0.001,0.1,a
"Vinegar preserves food -
i.through the resist of the food oxidation reaction
ii.through decreasing pH of food
iii.through the from of resistance against bacteria and yeast of food
Which one is correct?","ভিনেগার খাাাদ্য সংরক্ষণ করে-
 i. খাদ্যের জারণ ক্রিয়া রোধের মাধ্যমে
 ii. খাদ্যের pH কমানোর মাধ্যমে
 iii. খাদ্যের ব্যাকটেরিয়া ও ইস্টের বিরুদ্ধে প্রতিরোধ গড়ার মাধ্যমে
 নিচের কোনটি সঠিক?",i,i&ii,ii&iii,"i.ii,&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
What is the pOH of 0.2M  HA when K_{a}=1.8\times 10^{-6},HA এর K_{a}=1.8\times 10^{-6} হলে 0.2M HA এর pOH কত?,13.3,10.778,3.22,0.6989,13.3,10.778,3.22,0.6989,b
Which is the highest electonegative element?,কোনটি সর্বাধিক তড়িৎ ঋণাত্মক মৌল?,CI,O,N,F,Cl,O,N,F,d
Which spectrum of the following can be explained by Bhor atom model?,বোর পরমাণু মডেল কোনটির বর্ণালি ব্যাখ্যা করতে পারে?,He^{+},H^{-},He^{2+},H^{+},He^{+},H^{-},He^{2+},H^{+},a
Which set of quantum number is possible for an electron?,একটি ইলেকট্রনের জন্য কোয়াণ্টাম সংখ্যার কোন সেটটি সম্ভব?,"1, 1, 0, +\frac{1}{2}","1, 0, 0, -\frac{1}{2}","1, 0, 1, +\frac{1}{2}","1, 1, 0, -\frac{1}{2}","1, 1, 0, +\frac{1}{2}","1, 0, 0, -\frac{1}{2}","1, 0, 1, +\frac{1}{2}","1, 1, 0, -\frac{1}{2}",a
"What is the solubility when 75gm of solute is dissolved in 225 gm of
saturated solution at room temperature?",কক্ষতাপমাত্রায় 225g সম্পৃক্ত দ্রবণে 75g দ্রব দ্রবীভূত থাকলে এর দ্রাব্যতা কত,100,75,50,25,100,75,50,25,c
Which is the weakest bond?,সবচেয়ে দুর্বল বন্ধন কোনটি?,Sigma bond,Pi bond,Hydrogen bond,Ionic bond,সিগমা বন্ধন,পাই বন্ধন,হাইড্রোজেন বন্ধন,আয়নিক বন্ধন,c
Which is the solubility product of MX_{2}?,MX_{2} এর দ্রাব্যতা গুণফল কোনটি?,[M^{2+}]\times [x^{-}]^{2},[M^{2+}]^{2}\times [x^{-}],[M^{2+}]\times [x^{-2}],[M^{2+}]\times [x^{-2}]^{2},[M^{2+}]\times [X^{-}]^{2},[M^{2+}]^{2}\times [X^{-}],[M^{2+}]\times [X^{-2}],[M^{2+}]\times [X^{-2}]^{2},a
Which buffer solution is in human blood?,মানুষের রক্তে কোন বাফার দ্রবণ বিদ্যমান?,NaHCO_{3}+H_{2}CO_{3},"CH_{3}COONa+
CH_{3}COOH",NH_{4}CI+NH_{4}OH,H-COOH+HCOONa,NaHCO_{3}+H_{2}CO_{3},CH_{3}COONa+CH_{3}COOH,NH_{4}Cl+NH_{4}OH,H-COOH + HCOONa,a
"What is the number of unpaired electron in electronic configuration of 
Fe^{2+} ion?",Fe^{2+} আয়নের ইলেকট্রন বিন্যাসে বিজোড় ইলেকট্রন সংখ্যা কতটি?,2,3,4,6,2,3,4,6,c
Which of the following ion is detected by the solution of K_{4}[Fe(CN)_{6}]?,K_{4}[Fe(CN)_{6}] এর দ্রবণ দ্বারা কোন আয়নটি শনাক্ত করা হয়?,Na^{+},NH_{4}^{+},Ca^{2+},Zn^{2+},Na^{+},NH_{4}^{+},Ca^{2+},Zn^{2+},d
In which of the following reaction K_{p}=K_{c},নিচের কোন বিক্রিয়ায় K_{p}=K_{c},A_{2} + B_{2} \rightleftharpoons 2AB,A_{2} + 3B_{2} \rightleftharpoons 2AB_{3},C + 2D \rightleftharpoons A,C + D \rightleftharpoons 3A,A_{2}+B_{2}\rightleftharpoons 2AB,A_{2}+3B_{2}\rightleftharpoons 2AB_{3},C+2D\rightleftharpoons A,C+D\rightleftharpoons 3A,a
What is the bond angle of NH_{3}?,NH_{3} এর বন্ধন কোণ কত?,109.5^{\circ},107^{\circ},105^{\circ},98^{\circ},109.5^{\circ},107^{\circ},105^{\circ},98^{\circ},b
What is the range of wavelength in the region of visible light?,দৃশ্যমাান অঞ্চলের আলোর তরঙ্গদৈর্ঘের ব্যাপ্তি কত?,0.1-10nm,10-280nm,380-780nm,180-10^{6}nm,0.1-10 nm,10-280 nm,380-780 nm,780-10^{6} nm,c
"If M^{3+} ion has 23 electrons,what is the atomic number of M?",M^{3+} আয়নের 23টি ইলেকট্রন থাকলে M এর পারমাণবিক সংখ্যা কত,23,24,25,26,23,24,25,26,d
Which is the colour compound?,রঙিন যৌগ কোনটি?,TiCl_{4},MnO_{2},ScCl_{3},ZnSO_{4},TiCl_{4},MnO_{2},ScCl_{3},ZnSO_{4},b
Which one is the mathematical expression of Ostwald's Dilution Law?,অসওয়াল্ডের লঘুকরণ সূত্রের গাণিতিক প্রকাশ কোনটি?,\alpha =\sqrt{\frac{K_{c}}{C}},\alpha =\sqrt{\frac{C}{K_{a}}},\alpha = \sqrt{\frac{1}{K_{4}}},\alpha = \frac{1}{\sqrt{C}},\alpha =\sqrt{\frac{K_{c}}{C}},\alpha =\sqrt{\frac{C}{K_{a}}},\alpha = \sqrt{\frac{1}{K_{4}}},\alpha = \frac{1}{\sqrt{C}},a
What percentage of water contain in vinegar?,ভিনেগারে কত শতাংশ পানি বিদ্যমান?,6%,15%,70%,90%,6%,15%,70%,90%,d
