"Rafat's face become pale sometimes. At first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
From whom gene Rifat had the disease?","রিফাতের চেহারা মাঝেমধ্যেই ফ্যাকাশে হয়ে যায়। রক্তশূন্যতাকে প্রাথমিকভাবে দায়ী করা হলেও ডাক্তারী পরীক্ষায় জানা গেল, এটি একটি ""অটোসোমাল রিসিসিভ ডিজঅর্ডার""।
 
 রিফাতের রোগের 'জিন' কার নিকট থেকে এসেছে?",Father,Grand father,Mother,Father and mother both,বাবার,দাদার,মায়ের,বাবা-মা উভয়ের,d
"Rafat's face become pale sometimes. At first it seems to be anaemia after medical examination it ensure that it is a autosomal recessive disorder.
In this disease-
i. white blood cell disintegrate
ii. eating banana is harmful
iii. need blood transfusion around the year
Which one is correct?","রিফাতের চেহারা মাঝেমধ্যেই ফ্যাকাশে হয়ে যায়। রক্তশূন্যতাকে প্রাথমিকভাবে দায়ী করা হলেও ডাক্তারী পরীক্ষায় জানা গেল, এটি একটি ""অটোসোমাল রিসিসিভ ডিজঅর্ডার""।
 
 এ রোগের ক্ষেত্রে-
 i. শ্বেত রক্তকণিকা নষ্ট হয়ে যায়
 ii. কলা খাওয়া ঠিক নয়
 iii. সারা বছর রক্ত প্রদান করতে হয়
 নিচের কোনটি সঠিক?",i,ii,i and ii,ii and iii,i,ii,i ও ii,ii ও iii,d
"What type of struggle found between tiger and deer?
i. Inter specific struggle
ii. Intra specific struggle
iii. Struggle with environment
Which one is correct?","বাঘ ও হরিণের মধ্যে সংগ্রাম বিদ্যমান-
 i. আন্তঃপ্রজাতিক
 ii. অন্তঃপ্রজাতিক
 iii. পরিবেশের সঙ্গে
 নিচের কোনটি সঠিক?",i,ii,i and ii,ii and iii,i,ii,i ও ii,ii ও iii,a
Which one of the bellow help to maintain connection with adjacent cells?,নিচের কোনটির সাহায্যে পার্শ্ববর্তী কোষগুলোর মধ্যে যোগাযোগ রক্ষিত হয়?,Protoplasm,Nuclear membrane,Microvilli,Plasmodesmata,প্রোটোপ্লাজম,নিউক্লিয়ার মেমব্রেন,মাইক্রোভিলাই,প্লাজমাডেজমাটা,d
Which one give rigidity to gourd?,লাউ গাছের কাণ্ডে দৃঢ়তা প্রদান করে কোনটি?,Parenchyma,Collenchyma,Fiber,Scleroids,প্যারেনকাইমা,কোলেনকাইমা,ফাইবার,স্ক্লেরাইড,b
Our integument is example of which kind of epithelial tissue?,আমাদের ত্বক কোন ধরনের আবরণী টিস্যুর উদাহরণ?,Squamous,Cuboidal,Stratified,Pscudo-stratified,স্কোরামাস,কিউবয়ডাল,স্ট্র্যাটিফাইড,সিউডো-স্ট্র্যাটিফাইড,c
How many types of fluid connective tissue?,তরল যোজক টিস্যু কয় প্রকার?,2,3,4,5,2,3,4,5,a
Which one is correct for the young leaves of Jackfruit tree?,কাঁঠাল গাছের নতুন পাতার ক্ষেত্রে কোনটি সঠিক?,Has a higher photosynthetic rate,Has higher repsiration rate,Lower amount of liquid part,Has higher amount of plastid,সালোকসংশ্লেষণের হার বেশি,শ্বসনের হার বেশি,জলীয় অংশের পরিমাণ কম,প্লাস্টিডের পরিমাণ বেশি,b
"Which one being reduced in light independent phase, produce carbohydrate?",আলোক নিরপেক্ষ পর্যায়ে নিচের কোনটি বিজারিত হয়ে কার্বোহাইড্রেটে পরিণত হয়?,O_{2},H_{2}O,NADPH,CO_{2},O_{2},H_{2}O,NADPH,CO_{2},d
"Which type of plastid is found in green papaya?-
i. chloroplast
ii. Chromoplast
iii. Leucoplast
Which one is correct?","কাঁচা পেঁপেতে যে প্লাস্টিড থাকে তা হলো-
 i. ক্লোরোপ্লাস্ট
 ii. ক্রোমোপ্লাস্ট
 iii. লিউকোপ্লাস্ট
 নিচের কোনটি সঠিক?",i,ii,ii and iii,ii and iii,i,ii,i ও ii,ii ও iii,a
How many carbons are in Oxalo acetic acid?,অক্সালো এসিটিক এসিড ক্ষয় কার্বনবিশিষ্ট?,2,3,4,6,2,3,4,6,c
Which one is Squamous Epithelial tissue?,স্কোয়ামাস আবরণী টিস্যু কোনটি?,Collecting tubules of the kidney,Bowman's capsule of kidney,Wall of intestine,Trachea of animals,বৃক্কের সংগ্রাহক নালিকা,বৃক্কের ব্যোমান্স ক্যাপসুল,অন্ত্র প্রাচীর,প্রাণির শ্বাসনালী,b
Which one is the external factor of respiration?,শ্বসনের বাহ্যিক প্রভাবক কোনটি?,Enzyme,Intracellular water,Oxygen,Inorganic salt,এনজাইম,কোষ মধ্যস্থ পানি,অক্সিজেন,অজৈব লবণ,c
What is called parenchyma cell with air filled spaces in aquatic plants?,জলজ উদ্ভিদের বায়ুকুঠুরীযুক্ত প্যারেনকাইমাকে কী বলে?,Collenchyma,Aerenchyma,Sclerenchyma,Chlorenchyma,কোলেনকাইমা,অ্যারেনকাইমা,স্ক্লেরেনকাইমা,ক্লোরেনকাইমা,b
What kind of fruit Chalita is?,চালতা কোন ধরণের ফল?,Compound,Agregate,FALSE,TRUE,যৌগিক,গুচ্ছ,অপ্রকৃত,প্রকৃত,c
Which controls all the biological activities of a cell?,কোষের সকল জৈবিক ক্রিয়া নিয়ন্ত্রণ করে কোনটি?,Nucleus,Ribosome,Luysosome,Mitochondria,নিউক্লয়াস,রাইবোজোম,লাইসোজোম,মাইটোকন্ড্রিয়া,d
What is embryo called when it arrives uterus from the oviduct?,ভ্রূণ ডিম্বনালী থেকে জরায়ুতে পৌঁছালে তখন তাকে কী বলে?,Fetus,Morula,Blastosist,Zygote,ফিটাস,মরুলা,ব্লাস্টোসিস্ট,জাইগোট,c
"In online Biology class Swapnil watched two cell organelles. First organelle contains pigment and secon organelle contains hereditary material.
Function of first organelle-
i. manufacture food
ii. help in pollination
iii. capture light energy
Which one is correct?","স্বপ্নীল জীববিজ্ঞানের অনলাইন ক্লাসে একটি ভিডিও ক্লিপে ২ টি কোষ অঙ্গাণু দেখল। প্রথমটি রঞ্জক ধারণ করে এবং দ্বিতীয়টি বংশগতির উপাদান ধারণ করে।
 
 প্রথম অঙ্গাণুটির কাজ-
 i. খাদ্য প্রস্তুত করা
 ii. পরাগায়নে সহায়তা করা
 iii. আলোক শক্তিকে আবদ্ধ করা
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"In online Biology class Swapnil watched two cell organelles. First organelle contains pigment and secon organelle contains hereditary material.
Which one is correct in case of two organelles of the stem?","স্বপ্নীল জীববিজ্ঞানের অনলাইন ক্লাসে একটি ভিডিও ক্লিপে ২ টি কোষ অঙ্গাণু দেখল। প্রথমটি রঞ্জক ধারণ করে এবং দ্বিতীয়টি বংশগতির উপাদান ধারণ করে।
 
 উদ্দীপকের অঙ্গাণু দুটোর ক্ষেত্রে কোনটি সঠিক?",Both memberane is porus,Convered by bi-layer membrane,Nitrogen base is present,Take part in protein synthesis,উভয়ের আবরণই রন্ধ্রযুক্ত,দ্বি-স্তরী আবরণ দ্বারা আবৃত,নাইট্রোজেন বেস বিদ্যমান,প্রোটিন সংশ্লেষণে অংশ নেয়,b
What is the amount of carbon-dixoxide in water?,পানিতে CO_{2} এর পরিমাণ কত?,0.40%,0.30%,0.04%,0.03%,0.40%,0.30%,0.04%,0.03%,b
In which nucleus is absent?,নিউক্লিয়াসের অনুপস্থিতিত কোনটিতে?,Companion cell,Sieve cell,Parenchyma cell,Collenghyma cell,সাথীকোষ,সীভকোষ,প্যারেনকাইমা,কোলেনকাইমা,b
Which one of the following ius the example of C_{3} plant?,নিচের কোনটি C_{3} উদ্ভিদ?,Sugarcane,Maize,Motha grass,Paddy,আখ,ভূট্টা,মুথাঘাস,ধান,d
Which is a absent in wheat plant?,গম গাছে নিচের কোনটি অনুপস্থিত থাকে?,Phloem parenchyma,Phloem fiber,Xylem fiber,Xylem  parenchyma,ফ্লোয়েম প্যারেনকাইমা,ফ্লোয়েম ফাইবার,জাইলেম ফাইবার,জাইলেম প্যারেনকাইমা,a
What is the suitable temperature for respiration?,শ্বসনের জন্য উত্তম তাপমাত্রা কত?,23\degree - 45\degree C,20\degree - 45\degree C,18\degree - 45\degree C,12\degree - 35\degree C,২৩\degree সে. - ৪৫\degree সে.,২০\degree সে. - ৪৫\degree সে.,১৮\degree সে. - ৪৫\degree সে.,১২\degree সে. - ৩৫\degree সে.,b
"Shimul and Shila  are husband and wife. Both of them are healthy but carrier of thalassemia.
Among four children of them - (According to Mendel's Law)
i. one is affected with thalassemia
ii. two are carrier but healthy
iii. one is completely healthy
Which one is correct?","শিমুল ও শিলা স্বামী-স্ত্রী। তারা দুজনই সুস্থ কিন্তু থ্যালাসেমিয়ার বাহক।
 
 তাদের চার সন্তানের মধ্যে- (মেন্ডেলের সূত্র মতে)
 i. একজন থ্যালাসেমিয়া আক্রান্ত
 ii. দুইজন বাহক কিন্তু সুস্থ
 iii. একজন পুরোপুরি সুস্থ
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which following disease may occur in case of the children of the couple of the stem?,"শিমুল ও শিলা স্বামী-স্ত্রী। তারা দুজনই সুস্থ কিন্তু থ্যালাসেমিয়ার বাহক।
 
 উদ্দীপকের দম্পত্তির সন্তানদের ক্ষেত্রে নিচের কোন রোগটি হবার আশঙ্কা থাকে?",Diabetes,Heart attack,Colour blindness,Rheumatic fever,ডায়াবেটিস,হার্ট অ্যাটাক,বর্ণান্ধতা,বাতজ্বর,a
"X \xrightarrow{Enzyme} C_{3}H_{4}O_{3} + ATP

What amount of ATP will be produced if three molecule of 'X' is taken in the above reaction?","X \xrightarrow{এনজাইম} C_{3}H_{4}O_[3} + ATP
 
 উপরের বিক্রিয়াটিতে ৩ অণু 'X' নিলে মোট কতটি ATP উৎপন্ন হবে?",24,18,12,8,24,18,12,8,a
"Protista \rightarrow Plants \rightarrow Sea weed \rightarrow Mesophytic plant.

The number of the organisms in the stem increases-
i. mathematically
ii. geometrically
iii. rationally
Which one is correct?","প্রোটিস্ট \rightarrow উদ্ভিদ \rightarrow সামুদ্রিক আগাছা \rightarrow স্থলজ উদ্ভিদ
 
 উদ্দীপকের প্রক্রিয়ায় জীবের সংখ্যা বৃদ্ধি পায়-
 i. গাণিতিক হারে
 ii. জ্যামিতিক হারে
 iii. আনুপাতিক হারে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
What is the percentage of organic and inorganic materials in plasma?,রক্তরসে শতকতা কতভাগ জৈব ও অজৈব পদার্থ থাকে?,8-9%,10-12%,91-92%,90-95%,8-9%,10-12%,91-92%,90-95%,a
Which one of the following is sex-linked disorder?,নিচের কোনটি বংশগতি ব্যাধি?,AIDS,Hepatitis,Thalassemia,Jaundice,এইডস,হেপাটাইটিস,থ্যালাসেমিয়া,জন্ডিস,c
Which one in the function of Golgi body?,গলজি বস্তুর কাজ কোনটি?,Storage of carbohydrate,Secrention of hormone,Synthesis of protein,Destory of germs,শর্করা সঞ্চয়,হরমোন নিঃসরণ,প্রোটিন সংশ্লেষণ,জীবাণু ধ্বংসকরণ,b
Which one has one has functional similarity with Lysosome?,লাইসোজোমের সাথে নিচের কোনটির কার্যগত মিল রয়েছে?,Lymphoid cell,Nerve cell,Reproductive cell,Bone cell,লসিকা কোষ,স্নায়ু কোষ,জনন কোষ,অস্থি কোষ,a
What is the optimum temperature for respiration?,শ্বসনের জন্য উত্তম তাপমাত্রা কোনটি?,20\degree C - 25\degree C,20\degree C - 35\degree C,20\degree C - 40\degree C,20\degree C - 45\degree C,২০\degree সে. - ৩০\degree সে.,২০\degree সে. - ৩৫\degree সে.,২০\degree সে. - ৪০\degree সে.,২০\degree সে. - ৪৫\degree সে.,d
"C_{6}H_{12}O_{6} \xrightarrow{Enzyme} C_{3}H_{4}O_{3} the process of the stem-
i. is the inital stage of both acrobic and anacrobic respiration
ii. takes place in the mitochondria of a cell
iii. produces & molecules of neat ATP
Which one is correct?","C_{6}H_{12}O_{6}\xarrowright{এনজাইম}C_{3}H_{4}O_{3}
 
 উদ্দীপকের প্রক্রিয়াটি-
 i. সবাত ও অবাত শ্বসনের প্রথম ধাপ
 ii. কোষের মাইটোকন্ড্রিয়ায় ঘটে থাকে
 iii. এতে নিট অণু ATP উৎপন্ন হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
In which tissue matrix is nearly absent?,কোন টিস্যুতে মাতৃকা প্রায় অনুপস্থিত?,connective,Epithelial,Muscular,Nerve,যোজক,আবরণী,পেশি,স্নায়ু,c
Which of the following flower has many groups of filament?,নিচের কোন ফুলে বহুগুচ্ছ পরাগদণ্ড থাকে?,Shimul,Pea,Chinese hibiscus,Datura,শিমুল,মটর,জবা,ধুতুরা,a
In which of the following stone cell is present?,নিচের কোনটিতে স্টোন সেল বিদ্যমান?,Palm,Banana,Bamboo,Cycus,তাল,কলা,বাঁশ,সাইকাস,d
How many essential parts are there in a flower?,ফুলের অত্যাবশ্যকীয় অঙ্গাণু কয়টি?,2,3,4,5,2,3,4,5,a
In which of the following plant phloem parenchyma in absent?,নিচের কোন উদ্ভিদে ফ্লোয়েম প্যারেনকাইমা অনুপস্থিত?,Gnitum,Pinus,Betel-nut,Pteris,নিটাম,পাইনাস,সুপারি,ঢেঁকি শাক,c
In which of the following animal transitional tissue is absent?,নিচের কোন প্রাণীতে ট্রানজিশনাল টিস্যু অনুপস্থিত?,Easrthworm,Frog,Crocodile,Ostrich,কেঁচো,ব্যাঙ,কুমির,উটপাখি,a
How many nucleotides are there in a complete twist of DNA?,DNA-এর প্রতিটি ঘূর্ণনে কতটি নিউক্লিওটাইট উপস্থিত থাকে?,4,6,8,10,4,6,8,10,d
Which one is the structural component of the cell wall of fungus?,ছত্রাকের কোষপ্রাচীর কী দ্বারা গঠিত?,Lignin,Chitin,Pectin,Suberin,লিগনিন,কাইটিন,পেকটিন,সুবেরিন,b
Which one controls all the activities of a cell?,কোষের সকল কার্যাবলি নিয়ন্ত্রণ করে কোনটি?,Nucleus,Mitochondria,Plastid,Ribosome,নিউক্লিয়াস,মাইটোকন্ড্রিয়া,প্লাস্টিড,রাইবোসোম,a
Which one is non-membranous Cytoplasmic organelle?,ঝিল্লিবিহীন সাইটোপ্লাজমীয় অঙ্গাণু কোনটি?,Golgi body,Lysosome,Ribosome,Cell vecuole,গলজি বস্তু,লাইসোসোম,রাইবোসোম,কোষ গহ্বর,c
In which of the following animal internal reproduction occur?,নিচের কোন প্রাণিতে অন্তঃনিষেক ঘটে?,Telapia,Frog,Hilsha,Shark,তেলাপিয়া,ব্যাঙ,ইলিশ,হাঙর,d
How many cells are there in morula stage?,মরুলা দশা কত সংখ্যক কোষবিশিষ্ট?,2,4,8,16,2,4,8,16,d
Which one is air pollinated flower?,কোনটি বায়ু পরাগী ফুল?,Mustard,Paddy,Kadam,Gourd,সরিষা,ধান,কদম,কুমড়া,b
Who used the word 'evolution' for first time?,ইভোলিউশন শব্দটি প্রথম ব্যবহার করেন কে?,Aristole,Herbert Spenser,Xenophane,Darwin,অ্যারিস্টটল,হার্বার্ট স্পেনসার,জেনোফেন,ডারইউন,b
Instead of which Uracil is present in RNA?,RNA তে কোনটির পরিবর্তে ইউরাসিল থাকে?,Adenine,Guanine,Thiamine,Cytosine,এডিনিন,গুয়ানিন,থায়ামিন,সাইটোসিন,c
How many molecula of CO_{2} is produced from two molecules of glucose in crebs cycle?,ক্রেবস চক্রে দুই অণু গ্লুকোজ হতে কত অণু CO_{2} উৎপন্ন হয়?,Two,Four,Six,Eight,দুই,চার,ছয়,আট,d
Arserobic respiration is occurred in which plant?,অবাত শ্বসন ঘটে কোন উদ্ভিদে?,Corn,Yeast,Ferm,Algae,ভুট্টা,ইস্ট,ফার্ন,শৈবাল,b
Which one of the following is air pollinated flower?,বায়ুপরাগী ফুল কোনটি?,Mustard plant,Paddy,China rose,Shimul (cotton tree),সরিষা,ধান,জবা,শিমুল,b
Which hormone is secreted from oxygen supplying organ of human embryo?,মানব ভ্রূণে O_{2} সরবরাহকারী অঙ্গটি কোন হরমোন নিঃসরণ করে?,Progseterons,Androgen,Estrogen,Testosterone,প্রোজেস্টেরন,অ্যান্ড্রোজেন,ইস্ট্রোজেন,টেস্টোস্টেরন,a
Internal fertilization is occurred in which animal?,কোন প্রাণীটির অন্তঃনিষেক ঘটে?,Hilsha fish,Shark,Promfret fish (Rupchanda),Vetki fish,ইলিশ,হাঙ্গর,রূপচাঁদা,ভেটকি,b
Which one of the following is non sessile flower?,কোনটি অবৃন্তক ফুল,China rose,Datura,Indian heliotrope,Bottle gourd,জবা,ধুতুরা,হাতীশুড়,লাউ,c
Which one is a compenent of heredity of TMV?,কোনটি TMV এর বংশগতির উপাদান?,DNA,Protein,RNA,Glucose,DNA,প্রোটিন,RNA,শর্করা,c
Which disease can be created due to damage of blood empuscle contains hemoglobin?,হিমোগ্লোবিন বহনকারী কণিকাটি নষ্ট হলে কোন রোগটি হতে পারে?,Thalassemia,Leulemlas,Infertility,Colourblind,থ্যালাসেমিয়া,লিউকেমিয়া,বন্ধ্যাত্ব,কালার ব্লাইন্ড,a
Who is the father of geneties?,বংশগতিবিদ্যার জনক কে?,Linnsets,Darwin,Watson,Mendel,লিনিয়াস,ডারউইন,ওয়াটসন,মেন্ডেল,d
How many eggs are layed by a salmon fish during breeding season?,একটি স্যামন মাছ প্রজনন ঋতুতে কী পরিমাণ ডিম ছাড়ে?,Three lac,Three million,Thirty million,Three hundred million,তিন লাখ,ত্রিশ লাখ,তিন কোটি,ত্রিশ কোটি,c
Which epithellal tissue act as fiber?,কোন আবরণী টিস্যু ছাঁকনির মতো কাজ করে?,Columnar,Cuboidal,Squanous,Pseudo-stratified,কলামনার,কিউবয়ডাল,স্কোয়ামাস,সিউডো-স্ট্র্যাটিফাইড,c
Rectum is found in which system?,রেকটাম কোন তন্ত্রে পাওয়া যায়?,Diagetive system,Exeretory system,Respiratory system,Nervous system,পৌষ্টিকন্ত্র,রেচনতন্ত্র,শ্বসনতন্ত্র,স্নায়ুতন্ত্র,a
Electron transport system is occurred in which organell?,ইলেকট্রন ট্রান্সপোর্ট সিস্টেম ঘটে কোনটিতে?,Nucleus,Ribosome,Lysosome,Mitochondria,নিউক্লিয়াস,রাইবোজোম,লাইসোজোম,মাইটোকন্ড্রিয়া,d
Which one of the following is C_{4} plant?,নিচের কোনটি C_{4} উদ্ভিদ?,Banian,Mango,Sugarcane,China-rose,বট,আম,আখ,জবা,c
Cell wall of which one is made with chitin?,কোনটির কোষপ্রাচীর কাইটিন দ্বারা নির্মিত?,Virus,Bacteria,Fungus,Fern,ভাইরাস,ব্যাকটেরিয়া,ছত্রাক,ফার্ন,c
Organell that continued exyzome is participle in which process?,অক্সিজোম ধারণকারী অঙ্গাণুটি কোন প্রক্রিয়ায় অংশ নেয়?,Respiration,Osmols,Imbibitions,Photosynthesis,শ্বসন,অভিস্রবণ,ইমবাইবিশন,সালোকসংশ্লেষণ,a
Which one of the following helps to store memory?,নিচের কোনটি স্মৃতি সংরক্ষণে সাহায্য করে?,Connective tissue,Nerve tissue,Epithelial tissue,Muscular tissue,যোজক টিস্যু,স্না্যু টিস্যু,আবরণী টিস্যু,পেশি টিস্যু,b
How many nephrones are there in every kidney?,প্রতিটি বৃক্কে নেফ্রন থাকে প্রায় কতটি?,10-12,10-12 hundreds,10-12 thousands,10-12 lakhs,10-12 টি,10-12 শত,10-12 হাজার,10-12 লক্ষ,d
"Mr. sabur has such a group of blood that the can receive it form everybody.
Which is the blood group of Mr. Sabur?","সবুর সাহেবের রক্তের গ্রুপ এমন- তিনি সবার থেকে রক্ত গ্রহণ করতে পারেন।
 
 সবুর সাহেবের রক্তের গ্রুপ কোনটি?",AB,A,B,O,AB,A,B,O,a
"Mr. sabur has such a group of blood that the can receive it form everybody.
The characteristics of the said blood is-
i. Less amount of red blood corpuscles
ii. Having antigen
iii. Having no antibody
Which one is correct?","সবুর সাহেবের রক্তের গ্রুপ এমন- তিনি সবার থেকে রক্ত গ্রহণ করতে পারেন।
 
 উক্ত রক্তের বৈশিষ্ট্য হলো-
 i. লোহিত রক্ত কণিকার পরিমাণ কম
 ii. অ্যান্টিজেন আছে
 iii. অ্যান্টিবডি নেই
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which one is the precondition of developing fruits and seeds?,ফল ও বীজ উৎপাদনের পূর্বশর্ত কোনটি?,Pollination,Production of male reproductive cell,Production of female reproductive cell,Fertilization,পরাগায়ন,পুং জননকোষ উৎপাদন,স্ত্রী জননকোষ উৎপাদন,নিষেক,a
Which one is the main place of producing carbohydrates in meadow grass?,দূর্বা ঘাসের শর্করা তৈরির প্রধান স্থান কোনটি?,Flower,Mesophyll tissue,Root,Xylem tissue,ফুল,মেসোফিল টিস্যু,মূল,জাইলেম টিস্যু,b
What is name of the unit of carrrying hereditary trait of organism?,জীবের বৈশিষ্ট্য নিয়ন্ত্রণকারী এককের নাম কী?,Chromosome,DNA,RNA,Gene,ক্রোমোজোম,ডি.এন.এ,আর.এন.এ,জিন,d
"Grasshopper - Martin - Snake
Which one does the flowchart indicate?","ঘাসফড়িং \rightarrow শালিক \rightarrow সাপ।
 
 প্রবাহ চিত্রটি কোনটি নির্দেশ করে?",Struggle with environment,Interspecies struggle,Intraspecies struggle,Natural selection,পরিবেশের সঙ্গে সংগ্রাম,আন্তঃপ্রজাতিক সংগ্রাম,অন্তঃপ্রজাতিক সংগ্রাম,প্রাকৃতিক নির্বাচন,b
Who divides the living world into six kingdoms?,জীবজগতকে ছয়টি রাজ্যে ভাগ করেন কে?,Carolus Linnacus,R.H. Whittaker,Margulis,Thomas Cavalier Smith,ক্যারোলাস লিনিয়াস,আর.এইচ.হুইটেকার,মারগুলিস,টমাস কেভলিয়ার-স্মিথ,d
How many molecules of ATP are produced from 4 molecules of FADH_{2}?,4 অণু FADH_{2} থেকে কয় অণু ATP উৎপন্ন হয়?,4,8,18,38,4,8,18,38,b
Which maintains the balance of acid and alkali in human body?,দেহে অম্ল ও ক্ষারের ভারসাম্য রক্ষা করে কোনটি?,Liver,Stomach,Small intestine,Kidney,যকৃত,পাকস্থলী,ক্ষুদ্রান্ত্র,বৃক্ক,d
What is the scientific name of our national animal?,জাতীয় পশুর বৈজ্ঞানিক নাম কী?,Copsychus saularis,Nymphoea nouchali,Panthera tigris,Corchorus copsularis,Copsychus saularis,Nymphaea nauchali,Panthera tigris,Corchorus capsularis,c
From which of the following foods do we get nitrogen?,নিচের কোন খাবার থেকে আমরা নাইট্রোজেন পাই?,Potato,Lentils,Carrot,Mustard,আলু,মসুর ডাল,গাজর,সরিষা,b
"The family consists of parents and two sisters Sabina and Sahiha.
Who is most likely to develop stones in his or her kidney?","বাবা, মা এবং সাবিনা, সাবিহা দুই বোন মিলে তাদের পরিবার।
 
 উক্ত পরিবারে কার বৃক্কে পাথর হওয়ায় সম্ভাবনা বেশি?",Father,Mother,Sabina,Sabiha,বাবা,মা,সাবিনা,সাবিহা,a
In which one of the followings in callose stored?,ক্যালোজ জমা হয় নিচের কোনটিতে?,Vessels,Sieveplate,Companion cell,Tracheids,ভেসেল,সিভপ্লেট,সঙ্গীকোষ,ট্রাকিড,b
How much food calorie does 0.50 gram fats contain?,0.50 গ্রাম স্নেহতে খাদ্য ক্যালরির পরিমাণ কত?,69.04,61.6,5.28,4.5,69.04,61.6,5.28,4.5,d
Which one is prokaryotic organism?,Prokaryotic জীব কোনটি?,Mushroom,Diatom,Blue green algae,Gnetum,মাশরুম,ডায়াটম,নীলাভ সবুজ শৈবাল,নিটাম,c
Which is the external factor of transpiration?,প্রস্বেদনের বাহ্যিক প্রভাবক কোনটি?,Volume of leaf,Number of leaf,Relative humidity,Mineral element,পাতার আয়তন,পত্রের সংখ্যা,আপেক্ষিক আর্দ্রতা,খনিজ পদার্থ,c
In which organelle does the kreb cycle reaction occur?,কোন অঙ্গানুতে ক্রেবস চক্রের বিক্রিয়া সংঘটিত হয়?,Vacuole,Golgi body,Ribosome,Mitochondria,কোষগহ্বর,গলজি বস্তু,রাইবোজোম,মাইটোকন্ড্রিয়া,d
Which is a unisexual flower?,একলিঙ্গ ফুল কোনটি?,Jhinga,China rose,Pea,Paddy,ঝিঙ্গা,জবা,মটর,ধান,a
In which one does external fertilization occur?,বহিঃনিষেক ঘটে কোন ক্ষেত্রে?,Cockroach,Hilssa,China rose,Doel,আরশোলা,ইলিশ,জবা,দোয়েল,b
"In order to get sweet sugercane, we have applied in the land-",সুমিষ্ট আখ পেতে জমিতে প্রয়োগ করতে হবে-,Urea,Potassium,Boron,Manganese,ইউরিয়া,পটাশিয়াম,বোরন,ম্যাংগানিজ,c
Which one cell wall is made of chitin?,কোনটির কোষপ্রাচীর কাইটিন দিয়ে তৈরি?,Amoeba,Diatom,Penicillium,Paramecium,অ্যামিবা,ডায়য়াটম,পেনিসিলিয়াম,প্যারামেসিয়াম,c
Monir cannot differentiate between red and green. What is the location of gene which is responsible for his problem?,মনির লাল বা সবুজ বর্ণের পার্থক্য করতে পারে না। মনিরের উল্লিখিত সমস্যার জন্য দায়ী জিনের অবস্থান কোথায়?,Autosome,Mitochondria,Centrosome,Sex chromosome,অটোসোমে,মাইটোকন্ড্রিয়ায়,সেন্ট্রোজোমে,সেক্স ক্রোমোজোমে,d
How many cells are there in egg appratus?,গর্ভযন্ত্রে কয়টি কোষ থাকে?,Two,Three,Four,Five,দুইটি,তিনটি,চারটি,পাঁচটি,b
Which are present in both DNA and RNA?,কোনগুলো DNA ও RNA উভয়টিতে উপস্থিত?,Adenine and thiamine,Cytosine and thiamine,Guanine and uracil,Cytosine and guanine,অ্যাডোনিন ও থায়োমিন,সাইটোসিন ও থায়ামিন,গুয়ানিন ও ইউরাসিল,সাইটোসিন ও গুয়ানিন,d
The blood group of Nushat is O. Which group of blood she can take?,নুজহাতের রক্তের গ্রুপ O । সে কোন গ্রুপের রক্ত নিতে পারবে?,A,B,AB,O,A,B,AB,O,d
What is the reason behind the sudden damage of kidney?,আকস্মিক কিডনি বিকল হওয়ার কারণ কোনটি?,Nephritis,Diabetes,Side effect of some medicines,High blood pressure,নেফ্রাইটিস,ডায়াবেটিস,কিছু ওষুধের পার্শ্বপ্রতিক্রিয়া,উচ্চ রক্তচাপ,c
After how many months the symptoms of AIDS are visible?,কয় মাস পর এইডস রোগের লক্ষণ প্রকাশ পায়?,3 months,4 months,5 months,6 months,তিন মাস,চার মাস,পাঁচ মাস,ছয় মাস,d
"Motin found a bind of mosaic disease on tobacco leaves.
What is in the heredity component of virus given the stem?","মতিন তামাক পাতায় এক ধরনের মোজাইক রোগ দেখতে পেল।
 
 উল্লিখিত রোগটীর ভাইরাসের বংশগতির বস্তুতে কী থাকে?",Centromere,Locus,RNA,DNA,সেন্ট্রোমিয়ার,লোকাস,RNA,DNA,c
"Motin found a bind of mosaic disease on tobacco leaves.
Which bond is present in the heredity component of virus  given in the stem?
i. A = T
ii. G = C
iii. A = U
Which one is correct?","মতিন তামাক পাতায় এক ধরনের মোজাইক রোগ দেখতে পেল।
 
 উল্লিখিত রোগের ভাইরাসের বংশগতীয় বস্তুতে বন্ধন বিদ্যমান-
 i. A = T
 ii. G = C
 iii. A = U
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
