English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which is the latest components in fat digestion?,স্নেহ দ্রব্য পরিপাকের সর্ব শেষ উপাদান কোনটি?,Maltose and Glucose,Peptide and Amino Acid,Fatty Acid and Glycerol,Sucrose and Fructose,মাল্টোজ ও গ্লুকোজ,পেপটাইড ও অ্যামাইনো এসিড,ফ্যাটি এসিড ও গ্লিসারল,সুক্রোজ ও ফ্রুক্টোজ,c
The secretion of which pancreatic cell reduces blood glucose levels?,অগ্ন্যাশয়ের কোন কোষের ক্ষরন রক্তের গ্লুকোজের মাত্রা কমায়?,Alpha,Beta,Delta,Gamma,আলফা,বিটা,ডেল্টা,গামা,b
Which is not applicable for alveolus?,অ্যালভিওলাসের ক্ষেত্রে প্রযোজ্য নয় কোনটি?,Structural and functional unit of lung,It is origining from pulmonary vein,Collagen and elastin fiber present in its wall,Its wall lined with squamous epithelium cell,ফুসফুসের গঠন ও কাজের একক,পালমোনারী শিরা থেকে এদর উৎপত্তি,এদের প্রচীরে কোলাজেন ও স্থিতিস্থাপক তন্তু থাকে,এদের প্রাচীর চাপা ও স্কোয়ামাস এপিথেলিয়াল কোষে গঠিত,b
Which one is the character of axis vertebrae?,অ্যাক্সিস কশেরুকার বৈশিষ্ট্য কোনটি?,The bone is as a ring,Centrum process present in front of centrium,Odentoid process in front of centrium,Vertebral foramen is large and rounded,অস্থিটি দেখতে আংটির মতো,সেন্ট্রাম ও স্পাইনাল প্রসেস অনুপস্থিত,সেন্ট্রামের সম্মুখ প্রান্তে ওডোন্টোয়েড প্রসেস থাকে,ভার্টিব্রাল ফোরেমেন বড় ও গোলাকার,c
Which one is the part of grasshopper's female reproductive system?,নিচের কোনটি ঘাসফড়িং এর স্ত্রী জনন তন্ত্রের অংশ?,Vasa deferentia,Seminal Vesicle,Spermatheca,Ejaculatory duct,ভাস ডিফারেন্স,সেমিনাল ভেসিকল,স্পার্মাথিকা,ক্ষেপননালি,c
Which is the blood group without anti bodies?,অ্যান্টিবডিহীন রক্তগ্রুপ কোনটি?,A,B,AB,O,A,B,AB,O,c
"Sumi is the carrier of colorblindness between Rakib and Sumi couple.
According to the stem Sumi's genotype is-","রাকিব ও সুমি দম্পতির মধ্যে সুমি বর্ণান্ধতার বাহক।
 
 উদ্দীপকের আলোকে সুমির জিনোটাইপ হবে-",X^{+}X^{+},X^{+}X^{c},X^{c}X^{c},XX,X^{+}X^{+},X^{+}X^{c},X^{c}X^{c},XX,b
"Sumi is the carrier of colorblindness between Rakib and Sumi couple.
Children of the stem mentioned couple may-
 i. 50% daughter colorbilndness
 ii. 50% daughter carrier
 iii. 50% son colorblindness
 Which one is correct?","রাকিব ও সুমি দম্পতির মধ্যে সুমি বর্ণান্ধতার বাহক।
 
 উদ্দীপকের দম্পত্তির সন্তাবনা
 i. ৫০% মেয়ে বর্ণান্ধ
 iii. ৫০ মেয়ে বাহক
 iii. ৫০% ছেলে বর্ণান্ধ
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
"Homologous organ of human limb is-
 i. wings of butterfly
 ii. Flipper of seal
 iii. Wings of bird
 Which one is correct?","মানুষের হাতের সাথে প্রজাপতি ডানা
 i. প্রেজাপতির ডানা
 ii. সীল এর ফ্লিপার
 iii. পাখির ডানা
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
Which phylum beling to the excretory organ named Flame cell?,শিখা কোষ নামক রেচন অঙ্গ পাওয়া যায় কোন পর্বের প্রাণীতে?,Cnidaria,Platyhellmlinthes,Nematoda,Mollusca,Cnidaria,Platyhelminthes,Nematoda,Mollusca,b
Radial symmetry can be seen in any of the following?,নিচের কোনটিতে অরীয় প্রতি সাম্যতা দেখা যায়?,Jelly fish,Apple snail,Human,Butterfly,জেলি ফিশ,শামুক,মানুষ,প্রজাপতি,a
"Animals of sub phylum urochordata-
 i.notochord present to the tail only larval phase
 ii.body covered with a covering called tunic
 iii.oral hood present in ventral of body","ইউরোকর্ডাটা উপ পর্বের প্রাণীতে-
 i. লার্ভা দশায় কেবল লেজে নটোকর্ড থাকে
 ii. হে টিউনি নামক আচ্ছদনে আবৃত
 iii. দেহের অংকীয় দেশে ওরাল হুড থাকে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
"In the human abdominal cavity there is a curved sac-like organ which is engaged in digedtion of food.
What kind of cell contain of the organ mentioned the stem?","মানুষের উদর গহ্বরে বাঁকানো থলির মতো একটি অঙ্গ বিদ্যমান যা খাদ্য পরিপাকে নিয়োজিত।
 
 উদ্দীপকের অঙ্গটিতে কোন ধরনের কোষ থাকে?",Parietal cell,Alpha cell,Goblet cell,Beta cell,প্যারাইটাল কোষ,আলফা কোষ,গবলেট কোষ,বিটা কোষ,a
"In the human abdominal cavity there is a curved sac-like organ which is engaged in digedtion of food.
The organ of the stem digests food-
 i. protein
 ii. Carbohydrate
 iii. Fat
 Which one is correct?","মানুষের উদর গহ্বরে বাঁকানো থলির মতো একটি অঙ্গ বিদ্যমান যা খাদ্য পরিপাকে নিয়োজিত।
 
 উদ্দীপকের অঙ্গটি খাদ্য পরিপাক করে-
 i. আমিষ
 ii. শর্করা
 iii. চর্বি
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Which is the gastrodermal cell of Hydra?,Hydra-র গ্যাস্ট্রোর্ডামিসের কোষ কোনটি?,Cnidocyte cell,Reproductive cell,Nutritive cell,parietal cell,নিডোসাইট,জনন কোষ,পুষ্টি কোষ,প্যারাইটাল কোষ,c
After meals which one is directly absorbed?,কোনটি আহারের পর কোনো পরির্বতন ছাড়াই সরাসরি দেহে শোষিত হয়?,Mineral salts,Protein,Lipid,Carbohydrate,খনিজ লবণ,আমিষ,লিপিড,শার্করা,a
Which is the correct?,নিচের কোনটি সঠিক?,SA node→AV node bundle of his →Purkinje fibers,SA node→AV nose→pukinje fibers bundle of his,AV node→SA node→purkinji fibers→bundle of his,AV node→bundle of his →SA node→purkinje fibers,SA নোড \rightarrow AV নোড \rightarrow বান্ডল অব হিজ \rightarrow পারকিঞ্জি তন্তু,SA নোড \rightarrow AV নোড \rightarrow পারকিঞ্জি তন্তু \rightarrow বান্ডল অব হিজ,AV নোড \rightarrow SA নোড \rightarrow পারকিঞ্জি তন্তু \rightarrow বান্ডল অব হিজ,AV নোড \rightarrow বান্ডল অব হিজ \rightarrow SA নোড \rightarrow পারকিঞ্জি তন্তু,a
Which metallic ion help to blood clotting?,রক্ত জমাট বাঁধতে কোন ধাতব আয়ন সহায়তা করে?,Ca^{++},Mg^{++},Cu^{++},Fe^{++},Ca^{++},Mg^{++},Cu^{++},Fe^{++},a
"Functions of lymph is-
 i.lipid transport
 ii. Defensive of body
 iii. Increase immunity
 Which one is correct?","লসিকার কাজ হচ্ছে-
 i. লিপিড পরিবহন 
 ii. দেহের প্রতিরক্ষা
 iii. নোগ প্রতিরোধ ক্ষমতা বৃদ্ধি
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which part of the respiratory system is the epiglattis located?,শ্বসনতন্ত্রের কোন অংশে এপিগ্লাটিস অবস্থিত?,Trachea,Larynx,Pharynx,Vestibule,শ্বাসনালি,স্বরযন্ত্র,গলবিল,ভেস্টিবিউল,b
"Sex-linked disorders of human are-
 i. haemophilia
 ii.thalassemia
 iii.muscular dystrophy
 Which one is correct?","মানুষের লিঙ্গাজড়িত অস্বাভাবিকতা হলো-
 i. হিমোফিলিয়া 
 ii. থ্যালাসেমিয়া
 iii. মাসকুলার ডিস্ট্রফি
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
"Casein + H_{2}O\xrightarrow[]{A} Paracasein(B)
 Marked 'A' active enzyme in the stem is-","কেসিন + পানি \xrightarrow{A} প্যারাকেসিন (B)
 
 উদ্দীপকের A চিহ্নিত সক্রিয় এনজাইম কোনটি?",Pepsinogen,Tripcin,Gastrin,Renin,পেপসিনোজেন,টি্পসিম,গ্যাসট্রিক,রেনিনি,d
"Casein + H_{2}O\xrightarrow[]{A} Paracasein(B)
Product found agter breaking of B part of the stem-","কেসিন + পানি \xrightarrow{A} প্যারাকেসিন (B)
 
 উদ্দীপকের B অংশ ভাঙ্গলে পাওয়া যায়-",Peptide,Peptone,Amoino acid,Fatty acid,পেপটাইড,পেপটোন,অ্যামাইনো এসিড,ফ্যাটি অ্যাসিড,b
Which system Nephridia belongs to?,নেফ্রিডিয়া কোন তন্ত্রের সাথে সম্পর্কিত?,Excretion,Respiration,Digestion,Circulation,রেচন,শ্বসন,পরিপাক,সংবহন,a
"Charateristics of Urochordata sub-phylum-
 i.body is covered with tunic
 ii.adult animals are sessile
 iii. Notochord present throughout the whole life
 Which one is correct?","ইউরোকর্ডাটা উপপর্বের বৈশিষ্ট্য-
 i. দেহ টিউনিক দ্বারা আবৃত
 ii. পরিণত প্রাণীরা নিশ্চল
 iii. আজীবন নটোকর্ড উপস্থিত
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
Which Phylum Oyster belings to?,ঝিনুক কোন পর্বের প্রণী?,Platyhelminthes,Echinodermata,Annelida,Mollusca,Platyhelminthes,Echinodermata,Annelida,Mollusca,d
"Abdominal segments of grasshopper possess-
 i.tergum
 ii.sternum,
 iii.pleuron
 Which one is correct?","ঘাসফড়িং এর উদরের খন্ডকে বিদ্যমান-
 i. টার্গাম
 ii. স্টার্নাম
 iii. প্লিউরন
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
How many fin rays are present in a pectoral fin of Rui fish?,রুই মাছের বক্ষ পাখনায় রশ্মির সংখ্যা-,11−12,13−14,15−16,17−18,১১-১২,১৩-১৪,১৫-১৬,১৭-১৮,d
"pancreas secrets-
 i. gastrin
 ii. insulin
 iii. Tripsin
 Which one is correct?","অগ্নাশয় থেকে নিঃসৃত হয়-
 i. গ্যাস্ট্রিক
 ii. ইনসুলিন
 iii.ট্রিপসিন
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
"XX-XO is the type is sex determination found in-
 i.human
 ii.bug
 iii.grasshopper
 Which one is correct?","XX-XO পদ্ধতিতে লিঙ্গ নির্ধারিত হয়-
 i. মানুষে
 ii. ছারপোকা
 iii. ফড়িং-এ
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
The correct sequence of spreading electric signal in myogenic heart beat is-,হৃৎপিন্ডের মায়েজেনিক হৃৎস্পন্দনে বিদ্যুৎ প্রবাহের সঠিক গতিপথ কোনটি?,SAN→AVN→Purkinje fibre→Bundle of His,SAN→Purkinje fibre→AVN→Bundle of His,SAN→AVN→Bundle of His→Purkinje fibre,AVN→SAN→Bundle of His →Purkinje fibre,SAN \rightarrow AVN \rightarrow পার্কিনজি তন্তু \rightarrow বান্ডল অব হিজ,SAN \rightarrow পার্কিনজি তন্তু \rightarrow AVN বান্ডল অব হিজ,SAN \rightarrow AVN \rightarrow বান্ডল অব হিজ পার্কিনজি তন্তু,AVN \rightarrow SAN \rightarrow বান্ডল অব হিজ \rightarrow পার্কিনজি তন্তু,c
Which one takes part in clotting of blood?,রক্ত জমাট বাধতে সহায়তা করে কোনটি?,Fibrin,Heparin,Histamin,Serum,ফাইব্রিন,হেপারিন,হিস্টামিন,সিরাম,a
"As the tricuspid and bicuspid valves shut,from ventricles blood enters to pulmonary and systemic aorta respectively.
 Which one is correct case of the stem?","ট্রাইকাসপিড ও বাইকাসপিড কপাটিকা বন্ধের কারণে নিলয় হতে রক্ত যথাক্রমে পালমোনারি ও সিস্টেমিক মহাধমনিতে যায়।
 
 উদ্দীপকে উল্লেখিত ঘটনাটির ক্ষেত্রে নিচের কোনটি সঠিক?",Atrial diastole,Atrial systole,Ventricular systole,Ventricular diastole,অলিন্দেদের ডায়াস্টোল,অলিন্দের সিস্টোল,নিলয়ের সিস্টোল,নিলয়ের ডায়াস্টোল,c
"As the tricuspid and bicuspid valves shut,from ventricles blood enters to pulmonary and systemic aorta respectively.
The cited two valves of the stem remain closed in the stage of-
 i.Atrial systole
 ii.Atrial diastole
 iii.Ventricular systole
 Which one is correct?","ট্রাইকাসপিড ও বাইকাসপিড কপাটিকা বন্ধের কারণে নিলয় হতে রক্ত যথাক্রমে পালমোনারি ও সিস্টেমিক মহাধমনিতে যায়।
 
 উদ্দীপকে উল্লেখিত কপাটিকা দুটি ‍বন্ধ থাকে যে ধাপে-
 i. অলিন্দের সিস্টোল
 ii. অলিন্দের ডায়াস্টোল
 iii. নিলয়ের সিস্টোল
 নিচের কোনটি সঠিক উত্তর?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
"Deviation from Mendal's 1st law are-
 I. Incomplete dominance
 ii.epistasis
 iii.lethal gene
 Which one is correct?","কোনগুলো মেন্ডেলের প্রথম সূত্রের ব্যতিক্রম?
 i. অসম্পূর্ণ প্রকটতা
 ii. এপিস্ট্যসিস
 iii. লিথাল জিন
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
"Who proposed""theory of inheritance of acquired characters""?",অর্জিত বৈশিষ্টের উত্তরাধিকার কার মতবাদটি কার দেয়া?,Charles Darwin,Jean Baptiste Lamarck,August Weismann,Hugo de vries,চার্লস ডারউইন,জ্যা ব্যাপটিস্ট ল্যামার্ক,অগাস্ট ভাইজম্যান,হুগো দ্যা ভ্রিস,b
"White and black both types of offspring are produced by the cross between two black guinea pigs.
 What are the genotypec of parents cited in stem?","দুটি কালো গিনিপিগের মধ্যে ক্রস ঘটানোর ফলে সাদা ও কালো উভয় ধরনেরই অপত্য জন্ম নিল।
 
 উদ্দীপকে উল্লেখিত গিনিপিগের মাতা-পিতার জিনোইপ কী ধরনের?","Bb,Bb","BB,Bb","Bb,bb","BB,bb","Bb,Bb","BB,Bb","Bb, bb","BB,bb",a
"White and black both types of offspring are produced by the cross between two black guinea pigs.
What is the ratio of black and white offsprings from the cross cited in the stem?","দুটি কালো গিনিপিগের মধ্যে ক্রস ঘটানোর ফলে সাদা ও কালো উভয় ধরনেরই অপত্য জন্ম নিল।
 
 উদ্দীপকের আলোকে কালো ও সাদা অপত্যের অনুপাত কত?",1:01,2:01,3:01,1:02,১ : ১,২ : ১,৩ : ১,১ : ২,c
Flame cell'-is found in which phylum?,কোন পর্বে শিখা কোষ পাওয়া যায়?,Nematoda,Arthropoda,Platyhelminthes,Echinodermata,Nematoda,Arthropoda,Playtyhelminthes,Echinodermata,c
What is the name of the enzyme that is released by the breakdown of thrombocytes in the wound sits?,ক্ষতস্থানে থ্রম্বোসাইটের ভাঙনের ফলে যে উৎসেচকটি বের হয় তার নাম কী?,Fibrinogen,Prothrombin,Thromboplastin,Kinase,ফইব্রিনোজেন,প্রোথ্রম্বিন,থ্রম্বোপ্লাস্টিন,কাইনেজ,c
Which of the following is protein digesting enzyme?,নিচের কোনটি প্রেটিন পরিপাককারী এনজাইম?,Trypsin and Collagenase,Chymotrypsin and Phospholipase,Collagenase and Lipase,Pepsin and Amylase,ট্রিপসিন ও কোলজিনেজ,কাইমোট্রিপসিন ও ফসফোইপেজ,কোলজিনেজ ও লাইপেজ,পেপসিন ও অ্যামাইলেজ,a
"Function of bile-
 i.emulsifies of fatty foods
 ii. To help in the absorption of vitamin A,D E and K
 iii.to expel out copper,zinc,mercury and toxin substance
 Which one is correct?","পিত্তরসের কাজ হচ্ছে-
 i. চর্বিজাতীয় খাদ্যকে ইমালসিফাই করা
 ii. ভিটামিন A,D,E,ও K শোষণে সহায়তা করে
 iii. কপার, জিংক, পারদ ও টক্সিন পদার্থ নিষ্কাশিত করা
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which valve is present between between right atrium and right ventricle?,ডান অলিন্দ ও ডান নিলয়ের মাঝে কী ভালভ থাকে?,Bicuspid,Tricuspid,Eustachian,Semilianar,বাইকাসপিড,ট্রাইকাসপিড,ইউস্টোশিয়ান,সেমিলুনার,b
How many seconds of the duration of atrial systole?,অ্যাট্রিয়ামের সিস্টোলের স্থিতিকাল কত সেকেন্ড?,0.1,0.3,0.5,0.7,0.1,0.3,0.5,0.7,a
Why is 1:2:1 instead of 3:1?,কেন ৩:১ না হয়ে ১:২:১ হয়?,Epistasis,Lethalgene,Co-dominance,Complementary gene,এপিস্ট্যাসিস,লিথাল জিন,সমপ্রকটতা,পেরিপূরক জিন,c
"If mother is colour blind and father is normal,what percentage of sons will be colour blind?",মাতা বর্ণান্ধ ও পিতা স্বাভাবিক হলে পুত্রগণ শতকরা কত অংশ বর্ণান্ধ হবে?,100,75,50,25,100,75,50,25,c
"O' blood group can donate blood to those who are-
 i. 'A' blood group
 ii. 'B' blood group
 iii. 'AB' blood group
 Which one is correct?","O' রক্ত গ্রুপধারী রক্ত দিতে পারে যাদেরকে- 
 i. 'A' রক্ত গ্রুপ
 ii. 'B' রক্ত গ্রুপ
 iii. 'AB' রক্ত গ্রুপ
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which is paired fin of Rui fish?,রুই মাছের জোড় পাখনা কোনটি?,Pectoral,Dorsal,Anal,Caudal,বক্ষ,পৃষ্ঠ,পায়ু,পুচ্ছ,a
Ammocete larval stage seen in which animal?,অ্যামোসিট (Ammocete ) লার্ভা দশা দেখা যায় কোনটিতে?,Hagfish,Shark,Stingray,Lamprey,হ্যাগফিস,হাঙর,স্টিংরে,ল্যামপ্রে,d
What is the number of chambers in the heart of a Bat?,বাদুড়-এর হৃৎপিন্ডে প্রকোষ্ঠের সংখ্যা কতটি?,2,3,4,7,2,3,4,7,c
Who is the introducer of the theory of inheritance of acquired characters?,"""অর্জিত বৈশিষ্ট্যের উত্তরাধিকার"" মতবাদের প্রবক্তা কে?",Darwin,Huxley,Hackel,Lamarck,ডারউইন,হাক্সলি,হেকেল,ল্যামার্ক,d
What is produced by the breakdown of sucrose by surcrase enzyme?,সুক্রোজ এনজাইম সুক্রোজকে ভেঙ্গে কী তৈরি করে?,Glucose+Fructose,Moltose+Glucose,Moltose+Galactose,Glucose++Galactose,গ্লুকোজ+ফ্রুক্টোজ,মল্টোজ+গ্লুকোজ,মাল্টোজ+গ্যালাকটোজ,গ্লুকোজ+গ্যালাকটোজ,a
"Mr.Kamal and his wife both are deaf-mute,but their children were all normal.
 What is the reason to be normal children in the light of the stem?","কামাল সাহেব ও তাঁর স্ত্রী উভয়ে মূক-বধির, কিন্তু দেখা গেল তাদের সন্তানেরা সবাই স্বাভাবিক।
 
 উদ্দীপকের আলোকে সন্তানেরা স্বাভাবিক হওয়ার কারণ কী?",Recessive epistasis,Dominant epistasis,Duplicate recessive epistasis,Polygenic inceritance,প্রচ্ছন্ন এপিস্ট্যাসিস,প্রোকট এপিস্ট্যাসিস,দ্বৈত প্রচ্ছন্ন এপিস্ট্যাসিস,পলিজেনিক ইনহেরিট্যান্স,c
"Mr.Kamal and his wife both are deaf-mute,but their children were all normal.
Children of F2 generation may become deaf-mute-
 i.through the siblinf cross
 ii.in the presence of recessive heterozygous gene
 iii.In the presence of recessive homozygous gene
 Which one is correct?","কামাল সাহেব ও তাঁর স্ত্রী উভয়ে মূক-বধির, কিন্তু দেখা গেল তাদের সন্তানেরা সবাই স্বাভাবিক।
 
 F_{2} জনুর সন্তানেরা মূক বধির হওয়া সম্বব
 i. সিবিলিং ক্রসের মাধ্যমে
 ii. প্রচ্ছন্ন জিনের হেটারোজাইগাস উপস্থিতিতে
 iii. প্রচ্ছন্ন জিনের হোমোজাইগাস উপস্থিতিতে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Where is urea produced?,ইউরিয়া কোথায় তৈরি হয়?,Kidney,Pancreas,Lung,Liver,বৃক্ক,অ্যাগ্ন্যাশয়,ফুসফুস,যকৃত,d
Which is called pace-maker?,কোনটিকে পেসমেকার বলে?,Sino-atrial node,Atrio -Ventricular Node,Bundle of His,Purkinje fibres,সাইনো অ্যাট্রিয়াল নোড,অ্যাট্রিও ভেন্টিকুলার নোড,বান্ডল অব হিজ,পারকিনজি তন্তু,a
What are the correct chronological orders arranged in grasshopper legs?,ঘাসফড়িং এর পায়ের গঠনের সঠিক ক্রম হলো-,Coxa→Trochanter→Femur→Tibia→Tarsus,Trochanter→Femur→Tibia→Coxa→Tarsus,Coxa→Femur→Trochanter→Tibia→Tarsus,Trochanter→Coxa→Tibia→Femur→Tarsus,কক্সা \rightarrow ট্রোক্যান্টার \rightarrow ফিমার \rightarrow টিবিয়া \rightarrow টার্সাস,ট্রোক্যান্টার \rightarrow ফিমার \rightarrow টিবিয়া \rightarrow কক্সা \rightarrow টার্সাস,কক্সা \rightarrow ফিমার \rightarrow ট্রোক্যান্টার \rightarrow টিবিয়া \rightarrow টার্সাস,ট্রোক্যান্টার \rightarrow কক্সা \rightarrow টিবিয়া \rightarrow ফিমার \rightarrow টার্সাস,a
Which artery carries blood to the pelvic fin of Rui?,রুই মাছের শ্রেণী পাখনায়ে রক্ত নিয়ে যায় কোন ধমনী?,Coeliaco-mesenteric,lliac,parietal,Caudal,সিলিয়াকো মেসেনটারিক,ইলিয়াক,প্যারেন্টাল,কডাল,b
"Although Rafique is unable to see normal colour vison,his sister Sahanaj is avle to normal colour vision.Though his parents are able to normal colour vision.
 According to the stem,the genotype of his parents are-","রফিক স্বাভাবিক বর্ণ দর্শনে অক্ষম হলেও তার বোন শাহনাজ স্বাভাবিক বর্ণ দর্শনে সক্ষম। যদিও তার পিতা-মাতা উভয়েই স্বাভাবিক বর্ণ দর্শনে সক্ষম।
 
 উদ্দীপক অনুসারে রফিকের পিতা-মাতার জিনোটাইপ হবে-","_{X}B_{X}b, _{X}B_{Y}","_{X}B_{X}B, _{X}b_{Y}","_{X}b_{X}b, _{X}B_{Y}","_{X}B_{X}B, _{X}B_{Y}","_{X}B_{X}b, _{X}B_{Y}","_{X}B_{X}B, _{X}b_{Y}","_{X}b_{X}b, _{X}B_{Y}","_{X}B_{X}B, _{X}B_{Y}",a
"Although Rafique is unable to see normal colour vison,his sister Sahanaj is avle to normal colour vision.Though his parents are able to normal colour vision.
According to the stem ,the genotype of Rafique and Sahanaj are-","রফিক স্বাভাবিক বর্ণ দর্শনে অক্ষম হলেও তার বোন শাহনাজ স্বাভাবিক বর্ণ দর্শনে সক্ষম। যদিও তার পিতা-মাতা উভয়েই স্বাভাবিক বর্ণ দর্শনে সক্ষম।
 
 উদ্দীপক অনুসারে রফিক ও শাহনাজের জিনোটাইপ হবে-","xBY and xBxB,XBxb","xbY and XBxB,xbxb","xBY and xBxb,xbxb","xbY and xBxB,xBxn","xBY ও xBxB,XBxb","xbY ও XBxB,xbxb","xBY ও xBxb,xbxb","xbY ও xBxB,xBxn",d
"A student of class XII Jony,his height is 1.65 meter and weight is 75 km.
 Then which levels of obesity belongs to him?",দ্বাদশ শ্রেণীর ছাত্র জনের উচ্চতা ১.৬৫ মিটার এবং ওজন ৭৮ কেজি হলে সে স্থূলতার কোন পর্যায়ে আছে?,Over weight,Class I obesity,class II obesity,class III obesity,অতিরিক্ত ওজন,১ম শ্রেণীর স্থূলতা,২য় শ্রেণীর স্থলতা,৩য় শ্রেণীর স্থলতা,a
Which hormone secrets from alpha(α) cell of pancreas?,অগ্নাশয় এর আলফা কোষ থেকে নিঃসৃত হরমোন কোনটি?,Glucagon,Insuling,Somatostatin,pancreatic polyprptide,গ্লুকাগন,ইনসুলিন,সোমাটোস্টাটিন,প্যানক্রিয়েটিক পলিপেপটাইড,a
Which components absent in lymph?,কোন উপাদানটি লসিকায় অনুপস্থিত?,Creatin,Annelida,Platelets,Lymphocytes,ক্রিয়েটিন,এন্টি বডি,অনুচক্রিকা,লিম্ফোসাইট,c
"LUB-DUB' sound produces at that stage of cardiac cycle?
 i.atrial systole
 ii.Ventricular systole
 iii.Ventricular diastole
 Which one is correct?","লাব-ডাব' শব্দ সৃষ্টি হয় কর্ডিয়াক চক্রের যে ধাপে-
 i. এ ট্রি আমের সিস্টোল
 ii. ভেন্টারি কলের সিস্টোল
 iii. ভেন্টি কলের ডায়াস্টল
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
Who is the introducer of the theory of inheritance of acquired characters?,অর্জিত বৈশিষ্ট্যের উত্তরাধিকার'- মতবাদের প্রবর্তক কোন বিজ্ঞানী?,Lamarck,Charles Darwin,Hugo de Vries,Alfred Russel,ল্যামার্ক,চার্লস ডারউইন,হু গো দা ভ্রিস,আল ফ্রেন্ড রাসেল,a
"Blood circulatory and respiratory systems are absent in-
 i. Nematoda
 ii. Mollusca
 iii.Platyhelminthes
 Which one is correct?","রক্ত সংবহন ও শ্বসনতন্ত্র অনুপস্থিত-
 i. Nematoda 
 ii. Mollasca
 iii. Platyhelminthes
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
A thin membrane named 'Mantle' is present in-,ম্যান্টল' নামক পাতলা আবরণ থাকে-,Porifera,Nematoda,Mollusca,Annelida,porifera,nematoda,mollasca,Annelida,c
How many pairs of spiracle present in the thoracic region of Grasshopper>,ঘাসফড়িং এর বক্ষঅঞ্চলে কত জোড়া শ্বাসরন্ধ্র থাকে?,2,5,8,10,2,5,8,10,a
"Though Rui and Shark both are fish but there is a systematic and structural differences present between them.
 The firstly mentioned animal of the stem belongs to that class is-","রুই ও হাঙর উভয়ই মাছ হলেও এদের মধ্যে শ্রেণিবিন্যাসগত ও গাঠনিক পার্থক্য বিদ্যমান।
 
 উদ্দীপকে উল্লেখিত প্রথম প্রাণীটি যে শ্রেণীর অন্তর্গত-",Myxini,Sarcopterygii,Actinopterygii,Chondricthyes,Myxini,Sarcopterygii,Actinopterygii,Chondrichthyes,c
"Though Rui and Shark both are fish but there is a systematic and structural differences present between them.
In case of second animal of the stem-
 I. placoid scale present
 ii.xaudla fin heterocercal
 iii.four pairs of gill present
 Which one is correct?","রুই ও হাঙর উভয়ই মাছ হলেও এদের মধ্যে শ্রেণিবিন্যাসগত ও গাঠনিক পার্থক্য বিদ্যমান।
 
 উদ্দীপকে উল্লিখিত দ্বিতীয় প্রাণীটির ক্ষেত্রে প্রযোজ্য-
 i. প্ল্যাকোয়েড আঁশ বিদ্যমান
 ii. পুচ্ছ পাখনা হেটারো সাার্কাল
 iii. ৪ জোড়া ফুলকা থাকে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
