English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"The decisions of the Michelson Morley's experiments are-
 i. there is no any either medium in this universe
 ii. Galilian transformation is right
 iii. the velocity of light is constant, that is not dependable of any observer
 Which one is correct?","মাইকেলসন-মর্লির পরীক্ষার সিদ্ধান্তসমূহ হচ্ছে-
 i. ইথার মাধ্যম বলতে এ মহাবিশ্বে কিছু নেই
 ii. গ্যালিলিওর রূপান্তর সঠিক
 iii. আলোর বেগ একটি ধ্রুব রাশি যা কোনো পর্যবেক্ষকের উপর নির্ভরশীল নয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
Deffraction is one kind of-,অপবর্তন এক বিশেষ ধরনের-,polarisation,reflection,interference,refraction,সমবর্তন,প্রতিফলন,ব্যাতিচার,প্রতিসরণ,c
What is the unit of electric flux?,তড়িৎ ফ্লাক্সের একক কী?,NC^{-1}m^{2},JC^{-1},V,VM^{-1},NC^{-1}m^{2},JC^{-1},V,VM^{-1},a
Which fundamental force's field particle the Intermediate Vectar Bosom is-,Intermediate vector boson কোন মৌলিক বলের ক্ষেত্রকণার মান?,a strong nuclear force,weak nuclear force,gravitational force,electromagnetic force,সবল নিউক্লিয় বল,দুর্বল নিউক্লিয় বল,মহাকর্ষ বল,তড়িৎ চুম্বকীয় বল,b
"For the neutron the fact is correct-
 i. it is chargeless particle
 ii. by decaying creates a proton, an electron and an antinutrino
 iii. it is highly peretrating power
 Which one is correct?","নিউট্রনের ক্ষেত্রে সঠিক হলো-
 i. এটি চার্জহীন কণিকা
 ii. এটি ক্ষয়প্রাপ্ত হয়ে একটি প্রোটন, একটি ইলেক্ট্রন ও একটি এন্টি নিউট্রনো তৈরি করে
 iii. এটি অত্যধিক ভেদন ক্ষমতাসম্পন্ন
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
What is not a polar dielectric substance of the below?,নিচের কোনটি পোলার ডাইইলেক্ট্রিক পদার্থ নয়?,HN_{3},HCl,H_{2}O,CH_{4},HN_{3},HCl,H_{2}O,CH_{4},d
"The characteristics of photoelectric effect is-
 i. it is instantaneous incident
 ii. the kinetic energy of photoelectron is proportional the frequency of the incident light
 iii. the amount of the photoelectric current is inversely proportional to the intensity of the incident light
 Which one is correct?","আলোক তড়িৎ ক্রিয়ার বৈশিষ্ট্য হলো-
 i. এটি একটি তাৎক্ষণিক ঘটনা
 ii. ফটি ইলেক্ট্রনের গতিশক্তি আপতিত আলোর কম্পাঙ্কের সমানুপাতিক
 iii. ফটোতড়িৎ প্রবাহের মান আপতিত আলোর তীব্রতার ব্যস্তানুপাতিক
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
What is the maximum number of diodes required for a full wave rectifier?,পূর্ণ তরঙ্গ রেকটিফায়ারে সর্বোচ্চ কতটি ডায়োড প্রয়োজন?,1,2,3,4,1,2,3,4,d
"If electricity flows through a parallel connection of two resistance of unequal values then-
 i. electricity will flow through the resistance with different values
 ii. potential difference will be equal to the both points
 iii. heat production will be low to the low valued resistance
 Which one is correct?","অসম মানের দুটি রোধকে সমান্তরালে যুক্ত করে তড়িৎ প্রবাহিত করলে-
 i. রোধ দুটিতে ভিন্ন মানের তড়িৎ প্রবাহিত হবে
 ii. উভয় রোধের বিভব পার্থক্য সমান হবে
 iii. কম মানের রোধের প্রান্তে কম তাপ উৎপন্ন হবে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"When a p-n junction is in reverse bias, if the applied voltage increases to certain voltage, the electric current in the p-n junction suddenly increases very high. This voltage is called-",p-n জাংশন বিমুখী ঝোঁকে থাকাকালীন ভোল্টেজ ক্রমশ বাড়তে থাকলে একটি বিশেষ ভোল্টেজে প্রবাহমাত্রা হঠাৎ বেড়ে যায়। এই ভোল্টেজকে বলা হয়-,hall voltage,lost voltage,zener voltage,none of the above,হল ভোল্টেজ,লস্ট ভোল্টেজ,জজেনার ভোল্টেজ,কোনোটিই না,c
The number (19E)_{16} hexadecimal indicates what is the number in decimal?,(19 E)_{16} হেক্সাডেসিমেল নম্বরটি ডেসিমেলে কত সংখ্যা নির্দেশ করে?,214,314,414,514,214,214,414,514,c
"For the isothermal process it obeys that-
 i. in this process temperature remains constant
 ii. in this process, dQ = - dW
 iii. heat is exchangeable between the system and environment
 Which one is correct?","সমোষ্ণ প্রক্রিয়ার ক্ষেত্রে প্রযোজ্য হলো-
 i. এ প্রক্রিয়ায় তাপমাত্রা স্থির থাকে
 ii. এ প্রক্রিয়ায় dQ = - dW
 iii. এ প্রক্রিয়ায় সিস্টেম ও পরিবেশের মধ্যে তাপের আদান-প্রদান হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
What is the relation between the distance of the two successive bright interference fringe (\Delta x) and the width of a single bright fringe (\delta x) in Young's double slits experiment?,ইয়ং এর দ্বিচিড় পরীক্ষায় সৃষ্ট ব্যাতিচার ঝালরে পর পর দুটি উজ্জ্বল ডোরার ব্যবধান (\Delta x) এবং একটি উজ্জ্বল ডোরার প্রস্থ (\delta x) এর মধ্যকার সম্পর্ক নিচের কোনটি?,\Delta x = 2 \delta x,\delta x = 2 \Delta x,\delta x = \frac{\Delta x}{4},\Delta x = \frac{\delta x}{4},\Delta x = 2 \delta x,\delta x = 2 \Delta x,\delta x = \frac{\Delta x}{4},\Delta x = \frac{\delta x}{4},a
Which one of the below is incorrect for potential difference?,বিভব পার্থক্যের জন্য নিচের কোনটি সঠিক নয়?,Potential difference permits electric current from one point to another of the circuit,Potential difference depends on the resistance of the conductor,Potential difference is a result of the e.m.f of the circuit,Potential difference of any two points in a circuit is greater than e.m.f of the cell of the circuit,বিভব পার্থক্য বর্তনীর যেকোনো দুই বিন্দুর মধ্যে তড়িৎ সরবরাহ করে,বিভব পার্থক্য পরিবাহীর রোধের উপর নির্ভর করে,বর্তনীর যেকোনো দুই বিন্দুর বিভব পার্থক্য তড়িচ্চালক বলের ফল,বর্তনীর যেকোনো অংশের বিভব পার্থক্য কোষের তড়িচ্চালক শক্তি অপেক্ষা বেশি,d
The depletion layer of PN junction in forward bias is-,Forward bias এ PN জাংশনের ডিপ্লেশন স্তর-,extended,compressed,remain unchanged,charged,প্রসারিত হয়,সংকুচিত হয়,অপরিবর্তিত থাকে,চার্জিত হয়,b
"When a beta particle is emitted, then in the nucleus-",একটি বিটা কণা নির্গত হলে নিউক্লিয়াসের-,number of proton is increased,number of neutron is increased,number of proton is decreased,mass number is increased,প্রোটন সংখ্যা বৃদ্ধি পায়,নিউট্রন সংখ্যা বৃদ্ধি পায়,প্রোটন সংখ্যা হ্রাস পায়,ভরসংখ্যা হ্রাস পায়,a
"After passing through a narrow slit, the ray of light enters in the geometric region is called-",সরু চিড়ের মধ্য দিয়ে গমনের পর আলোক রশ্মি জ্যামিতিক ছায়া অঞ্চলে প্রবেশ করাকে বলে-,dispersion,interference,diffraction,polarization,বিচ্ছুরণ,ব্যতিচার,অপবর্তন,সমবর্তন,c
Which of the following substance as impurity is used to get N-type semiconductor?,N টাইপ অর্ধপরিবাহী পাওয়ার জন্য নিচের কোন পদার্থটি অপদ্রব্য হিসেবে ব্যবহার করা হয়?,Aluminium,Antimony,Boron,Indium,এলুমিনিয়াম,এন্টিমনি,বোরন,ইন্ডিয়াম,b
Which colour of light will be used to minimize the width's of interference fringe in the Young's double slit experiment?,ইয়ং এর দ্বিচিড় পরীক্ষায় কোন বর্ণের আলো ব্যবহার করলে ব্যতিচার ডোরার বিস্তার সবচেয়ে কম হবে?,Red,Green,Violet,Orange,লাল,সবুজ,বেগুনি,কমলা,c
"Any system absorbed 50 Joule heat energy from the environment and did 20 Joule work on the environment.
 What does the change in internal energy of this system?",কোনো ব্যবস্থা পরিবেশ থেকে 50 জুল তাপ শক্তি শোষণ করে এবং পরিবেশের উপর 20 জুল কাজ সম্পাদন করে। এতে ব্যবস্থার অন্তঃস্থ শক্তির পরিবর্তন কত?,20 Joule,30 Joule,50 Joule,70 Joule,20 জুল,30 জুল,50 জুল,70 জুল,b
A charge of 5 \times 10^{-11} is given to the surface of a spherical conductor of radius 100 cm. The potential at a distance of 25 cm. from the centre of the sphere will-,100 cm ব্যাসার্ধবিশিষ্ট একটি গোলকের পরিবাহীর পৃষ্ঠে 5 \times 10^{-11} কুলম্ব চার্জ প্রদান করা হলো। গোলকের কেন্দ্রে থেকে 25 cm দূরে তড়িৎ বিভব হবে-,3.6 V,1.8 V,0.9 V,0.45 V,3.6 V,1.8 V,0.9 V,0.45 V,d
"In the photoelectric effect-
 i. if the frequency of incident light will be less than the threshold frequency then the electron is emmitted only.
 ii. If the frequency of light is increased then stopping potential is increased
 iii. there is a relation between the energy of emitted electron with the change of colour of light.
 Which one is correct?","আলোর তড়িৎ ক্রিয়ায়-
 i. আপতিত আলোর কম্পাংক সূচন কম্পাংকের চেয়ে কম হলেই কেবল Electron নির্গমন ঘটে
 ii. আলোর কম্পাংক বাড়ালে নিবৃত্তি বিভব বৃদ্ধি পায়
 iii. আলোর বর্ণ পরিবর্তনের সাথে নির্গত ইলেক্ট্রনের শক্তির সম্পর্ক রয়েছে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
If the frequency of a photon of X-ray is 4 \times 10^{15} Hz then what will the value of energy?,X-ray এর একটি ফোটনের কম্পাংক 4 \times 10^{15} Hz হলে এর শক্তি কত হবে?,26.52 \times 10^{-34} Joule,26.52 \times 10^{-19} Joule,26.52 \times 10^{-19} Joule,26.52 \times 10^{-40} Joule,26.52 \times 10^{-34} জুল,26.52 \times 10^{-19} জুল,26.52 \times 10^{-19} জুল,26.52 \times 10^{-40} জুল,b
"The unit of radoactive activity-
 i. Becquerel
 ii. Curie
 iii. Rutherford
 Which one is correct?","তেজস্ক্রিয় সক্রিয়তার একক-
 i. বেকেরেল
 ii. কুরী
 iii. রাদারফোর্ড
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
If the current flow suddenly increases abnormally in the reversed bias of p-n junction then this event is called-,"বিপরীত ঝোঁক যখন PN জাংশনে তড়িৎ প্রবাহ হঠাৎ করে স্বাভাবিক হারে বৃদ্ধি পায়, তখন এই ঘটনাকে বলা হয়-",amplification,filtering,zener effect,rectification,অ্যামপ্লিফিকেশন,ফিল্টারিং,জেনার ক্রিয়া,রেক্টিফিকেশন,c
Which one of the following is not used to prove the laws of reflection and refraction of light?,নিচের কোনটি দ্বারা আলোর প্রতিফলন ও প্রতিসরণের সূত্র প্রমাণ করা যায় না?,Huygens,Farmats principle,Corpuscular theory,Bohr's corresponding principle,হাইগেন্‌স এর নীতি,ফার্মাটের নীতি,নিউটনের কণা তত্ত্ব,বোরের অনুরূপতার নীতি,d
If the current of 1 A is passed through 1\Omega resistance per second then the amount of produced heat is-,প্রতি সেকেন্ডে 1 \Omega রোধের মধ্য দিয়ে 1 A তড়িৎ প্রবাহমাত্রা প্রেরণ করা হলে উৎপন্ন তাপের পরিমাণ-,0.2 J,0.24 Cal,4.2 J,4.2 Cal,0.24 J,0.24 cal,4.2 J,4.2 cal,b
"In adiabatic process-
 i. entropy is unchanged
 ii. there is no exchange of heat
 iii. there is no change of temperature
 Which one is correct?","রুদ্ধতাপীয় প্রক্রিয়ায়-
 i. Entropy অপরিবর্তিত থাকে
 ii. তাপের আদান প্রদান ঘটে না
 iii. তাপমাত্রার পরিবর্তন ঘটে না
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
What is the value of \gamma of triatomic gas?,ত্রিপরমাণুক গ্যাসের জন্য \gamma এর মান-,1.33,1.41,1.66,3,1.33,1.41,1.66,3,a
The capacitance of a spherical conductor varies with its radius-,গোলকের পরিবাহীর ধারকত্ব উহার ব্যাসার্ধের-,proportional,inversely proportional to the square root,proportional to the square,inversely proportional,সমানুপাতিক,বর্গের ব্যস্তানুপাতিক,বর্গমূলের সমানুপাতিক,ব্যস্তানুপাতিক,a
"If the current flow in a conductor becomes five times, then how many times the rate of heat production?",কোনো পরিবাহীতে তড়িৎ প্রবাহমাত্রা পাঁচগুণ করা হলে তাপ উৎপাদনের হার কত গুণ হবে?,\frac{1}{5},5,25,50,\frac{1}{5},5,25,50,c
Which one of the following is electromagnetic?,নিচের কোনটি তড়িৎ চুম্বকীয় তরঙ্গ?,Alpha rays,Beta rays,Gamma rays,Photoelectron,আলফা রশ্মি,বিটা রশ্মি,গামা রশ্মি,ফটোইলেক্ট্রন,c
"When a photon of energy equal to the work function of a metal is incident, the kinetic energy of the emitted electron-",কোনো ধাতুর কার্য অপেক্ষকের সমান শক্তির একটি ফোটন আপতিত হলে নির্গত ইলেক্ট্রনের গতিশক্তি-,zero,infinity,equal to the energy of incident photon,equal to the work function,শূন্য,অসীম,আপতিত ফোটনের শক্তির সমান,কার্য অপেক্ষকের সমান,a
"The equation of the produced heat in the circuit is-
 i. VIt
 ii. \frac{V^{2}}{Rt}
 iii. I^{2}Rt
 Which one is correct?","তড়িৎ বর্তনীতে উৎপন্ন তাপের সমীকরণ হলো-
 i. Vit
 ii. \frac{V^{2}}{Rt}
 iii. I^{2}Rt
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
"The combined form of 1st and 2nd law of thermodynamics is-
 i. dW = TdS - dU
 ii. dW = TdS - PdV
 iii. dW = TdS - C_{v}dT
 Which one is correct?","তাপগতিবিদ্যার প্রথম ও দ্বিতীয় সূত্রের সমন্বিত রূপ হলো-
 i. dW = TdS - dU
 ii. dU = TdS - pdV
 iii. dW = TdS - CVdT
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
The capacitance of a spherical conductor varies with its radius-,গোলাকার পরিবাহীর ধারকত্ব এর ব্যাসার্ধের-,proportional,inversely proportional to the square root,inversely proportional,proportional to the square,সমানুপাতিক,বর্গের ব্যস্তানুপাতিক,ব্যস্তানুপাতিক,বর্গের সমানুপাতিক,a
"The shape of the incident wave front of Fresnel's class diffraction will be-
 i. spherical
 ii. plane
 iii. cylendrical
 Which one is correct?","ফ্রেনেল শ্রেণির অপবর্তনে আপতিত তরঙ্গমুখের আকৃতি হবে-
 i. গোলীয়
 ii. সমতল
 iii. সিলিন্ডার
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
What is the mass of electron of kinetic energy at 1.6 \times 10^{6}eV?,1.6 \times 10^{6} eV গতিশক্তি সম্পন্ন ইলেকট্রনের ভর কত?,3.75 \times 10^{-31} kg,9.1 \times 10^{-31} kg,9.75 \times 10^{-31} kg,37.54 \times 10^{-31} kg,3.75 \times 10^{-31} kg,9.1 \times 10^{-31} kg,9.75 \times 10^{-31} kg,37.54 \times 10^{-31} kg,d
Which one if the following is not variable according to the theory of relativity?,আপেক্ষিক তত্ত্ব অনুসারে নিচের কোনটি পরিবর্তনশীল নয়?,Mass,Time,Velocity of light,Length,ভর,সময়,আলোর দ্রুতি,দৈর্ঘ্য,c
What is the difference between valanced band and conduction band for Ge?,Ge এর ক্ষেত্রে যোজন ব্যান্ড ও পরিবহন ব্যান্ডের মধ্যে শক্তির ব্যবধান কত?,0.7 eV,1.1 eV,6 eV,7 eV,0.7 eV,1.1 eV,6 eV,7 eV,a
"For the thermodynamics process-
 i. at isothermal, dU = 0
 ii. at adiabatic, dW = - dU
 iii. at isochoric, dQ = dU
 Which one is correct?","তাপগতীয় প্রক্রিয়ার ক্ষেত্রে প্রযোজ্য-
 i. সমোষ্ণ প্রক্রিয়ায়, dU = 0
 ii. রুদ্ধতাপীয় প্রক্রিয়ায়, dW = - dU
 iii. সমআয়তন প্রক্রিয়ায়, dQ = dU
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
The average life of a piece of radioactive element is-,তেজস্ক্রিয় বস্তুখণ্ডের গড় জীবন হলো-,\frac{\lambda}{ln2},\frac{1}{\lambda},\frac{0.693}{T_{\frac{1}{2}}},\frac{0.693}{\lambda},\frac{\lambda}{ln2},\frac{1}{\lambda},\frac{0.693}{T_{\frac{1}{2}}},\frac{0.693}{\lambda},b
The angular momentum of electron at fourth Bohr's orbit of a hydrogen atom is-,হাইড্রোজেন পরমাণুর চতুর্থ বোর কক্ষে ইলেকট্রনের কৌণিক ভরবেগ হলো-,\frac{h}{\pi},\frac{2h}{\pi},\frac{h}{\lambda},\frac{2h}{\lambda},\frac{h}{\pi},\frac{2h}{\pi},\frac{h}{\lambda},\frac{2h}{\lambda},b
Which one is the unit of current density?,প্রবাহ ঘনত্বের একক কোনটি?,A m^{-2},A m,m A^{-1},A^{-1} m^{2},A m^{-2},A m,m A^{-1},A^{-1} m^{2},a
A carnot engine is operated between the melting point and boiling point. What is its efficiency?,একটি কার্নো ইঞ্জিন হিমাঙ্ক ও স্ফুটনাঙ্কের মধ্যে কার্যরত আছে। এর দক্ষতা কত?,98%,62.18%,46.28%,26.81%,98%,62.18%,46.28%,26.81%,d
What is the resistance of the bulb which is marked as 400W-200V?,400 W - 200 V চিহ্নিত বাল্বের রোধ কত?,200 \Omega,100 \Omega,2 \Omega,0.5 \Omega,200 \Omega,100 \Omega,2 \Omega,0.5 \Omega,b
Entropy of reversible process-,প্রত্যাগামী প্রক্রিয়ায় এন্ট্রপি-,remains constant,increases,decreases,becomes zero,স্থির থাকে,বৃদ্ধি পায়,হ্রাস পায়,শূন্য হয়,a
The potential difference of an uniform electric field at the distance of 50cm between two points is 200V. What is intensity?,একটি সুষম তড়িৎক্ষেত্রে 50 cm ব্যবধানে অবস্থিত দুটি বিন্দুর বিভব পার্থক্য 200 V । প্রাবল্য কত?,50 Vm^{-1},100 Vm^{-1},400 Vm^{-1},1600 Vm^{-1},50 Vm^{-1},100 Vm^{-1},400 Vm^{-1},1600 Vm^{-1},c
"Which quantity of the following will be same, if three system are in thermal equilibrium?",তিনটি সিস্টেম তাপীয় সাম্যবস্থায় থাকলে তাদের নিচের কোন রাশিটি একই হবে?,Potential energy,Internal energy,Mass,Temperature,বিভব শক্তি,অন্তঃস্থ শক্তি,ভর,তাপমাত্রা,d
The potential of any point of an electric field is,তড়িৎ ক্ষেত্রের কোনো বিন্দুর বিভব হচ্ছে-,the work done to bring an unit negative charge form infinity,the force acting on an unit positive charge at that point,the work done to bring an unit positive charge from infinity,the force acting on an unit negative charge at that point,অসীম বিন্দু থেকে এর ঋণাত্মক চার্জ আনতে কৃতকাজ,ঐ বিন্দুতে একক ধনাত্মক চার্জের উপর ক্রিয়াশীল বল,অসীম দূর থেকে একক ধনাত্মক চার্জ আনতে কৃতকাজ,ঐ বিন্দুতে একক ঋণাত্মক চার্জের ওপর ক্রিয়াশীল বল,c
Which one is the equivalent unit of volt?,ভোল্ট এর তুল্য একক কোনটি?,JC^{-1},J.C,N.C^{-1},N.m^{-1},JC^{-1},J.C,N.C^{-1},N.m^{-1},a
"The efficiency of a reversible Carnot's engine is 50% when it is in a sink of 27\degree C.
 
 What is the temperature of the source of engine?","একটি প্রত্যাবর্তী কার্নো ইঞ্জিন যখন 27\degree C তাপমাত্রায় তাপগ্রাহকে থাকে তখন এর কর্ম-দক্ষতা হয় 50%।
 
 ইঞ্জিনটির উৎসের তাপমাত্রা কত?",500 K,550 K,600 K,650 K,500 K,550 K,600 K,650 K,c
"The efficiency of a reversible Carnot's engine is 50% when it is in a sink of 27\degree C.
 
 To make the efficiency of that engine 60%-
 i. temperature of the source will be 750K
 ii. the temperature of sink will decrease 150K
 iii. the temperature of source will increase 150K
 Which one is correct?","একটি প্রত্যাবর্তী কার্নো ইঞ্জিন যখন 27\degree C তাপমাত্রায় তাপগ্রাহকে থাকে তখন এর কর্ম-দক্ষতা হয় 50%।
 
 ইঞ্জিনটির দক্ষতা 60% করতে হলে-
 i. উৎসের তাপমাত্রা 750 K করতে হবে
 ii. তাপ গ্রাহকের তাপমাত্রা 150 K কমাতে হবে
 iii. উৎসের তাপমাত্রা 150 K বাড়াতে হবে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
_{20}^{40}\textrm{Ca} and _{19}^{39}\textrm{K} is-,_{20}^{40}\textrm{Ca} ও _{19}^{39}\textrm{K} হচ্ছে-,Isobar,Isotope,Isomer,Isotone,আইসোবার,আইসোটোপ,আইসোমার,আইসোটোন,d
"If a Carnot engine works between steam point and ice point, what will be its efficiency?",একটি কার্নো ইঞ্জিনের পানির হিমাঙ্ক ও স্ফুটনাঙ্ক-এর মধ্যে কার্যকর দক্ষতা কত?,100%,26.80%,20.60%,0%,100%,26.80%,20.60%,0%,b
"As per special theory of relativity-
 i. time is infinity in a moving frame and moves with light velocity
 ii. the length of an object which moves with light velocity is zero
 iii. the mass of an object which moves with light velocity is zero
 Which one is correct?","বিশেষ আপেক্ষিক তত্ত্বানুসারে-
 i. আলোর বেগ গতিশীল কাঠামোতে সময় অসীম
 ii. আলোর বেগে চলমান বস্তুর দৈর্ঘ্য শূন্য
 iii. আলোর বেগ চলমান বস্তুর ভর শূন্য হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which one of the following ray is charge independent?,নিচের কোনটি চার্জ নিরপেক্ষ রশ্মি?,Cathode ray,Alpha ray,Gamma ray,Beta ray,ক্যাথোড রশ্মি,আলফা রশ্মি,গামা রশ্মি,বিটা রশ্মি,c
What is the value of \overline{A + B} as per Boolean Algebra?,বুলিয়ান বীজগণিত অনুযায়ী \overline{A+B},\overline{A} . \overline{B},\overline{A} + \overline{B},A+B,A.B,\overline{A} . \overline{B},\overline{A} + \overline{B},A+B,A.B,a
The mass defect of a nucleus is 0.0377 a.m.u. What is its binding energy?,একটি নিউক্লিয়াসের ভরত্রুটি 0.0377 a.m.u হলে এর বন্ধন শক্তি কত?,3.51 MeV,35.2 MeV,37.7 MeV,931 MeV,3.51 MeV,35.2 MeV,37.7 MeV,931 MeV,b
How much Wh energy can get from 1 kg Uranium (^{235}\textrm{U})?,1 kg ইউরেনিয়াম (^{235}\textrm{U}) হতে শক্তির পরমাণ কত kWh?,2.25 \times 10^{2},2.29 \times 10^{7},3.92 \times 10^{7},9.32 \times 10^{7},2.25 \times 10^{2},2.29 \times 10^{7},3.92 \times 10^{7},9.32 \times 10^{7},b
The radius of earth is 6500 km. What is its capacitance?,পৃথিবীর ব্যাসার্ধ 6500 km এর ধারকত্ব কত?,711 F,722 \mu F,640 \mu F,614 \mu F,711 F,722 \mu F,640 \mu F,614 \mu F,b
"If we connect an charged object to the earth, then what will be the amount of charge in that object?",একটি চার্জিত বস্তুকে পৃথিবীর সাথে যুক্ত করলে বস্তুটিকে আধানের পরিমাণ-,Will increase,Will be zero,Will decrease,Remain unchanged,বৃদ্ধি পাবে,শূন্য হবে,হ্রাস পাবে,অপরিবর্তিত হবে,b
G = resistance if galvanometer and S = resistance of shunt. What is shunt constant?,"G = গ্যালভালোমিটারের রোধ এবং S = সান্টের রোধ হলে, সান্ট ধ্রুবক হবে-",\frac{S + G}{S},\frac{S}{S+G},\frac{S+G}{G},\frac{G}{S+G},\frac{S + G}{S},\frac{S}{S+G},\frac{S+G}{G},\frac{G}{S+G},a
"The frequency of each photon of a beam of X-ray is 3 \times 10^{17} Hz.
 
 What is the energy of the photon?","এক গুচ্ছ রশ্মির প্রতিটি ফোটনের কম্পাঙ্ক 3 \times 10^{17}Hz
 
 কোনটির শক্তি কত?",1.989 \times 10^{-16} J,2.89 \times 10^{-16} J,19.89 \times 10^{-16} J,91.98 \times 10^{-16} J,1.989 \times 10^{-16} J,2.89 \times 10^{-16} J,19.89 \times 10^{-16} J,91.98 \times 10^{-16} J,a
"The frequency of each photon of a beam of X-ray is 3 \times 10^{17} Hz.
 
 In case of the photon mentioned in above steam-
 i. velocity 3 \times 10^{8} ms^{-1}
 ii. wave length 10 \AA
 iii. momentum 6.63 \times 10^{-35} kgms^{-1}
 Which one is correct?","এক গুচ্ছ রশ্মির প্রতিটি ফোটনের কম্পাঙ্ক 3 \times 10^{17}Hz
 
 উদ্দীপকে উল্লিখিত ফোটনের-
 i. বেগ 3 \times 10^{8} ms^{-1}
 ii. তরঙ্গ দৈর্ঘ্য 10 \AA
 iii. ভরবেগ 6.63 \times 10^{-25} kgms^{-1}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
An ammeter of 1.8 \Omega resistance can pass 1A current. To measure 10A current shunt of which vaue can be used?,1.8 \Omega রোধের একটি অ্যামিটার 1 A তড়িৎ প্রবাহ গ্রহণ করতে পারে। 10 A তড়িৎ প্রবাহ মাত্রার জন্য কত রোধের সান্ট ব্যবহার করতে হবে?,0.2 \Omega,1.2 \Omega,2.2 \Omega,4.2 \Omega,0.2 \Omega,1.2 \Omega,2.2 \Omega,4.2 \Omega,a
The potential difference between two plates of a capacitor is 150V. The stored energy in capacitor is 14.9 \times 10^{-7} J. What is the capactance of that capacitor?,একটি ধারকের দুই পাতের মধ্যে বিভব পার্থক্য 150 V। ধারকে সঞ্চিত শক্তি 14.9 \times 10^{-7}J । ধারকের ধারকত্ব কত?,1.3 \times 10^{-5}F,6.5 \times 10^{-9}F,1.3 \times 10^{-10}F,6.5 \times 10^{-10}F,1.3 \times 10^{-5}F,6.5 \times 10^{-9}F,1.3 \times 10^{-10}F,6.5 \times 10^{-10}F,c
"_{0}^{1}\textrm{n} + _{92}^{235}\textrm{U} + _{56}^{141}\textrm{Ba} + _{36}^{92}\textrm{Kr} + 3 _{0}^{1}\textrm{n} + Energy.
 
 What type of reaction the reaction mentioned in above stem?","_{0}^{1}\textrm{n} + _{92}^{235}\textrm{U} + _{56}^{141}\textrm{Ba} + _{36}^{92}\textrm{Kr} + 3 _{0}^{1}\textrm{n} + শক্তি
 
 বিক্রিয়াটি কোন ধরনের?",Fusion,Fission,Nuclear thermal reaction,Additional reaction,ফিউশন,ফিশন,নিউক্লীয় তাপ বিক্রিয়া,সংযোজন বিক্রিয়া,b
"_{0}^{1}\textrm{n} + _{92}^{235}\textrm{U} + _{56}^{141}\textrm{Ba} + _{36}^{92}\textrm{Kr} + 3 _{0}^{1}\textrm{n} + Energy.
 
 How much energy will produce in the reaction?","_{0}^{1}\textrm{n} + _{92}^{235}\textrm{U} + _{56}^{141}\textrm{Ba} + _{36}^{92}\textrm{Kr} + 3 _{0}^{1}\textrm{n} + শক্তি
 
 বিক্রিয়াটিতে কী পরিমাণ শক্তি উৎপন্ন হয়?",132 MeV,182 MeV,192 MeV,200 MeV,132 MeV,182 MeV,192 MeV,200 MeV,d
