English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"If A = {5, 6, 7} and B = {4, 6, 7}, then - 
 i. A \cap B = {6, 7}
 ii. A \cup B = {4, 5, 6, 7}
 iii. Number of subset of A is 6
 which one is correct?","A = {5, 6, 7} এবং B = {4, 6, 7} হলে-
 i. A \cap B = {6, 7}
 ii. A \cup B = {4, 5, 6, 7}
 iii. A উপসেট সংখ্যা 6টি
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
How many data are needed to construct a rhmbus ?,একটি রম্বস অঙ্কনের জন্য কয়টি উপাত্তের প্রয়োজন?,1,2,3,4,1টি,2টি,3টি,4টি,b
How many edges of a rectangular solid?,একটি আয়তাকার ঘনবস্তুর ধার কয়টি?,12,8,6,4,12টি,8টি,6টি,4টিি,a
What is the sum of four angles of a kite?,ঘুড়ির চার কোণের সমষ্টি কত?,120\degree,180\degree,270\degree,360\degree,120\degree,180\degree,270\degree,360\degree,d
How many degree is found is found in the centre of pie-chart?,পাইচিত্রের কেন্দ্রে কত ডিগ্রি কোণ উৎপন্ন হয়?,90\degree,180\degree,270\degree,360\degree,90\degree,180\degree,270\degree,360\degree,d
"What is the mode of the following number? 6, 10, 7, 10, 5, 13, 6, 11, 11, 13, 7, 7, 15, 14,","6, 10, 7, 10, 5, 13, 6, 11, 11, 13, 7, 7, 15, 14 সংখ্যাগুলোর প্রচুরক নিচের কোনটি?",6,7,10,11,6,7,10,11,b
"What is the next number of the list 9, 16, 25, 36………?","9, 16, 25, 36, ... ... তালিকার পরবর্তী সংখ্যাটি কত?",41,45,47,49,41,45,47,49,d
"If the algebraic expression of a pattern is a2 - 1, which one of the 
 following is 4th term?","কোনো প্যাটার্নের বীজগণিতীয় রাশি ক - 1 হলে, 4র্থ পদ কোনটি?",7,15,17,24,7,15,17,24,b
The cost price of something is 3 pieces at Tk. 1 and selling price is 2 pieces at Tk. 1.what will be the percentage of profit or loss?,টাকায় 3টি দরে ক্রয় করে 2টি দরে বিক্রয় করলে শতকরা কত লাভ বা ক্ষতি যাবে?,profit 50%,Loss 50%,Profit 33\frac{1}{3}%,Loss 33\frac{1}{3}%,লাভ 50%,ক্ষতি 50%,লাভ 33\frac{1}{3}%,ক্ষতি 33\frac{1}{3}%,a
In how many years will the profit of Tk. 750 be Tk. 225 at the rate of 7.50% profit?,বার্ষিক 7.50% মুনাফায় কত বছরে 750 টাকার মুনাফা 225 টাকা হবে?,2 years,4 years,6 years,8 years,2 বছর,4 বছর,6 বছর,8 বছর,b
"The simple rate of profit is 6% and principal is TK. 5, 000 - 
 i. profit after 1 year is Tk.300
 ii. After 3 yeare profit - principal is Tk.5, 900
 iii. in 5 years profit will be \frac{3}{5} time of principal
 which one is correct?","6% সরল মুনাফায় 5,000 টাকার-
 i. 1 বছরের মুনাফা 300 টাকা
 ii. 3 বছর পর মুনাফা-আসলে 5,900 টাকা হবে
 iii. 5 বছরে মুনাফা, আসলের \frac{3}{5} গুণ হবে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"The length of rectangular park is 40 metres and its breadth is 30 metres. There is a 2.5 metres wide road around outside.
 
 What is the area of the park?","একটি আয়তাকার পার্কের দৈর্ঘ্য 40 মিটার এবং প্রস্থ 30 মিটার। পার্কটির বাইরে চারদিকে 2.5 মিটার বিস্তৃত একটি রাস্তা আছে।
 পার্কটির ক্ষেত্রফল কত?",1200 are,12 are,1.2 are,0.12 are,1200 একর,12 এয়র,1.2 এয়র,0.12 এয়র,b
"The length of rectangular park is 40 metres and its breadth is 30 metres. There is a 2.5 metres wide road around outside.
 
 What is the area of the road?","একটি আয়তাকার পার্কের দৈর্ঘ্য 40 মিটার এবং প্রস্থ 30 মিটার। পার্কটির বাইরে চারদিকে 2.5 মিটার বিস্তৃত একটি রাস্তা আছে।
 রাস্তার ক্ষেত্রফল কত?",325 sq.m,375 sq.m,875 sq.m,1575sq.m,325 বর্গমিটার,375 বর্গমিটার,875 বর্গমিটার,1575 বর্গমিটার,b
How many integers from 1 to 10 can be expressed as the sum of two square number?,1 থেকে 10 পর্যন্ত কতটি সংখ্যাকে দুটি বর্গের যোগফল হিসেবে প্রওকাশ করা যায়?,2,3,4,5,2,3,4,5,c
How many square centimetres are there in 2 square inches?,2 বর্গ ইঞ্চি সমান কত বর্গ সেন্টিমিটার?,"0.16 sq.
 centimetres","0.32 sq. 
 cenrimetres","6.45 sq, 
 centimetres","12.90 sq.
 centimetres",0.16,0.32,6.45,12.9,d
"If p + q = 7 and pq = 9, what is the value of p^{2} + q^{2}?","p + q = 7 এবং pq = 9 হলে, p^{2} + q^{2} এর মান কোনটি?",67,40,31,13,67,40,31,13,c
Which one of the following expression is the factors of 2y^{2} + y - 10?,2y^{2} + y - 10এর উৎপাদকে বিশ্লেষণ নিচের কোনটি?,(2y - 5)(y + 2),(2y + 5)(y - 1),(2y + 5)(y - 2),(y + 5)(2y - 1),(2y - 5)(y + 2),(2y + 5)(y - 1),(2y + 5)(y - 2),(y + 5)(2y - 1),c
"If m - \frac{1}{m} = 4, what is the value of \left ( m + \frac{1}{m} \right )?","m - \frac{1}{m} = 4 হলে, \left ( m + \frac{1}{m} \right ) এর মান কত?",20,18,14,12,20,18,14,12,a
"If p^{3} - q^{3} = 45, p - q = 3, what is the value of pq?","p^{3} - q^{3} = 45, p - q = 3 হলে, pq = কত?",-2,2,4,6,-2,2,4,6,b
"The following will be the equivalent fraction of \frac{m^{2} + 6m + 5}{m^{2} + 10m + 25} -
 i. \frac{m + 1}{m + 5}
 ii. \frac{m^{2} - 2m - 3}{m^{2} + 2m - 15}
 Iii. \frac{m^{2} + 2m + 1}{m^{2} - 3m - 10}
 which one is correct?","\frac{m^{2} + 6m + 5}{m^{2} + 10m + 25} এর সমতুল ভগ্নাংশ হবে-
 i. \frac{m + 1}{m + 5}
  ii. \frac{m^{2} - 2m - 3}{m^{2} + 2m - 15}
  Iii. \frac{m^{2} + 2m + 1}{m^{2} - 3m - 10}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"What is the HCF of x^{3} - 2x^{2}, x^{2} - 4 and xy - 2y?","x^{3} - 2x^{2}, x^{2} - 4 এবং xy - 2y এর গ.সা.গু. কত?",1,x - 2,x^{2}y (x - 2),x^{2}y(x^{2} - 4),1,x - 2,x^{2}y (x - 2),x^{2}y(x^{2} - 4),b
Which one of the following point lies on 7x - 3y = 5?,নিচের কোন বিন্দুটি 7x - 3y = 5 এর উপর অবস্থিত?,"(3, 2)","(2, 3)","( - 3, 2)","( - 2, 3)","(3, 2)","(2, 3)","(- 3, 2)","(- 2, 3)",b
"In which quadrant ( - 3, 2) point will be?","(- 3, 2) বিন্দুটি কোন চতুর্ভাগে অবস্থিত?",First,Second,Third,Fourth,1ম,2য়,3য়,4র্থ,b
"If 2x + 3y = 8, 3x - 2y = - 1 , which one of the following will be the value of (x, y)?","2x + 3y = 8, 3x - 2y = - 1 হলে (x, y) এর মান নিচের কোনটি?","( - 2, 4)","(3, 5)","(1, 2)","( - 3, - 4)","(-2, 4)","(3, 5)","(1, 2)","(-3, -4)",c
"U = {a, b, c, p, q, r, s}
 A = {b, c, q}, B = {a, p, r}
 
 A \cap B = What?","U = {a, b, c, p, q, r, s}
 A = {b, c, q}, B = {a, p, r}
 A \cap B = কত?",{\varphi},{0},{ },0,{\varphi},{0},{ },0,c
"U = {a, b, c, p, q, r, s}
 A = {b, c, q}, B = {a, p, r}
 
 A^{c} = what?","U = {a, b, c, p, q, r, s}
 A = {b, c, q}, B = {a, p, r}
 A^{c} = কত?","{a, p, r}","{b, c, q}","{a, c, q, r}","{a, p, r, s}","{a, p, r}","{b, c, q}","{a, c, q, r}","{a, p, r, s}",d
"At the construction of geometric figure - 
 i. a rhombus can be drawn if a side and an angle is given
 ii. If two adjacent sides and their included angles are given, the parallelogram can be drawn
 iii. If the diagonals of a quadrilateral bisect each other, it will be a parallelogram
 which one is correct?","জ্যামিতিক চিত্র অঙ্কনের ক্ষেত্রে-
 i. একটি বাহু এবং একটি কোণ দেওয়া থাকলে রম্বস আঁকা যায়
 ii. দুটি সন্নিহিত বাহু এবং তাদের অন্তর্ভুক্ত কোণ দেওয়া থাকলে সামান্তরিক আঁকা যায়
 iii. চতুর্ভুজের কর্ণদ্বয় পরস্পরকে সমদ্বিখণ্ডিত করলে তা একটি সামান্তরিক হবে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"The length of each of a square is 5 cm. What is the area of the
square drawn on its diagonal?",একটি বর্গের প্রতি বাহুর দৈর্ঘ্য 5 সে.মি. হলে এর কর্ণের উপর অঙ্কিত বর্গের ক্ষেত্রফল কত বর্গ সে.মি.?,20 sq.cm,25 sq.cm,40 sq.cm,50 sq.cm,20 বর্গ সে.মি.,25 বর্গ সে.মি.,40 বর্গ সে.মি.,50 বর্গ সে.মি.,d
If the diameter of a circle is 2 cm? What is the circumference of the circle?,একটি বৃত্তের ব্যাস 2 সে.মি. হলে তার পরিধি কত?,3.14 cm,6.28 cm,12.57 cm,25.13 cm,3.14 সে.মি.,6.28 সে.মি.,12.57 সে.মি.,25.13 সে.মি.,b
"What is the median of the numbers 11, 23, 25, 15, 21, 12, 18, 17, 27, 22, 29, 17, 30, 16?","11, 23, 25, 15, 21, 12, 18, 17, 27, 11, 29. 19, 30, 16 সংখ্যাগুলোর মধ্যক কত?",18,18.5,20,205,18,18.5,20,20.5,c
"If range is 57 and class interval is 10, what is number of classes?","পরিসর 57 এবং শ্রেণি ব্যবধান 10 হলে, শ্রেণি সংখ্যা কত হবে?",5,6,7,8,5,6,7,8,b
"How many subsets are there in the set P = {a, b, c}?","P = {a, b, c} এর উপসেট কয়টি?",3,6,7,8,3,6,7,8,d
