English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
The general solution of 2 cos2\theta + 1 = 0 will be-,2 cos2\theta + 1 = 0 এর সাধারণ সমাধান কোনটি?,"2n\pi \pm \frac{\pi}{6}, n \epsilon \mathbb{Z}","2n\pi \pm \frac{\pi}{3}, n \epsilon \mathbb{Z}","2n\pi \pm \frac{2\pi}{3}, n \epsilon \mathbb{Z}","2n\pi \pm \frac{5\pi}{6}, n \epsilon \mathbb{Z}","2n\pi \pm \frac{\pi}{6}, n \epsilon \mathbb{Z}","2n\pi \pm \frac{\pi}{3}, n \epsilon \mathbb{Z}","2n\pi \pm \frac{2\pi}{3}, n \epsilon \mathbb{Z}","2n\pi \pm \frac{5\pi}{6}, n \epsilon \mathbb{Z}",c
"If the roots of the equation x^{3} - 4x + 3 = 0 are a, b, c then the value of \Sigma a is-","x^{3} - 4x + 3 = 0 সমীকরণের মূলগুলো a, b, c হলে \Sigma a এর মান কত হবে?",-4,-3,0,4,-4,-3,0,4,c
"If \alpha and \beta are roots of x^{2} + x + 2 = 0, then what is the value of\frac{1}{\alpha} + \frac{1}{\beta} is-",যদি x^{2} + x + 2 = 0 সমীকরণের মূলদ্বয় \alpha ও \beta হয় তবে \frac{1}{\alpha} + \frac{1}{\beta} এর মান কত?,-1,- \frac{1}{2},\frac{1}{2},2,-1,- \frac{1}{2},\frac{1}{2},2,b
"p = cos\theta, q = sin\theta
 
 The value of sec\theta is-","p = cos\theta, q = sin\theta
 
 sec\theta এর মান কোনটি?",\frac{1}{\sqrt{1 - q^{2}},\sqrt{1 - q^{2}},\frac{1}{\sqrt{q^{2} - 1},\sqrt{q^{2} - 1},\frac{1}{\sqrt{1 - q^{2}},\sqrt{1 - q^{2}},\frac{1}{\sqrt{q^{2} - 1},\sqrt{q^{2} - 1},a
"p = cos\theta, q = sin\theta
 
 What is the solution of the equation p - \sqrt{3}q = 0?","p = cos\theta, q = sin\theta
 
 p - \sqrt{3}q = 0 এর সাধারণ সমাধান কোনটি?","n\pi - \frac{\pi}{6}, n \epsilon \mathbb{Z}","n\pi - \frac{\pi}{2}, n \epsilon \mathbb{Z}","n\pi + \frac{\pi}{6}, n \epsilon \mathbb{Z}","n\pi + \frac{\pi}{2}, n \epsilon \mathbb{Z}","n\pi - \frac{\pi}{6}, n \epsilon \mathbb{Z}","n\pi - \frac{\pi}{2}, n \epsilon \mathbb{Z}","n\pi + \frac{\pi}{6}, n \epsilon \mathbb{Z}","n\pi + \frac{\pi}{2}, n \epsilon \mathbb{Z}",c
"If one root of the equation 3x^{2} - px + 4 = 0 is three times of the other root, then the value of p is-",3x^{2} - px + 4 = 0 সমীকরণের একটি মূল অপরটির তিনগুণ হলে p এর মান কত?,\pm 3,\pm 2\sqrt{2},\pm 6,\pm 8,\pm 3,\pm 2\sqrt{2},\pm 6,\pm 8,d
"The ellipse \frac{(1 - x)^{2}}{9} + \frac{y^{2}}{16} = 1 has-
 i. center (1, 0)
 ii. foci (0, \pm 7)
 iii. the length of the major axis 8
 Which one is correct?","\frac{(1 - x)^{2}}{9} + \frac{y^{2}}{16} = 1 উপবৃত্তটির-
 i. কেন্দের স্থানাঙ্ক (1, 0)
 ii. উপকেন্দ্রের স্থানাঙ্ক (0, \pm 7)
 iii. বৃহৎ অক্ষের দৈর্ঘ্য 8
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
"The resultant of two equal forces acting at a point magnitude 7N is 7N, which is the angle between them?","একই বিন্দুতে ক্রিয়ারত 7N মানের দুইটি সমান বলের লব্ধি 7N, বলদ্বয়ের অন্তর্ভুক্ত কোণ কত?",30\degree,60\degree,90\degree,120\degree,30\degree,60\degree,90\degree,120\degree,d
"Two parallel forces 3 and 6 unit acting at the point P and Q respectively and distance between them is 4. Two parallel forces-
 i. if like, resultant = 9 units
 ii. if unike, resultant = 3 units
 iii. if unlike and resultant act at a point R then QR = 4
 Which one is correct?","4 একক দূরত্বে P ও Q বিন্দুতে ক্রিয়ারত 3 ও 6 একক সমান্তরাল বলদ্বয়-
 i. সদৃশ হলে লব্ধি 9 একক
 ii. অসদৃশ হলে লব্ধি 3 একক
 iii. অসদৃশ এবং লব্ধি R বিন্দুগামী হলে QR = 4
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"f(x) = 1 + 3x - 2x^{2}
 
 What is the maximum value of f?","f(x) = 1 + 3x - 2x^{2}
 
 f এর গরিষ্ঠ মান কত?",- \frac{17}{8},- \frac{1}{8},\frac{1}{8},\frac{17}{8},- \frac{17}{8},- \frac{1}{8},\frac{1}{8},\frac{17}{8},d
"f(x) = 1 + 3x - 2x^{2}
 
 If \alpha and \beta are the roots of the equation f(x) = 0 then the equation whose roots are - \alpha and - \beta is-","f(x) = 1 + 3x - 2x^{2}
 
  f(x) = 0 এর মূলদ্বয় \alpha ও \beta হলে - \alpha ও - \beta মূলবিশিষ্ট সমীকরণ নিচের কোনটি?",2x^{2} - 3x + 1 = 0,2x^{2} + 3x - 1 = 0,2x^{2} - 3x - 1 = 0,2x^{2} + 3x + 1 = 0,2x^{2} - 3x + 1 = 0,2x^{2} + 3x - 1 = 0,2x^{2} - 3x - 1 = 0,2x^{2} + 3x + 1 = 0,b
4x^{2} + y^{2} = 1 represents a conic. The value of eccentricity is-,4x^{2} + y^{2} = 1 দ্বারা নির্দেশিত কণিকটির উৎকেন্দ্রিকতা কত?,\frac{2}{\sqrt{5}},\frac{2}{\sqrt{3}},\frac{\sqrt{3}}{2},\frac{\sqrt{5}}{2},\frac{2}{\sqrt{5}},\frac{2}{\sqrt{3}},\frac{\sqrt{3}}{2},\frac{\sqrt{5}}{2},c
If the roots 2x^{2} - kx + 2 = 0 are real and unequal then the value of k is-,2x^{2} - kx + 2 = 0 সমীকরণের মূলদ্বয় বাস্তব ও অসমান হলে k এর মান কত?,"(-4, 4)","(-4, 4]","(- \propto, - 4) \cup (4, \propto)","(-\propto, -4] \cup [4, \propto)","(-4, 4)","(-4, 4]","(- \propto, - 4) \cup (4, \propto)","(-\propto, -4] \cup [4, \propto)",c
"The parametric coordinate of any point on the hyperbola is (4sec\theta, 6tan\theta). The equation of hyperbola will be-","একটি অধিবৃত্তের উপর যেকোনো বিন্দুর পরামিতিক স্থানাঙ্ক (4sec\theta, 6tan\theta), অধিবৃত্তটির সমীকরণ-",16x^{2} + 25y^{2} = 400,16x^{2} - 25y^{2} = 400,9x^{2} - 4y^{2} = 144,4x^{2} - 9y^{2} = 144,16x^{2} + 25y^{2} = 400,16x^{2} - 25y^{2} = 400,9x^{2} - 4y^{2} = 144,4x^{2} - 9y^{2} = 144,c
The length of ratus rectum of the conic x^{2} - 8y^{2} = 2 is-,x^{2} - 8y^{2} = 2 কণিকটির উপকেন্দ্রিক লম্বের দৈর্ঘ্য-,\frac{\sqrt{3}}{2},\sqrt{\frac{3}{2}},\frac{1}{2\sqrt{2}},\frac{1}{2},\frac{\sqrt{3}}{2},\sqrt{\frac{3}{2}},\frac{1}{2\sqrt{2}},\frac{1}{2},c
"The conic px^{2} - 16y^{2} = 144 passes through the point (\pm 4, 0).
 
 The value of p is-","px^{2} - 16y^{2} = 144 কণিকটি (\pm 4, 0) বিন্দুগামী।
 
 p এর মান-",-9,-4,4,9,-9,-4,4,9,d
"The conic px^{2} - 16y^{2} = 144 passes through the point (\pm 4, 0).
 
 Coordinates of focus-","px^{2} - 16y^{2} = 144 কণিকটি (\pm 4, 0) বিন্দুগামী।
 
 p এর মান-","(0, \pm 4)","(\pm 4, 0)","(0, \pm 5)","(\pm 5, 0)",-9,-4,4,9,d
What is the resultant of two equal forces of magnitudes P acting at an angle 120\degree?,120\degree কোণে ক্রিয়ারত P মানের সমান দুইটি বলের লব্ধির মান-,P,2P,3P,4P,P,2P,3P,4P,a
"If \sqrt{37} N be the resultant of forces 3N and 4N acting at an angle 2\alpha, then the angle between the forces is-",2\alpha কোণে ক্রিয়ারত 3N ও 4N বলের লব্ধির মান \sqrt{37} N হলে বলদ্বয়ের মধ্যবর্তী কোণের পরিমাণ-,30\degree,45\degree,60\degree,120\degree,30\degree,45\degree,60\degree,120\degree,c
"If two unlike parallel forces 5N and 7N act at two points along the same line on a rigid body, then their resultant is-",5N ও 7N মানের বিসদৃশ সমান্তরাল বল কোনো জড়বস্তুর উপর একই সরলরেখায় দুইটি বিন্দুতে ক্রিয়া করলে উহাদের লব্ধির মান-,1N,2N,3N,5N,1N,2N,3N,5N,b
"Three forces 5N, 7N and 8N acting at a point on a particle are in equilibrium. Angle between the forces 5N and 8N is-","5N, 7N এবং 8N মানের তিনটি বল একটি বস্তুর উপর ক্রিয়া করে ভারসাম্য বজায় রাখে। 5N ও 8N বলদ্বয়ের মধ্যবর্তী কোণ-",60\degree,90\degree,120\degree,210\degree,60\degree,90\degree,120\degree,210\degree,c
"In case of two parallel forces P and Q (P > Q)-
 i. the resultant is P + Q when the forces are like parallel
 ii. the resultant is P - Q when the forces are unlike parallel
 iii. the line of actions of resultant and P are parallel
 Which one is correct?","P ও Q (P > Q)-
 i. সদৃশ হলে বলদ্বয়ের লব্ধি P + Q
 ii. বিসদৃশ হলে বলদ্বয়ের লব্ধি P - Q 
 iii. বলদ্বয়ের লব্ধি P এর দিকের সাথে সমান্তরাল
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
For which values of k are the roots of the equation x^{2} + (2k + 4)x + 8k + 1 = 0 equal?,k এর মান কত হলে x^{2} + (2k + 4)x + 8k + 1 = 0 সমীকরণের মূলদ্বয় সমান হয়?,"- 3, - 1","0, 3","- 1, 3","1, 3","- 3, - 1","0, 3","- 1, 3","1, 3",d
"If the roots of the equation x^{2} - 5x + c = 0 are consecutive integers, then the value of c is-",x^{2} - 5x + c = 0 সমীকরণের মূলদ্বয় ক্রমিক পূর্ণসংখ্যা হলে c এর মান-,5,6,7,8,5,6,7,8,b
"If the roots of the equation x^{2} - 3x + 5 = 0 are \alpha and \beta, then the equation whose roots are \frac{1}{\alpha}, \frac{1}{\beta} is-","x^{2} - 3x + 5 = 0 সমীকরণের মূলদ্বয় \alpha, \beta হলে \frac{1}{\alpha} ও \frac{1}{\beta} মূলবিশিষ্ট সমীকরণটি-",6x^{2} - 3x + 1 = 0,5x^{2} - 3x - 1 = 0,5x^{2} - 3x + 1 = 0,3x^{2} - 5x + 1 = 0,6x^{2} - 3x + 1 = 0,5x^{2} - 3x - 1 = 0,5x^{2} - 3x + 1 = 0,3x^{2} - 5x + 1 = 0,c
The quadratic equation with root 1 - \sqrt{- 1} is-,1 - \sqrt{- 1} মূলবিশিষ্ট দ্বিঘাত সমীকরণটি-,x^{2} - 2x + 2 = 0,x^{2} + 2x - 2 = 0,x^{2} - 2x - 2 = 0,x^{2} + 2x + 2 = 0,x^{2} - 2x + 2 = 0,x^{2} + 2x - 2 = 0,x^{2} - 2x - 2 = 0,x^{2} + 2x + 2 = 0,a
"If the roots of x^{3} + 2x + 3 = 0 are a, b, c then the value of \Sigma{a} is-","x^{3} + 2x + 3 = 0 সমীকরণের মূলত্রয় a, b, c হলে \Sigma{a} এর মান-",-2,0,1,3,-2,0,1,3,b
"In equation x^{2} + 4x + 16 = 0-
 i. roots are complex
 ii. sum of roots - 4
 iii. product of roots 16
 Which one is correct?","x^{2} + 4x + 16 = 0 সমীকরণের-
 i. মূলদ্বয় জটিল
 ii. মূলদ্বয়ের যোগফল - 4
 iii. মূলদ্বয়ের গুণফল 16
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"If f(\theta) = cos\theta, f(\theta) = f(\alpha) and n \epsilon \mathbb{Z}, then the value of \theta is-","f(\theta) = cos\theta, f(\theta) = f(\alpha) এবং n \epsilon \mathbb{Z} হলে, \theta এর মান-",2n\pi \pm \alpha,n\pi \pm \alpha,n\pi + (-1)^{n} \alpha,n\pi - (- 1)^{n} \alpha,2n\pi \pm \alpha,n\pi \pm \alpha,n\pi + (-1)^{n} \alpha,n\pi - (- 1)^{n} \alpha,a
The general solution of 2 sin2\theta = 1 is-,2 sin2\theta = 1 সমীকরণটির সাধারণ সমাধান-,"n\pi - (- 1)^{n} \frac{\pi}{6}, n \epsilon \mathbb{Z}","n\pi + (- 1)^{n} \frac{\pi}{6}, n \epsilon \mathbb{Z}","\frac{n\pi}{2} - (- 1)^{n} \frac{\pi}{12}, n \epsilon \mathbb{Z}","\frac{n\pi}{2} + (- 1)^{n} \frac{\pi}{12}, n \epsilon \mathbb{Z}","n\pi - (- 1)^{n} \frac{\pi}{6}, n \epsilon \mathbb{Z}","n\pi + (- 1)^{n} \frac{\pi}{6}, n \epsilon \mathbb{Z}","\frac{n\pi}{2} - (- 1)^{n} \frac{\pi}{12}, n \epsilon \mathbb{Z}","\frac{n\pi}{2} + (- 1)^{n} \frac{\pi}{12}, n \epsilon \mathbb{Z}",d
The value of sin \left ( 2 tan^{-1} \frac{1}{2} \right ) is-,sin \left ( 2 tan^{-1} \frac{1}{2} \right ) এর মান-,\frac{\sqrt{3}}{5},\frac{\sqrt{3}}{4},\frac{4}{5},\frac{5}{4},\frac{\sqrt{3}}{5},\frac{\sqrt{3}}{4},\frac{4}{5},\frac{5}{4},c
The parametric coordinates of the ellipse \frac{x^{2}}{a^{2}} + \frac{y^{2}}{b^{2}} = 1 is-,\frac{x^{2}}{a^{2}} + \frac{y^{2}}{b^{2}} = 1 উপবৃত্তটির পরামিতিক স্থানাঙ্ক-,"(a sec\theta, bcosec\theta)","(b sec\theta, a cosec\theta)","(a cos\theta, b sin\theta)","(a sin\theta, b cos\theta)","(a sec\theta, bcosec\theta)","(b sec\theta, a cosec\theta)","(a cos\theta, b sin\theta)","(a sin\theta, b cos\theta)",c
Domain of f(x) = cos^{-1}x is-,f(x) = cos^{-1}x এর ডোমেন-,"[-1, 1]","(-1, 1]","(-1, 1)","[-1, 1)","[-1, 1]","(-1, 1]","(-1, 1)","[-1, 1)",a
"In the case of inverse circular function-
 i. cos^{-1}x + cos^{-1}y = cos^{-1} \{xy - \sqrt{(1 - x^{2}) (1 - y^{2})}\}
 ii. 2tan^{-1}x = cos^{-1} \frac{2x}{1 - x^{2}}
 iii. sin^{-1}x + cos^{-1}x = \frac{\pi}{2}
 Which one is correct?","বিপরীত বৃত্তীয় ফাংশনের ক্ষেত্রে-
 i. cos^{-1}x + cos^{-1}y = cos^{-1} \{xy - \sqrt{(1 - x^{2}) (1 - y^{2})}\}
 ii. 2tan^{-1}x = cos^{-1} \frac{2x}{1 - x^{2}}
 iii. sin^{-1}x + cos^{-1}x = \frac{\pi}{2}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
The vertex of the conic (y - 2)^{2} = 4x is-,(y - 2)^{2} = 4x কণিকটির শীর্ষবিন্দু-,"(0, 2)","(2, 0)","(1, 0)","(0, 1)","(0, 2)","(2, 0)","(1, 0)","(0, 1)",a
The equation of the latus rectum of the parabola (x -3)^{2} = - 4(y - 4) is-,(x -3)^{2} = - 4(y - 4) পরাবৃত্তটির উপকেন্দ্রিক লম্বের সমীকরণ-,y + 3 = 0,y - 3 = 0,x + 3 = 0,x - 3 = 0,y + 3 = 0,y - 3 = 0,x + 3 = 0,x - 3 = 0,b
"If the eccentricity of the conic \frac{x^{2}}{a^{2}} + \frac{y^{2}}{b^{2}} = 1 is zero, then the name of the curve is-",\frac{x^{2}}{a^{2}} + \frac{y^{2}}{b^{2}} = 1 কণিকটির উৎকেন্দ্রিকতা শূন্য হলে বক্ররেখাটির নাম-,ellipse,Circle,parabola,Hyperbola,উপবৃত্ত,বৃত্ত,পরাবৃত্ত,অধিবৃত্ত,b
"If u and a are constant, then the graph of v^{2} = u^{2} + 2as will be-",u ও v ধ্রুবক হলে v^{2} = u^{2} + 2as এর লেখচিত্র হবে-,Straight line,Parabola,hyperbola,Ellipse,সরলরেখা,পরাবৃত্ত,অধিবৃত্ত,উপবৃত্ত,b
The equations of the directrices of the conic 3x^{2} + 2y^{2} = 12 are-,3x^{2} + 2y^{2} = 12 কণিকটির নিয়ামকরেখার সমীকরণ-,2x = \pm \sqrt{3},x = \pm 2\sqrt{3},y = \pm 2\sqrt{3},y = \pm 3\sqrt{2},2x = \pm \sqrt{3},x = \pm 2\sqrt{3},y = \pm 2\sqrt{3},y = \pm 3\sqrt{2},d
What is the condition for common root of the two of the equations a_{1}x^{2} + b_{1}x + c_{1} = 0 and a_{2}x^{2} + b_{2}x + c_{2} = 0?,a_{1}x^{2} + b_{1}x + c_{1} = 0 এবং a_{2}x^{2} + b_{2}x + c_{2} = 0 সমীকরণের উভয় মূলই সাধারণ হওয়ার শর্ত-,a_{1}b_{2} = a_{2}b_{1},(a_{1}b_{2} - a_{2}b_{1}) = (c_{1}a_{2} - c_{2}a_{1})^{2},a_{1} + a_{2} = b_{1} + b_{2} = c_{1} + c_{2},\frac{a_{1}}{a_{2}} = \frac{b_{1}}{b_{2}} = \frac{c_{1}}{c_{2}},a_{1}b_{2} = a_{2}b_{1},(a_{1}b_{2} - a_{2}b_{1}) = (c_{1}a_{2} - c_{2}a_{1})^{2},a_{1} + a_{2} = b_{1} + b_{2} = c_{1} + c_{2},\frac{a_{1}}{a_{2}} = \frac{b_{1}}{b_{2}} = \frac{c_{1}}{c_{2}},d
"If y = mx + c is the tangent of the parabola y^{2} = 4ax, then what is the co-ordinate of the tangent point?",y = mx + c রেখাটি y^{2} = 4ax পরাবৃত্তকে স্পর্শ করলে স্পর্শ বিন্দুর স্থানাঙ্ক-,"\left (\frac{a}{m^{2}}, \frac{2a}{m} \right )","\left (\frac{a}{m^{2}}, \frac{m}{2a} \right )","\left (\frac{2a}{m}, \frac{a}{m^{2}} \right )","\left (\frac{m^{2}}{a}, \frac{2a}{m} \right )","\left (\frac{a}{m^{2}}, \frac{2a}{m} \right )","\left (\frac{a}{m^{2}}, \frac{m}{2a} \right )","\left (\frac{2a}{m}, \frac{a}{m^{2}} \right )","\left (\frac{m^{2}}{a}, \frac{2a}{m} \right )",a
"For the parabola, x^{2} = - 12y -
 i. co-ordinate of focus (0, -3)
 ii. equation of the directrix, y - 3 = 0
 iii. equation of latus rectum, y + 3 = 0
 Which one is correct?","x^{2} = - 12y পরাবৃত্তের
 i. উপকেন্দ্রের স্থানাঙ্ক (0, -3)
 ii. নিয়ামকের সমীকরণ y - 3 = 0
 iii. উপকেন্দ্রিক লম্বের সমীকরণ y + 3 = 0
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"25x^{2} - 16y^{2} + 400 = 0 is a hyperbola.
 
 What is the transverse axis and conjugate axis length respectively?","25x^{2} - 16y^{2} + 400 = 0 একটি অধিবৃত্তের সমীকরণ।
 
 অধিবৃত্তটির আড় অক্ষ ও অনুবন্ধী অক্ষের দৈর্ঘ্য যথাক্রমে-","10, 8","8, 10","5, 4","4, 5","10, 8","8, 10","5, 4","4, 5",a
"25x^{2} - 16y^{2} + 400 = 0 is a hyperbola.
 
 Which one of the following is the equation of directrices?","25x^{2} - 16y^{2} + 400 = 0 একটি অধিবৃত্তের সমীকরণ।
 
 নিয়ামক রেখার সমীকরণ কোনটি?",y = \pm \frac{16}{\sqrt{41}},y = \pm \frac{25}{\sqrt{39}},y = \pm \frac{25}{\sqrt{41}},y = \pm \frac{\sqrt{41}}{25},y = \pm \frac{16}{\sqrt{41}},y = \pm \frac{25}{\sqrt{39}},y = \pm \frac{25}{\sqrt{41}},y = \pm \frac{\sqrt{41}}{25},c
"What is the eccentricity of the ellipse, 3x^{2} + 5y^{2} = 15?",3x^{2} + 5y^{2} = 15 উপবৃত্তের উৎকেন্দ্রিকতা হবে-,\sqrt{\frac{3}{5}},\sqrt{\frac{5}{3}},\sqrt{\frac{5}{2}},\sqrt{\frac{2}{5}},\sqrt{\frac{3}{5}},\sqrt{\frac{5}{3}},\sqrt{\frac{5}{2}},\sqrt{\frac{2}{5}},d
"Three forces P, \sqrt{3}P, P acting at a point in equilibrium, then what is the angle of the first two forces?","তিনটি বল P, \sqrt{3}P, P সাম্যবস্থায় থাকলে প্রথম দুটি বলের মধ্যবর্তী কোণের মান কত?",60\degree,90\degree,120\degree,150\degree,60\degree,90\degree,120\degree,150\degree,d
A car is moving with the velocity 8 kmh^{-1}. In which direction an object is thrown from the car with 16 kmh^{-1} that the motion of the object will make right angle with the velocity of the car?,একটি গাড়ি ঘন্টায় 8 কি.মি. বেগে চলছে। গাড়ি থেকে 16 কি.মি. বেগে একটি বস্তুকে কোনদিকে নিক্ষেপ করলে বস্তুর গতিপথ গাড়ির সাথে সমকোণ তৈরি করবে?,30\degree,45\degree,100\degree,120\degree,30\degree,45\degree,100\degree,120\degree,d
"An object is projected with the velocity u at an angle \alpha to the horizon-
 i. the path of a projectile in vacum is a parabola
 ii. if horizontal range R is maximum, then R = \frac{u^{2}}{g}
 iii. time of flight of the object is \frac{usin\alpha}{g}
 Which one is correct?","u গতিবেগে অনুভূমিকের সাথে \alpha কোণে একটি বস্তুকণা প্রক্ষিপ্ত হলে-
 i. বায়ুশূন্য স্থানে বস্তুকণাটির গতিপথ একটি পরাবৃত্ত
 ii. আনুভূমিক পাল্লা R হলে, R = \frac{u^{2}}{g}
 iii. বস্তুকণাটির বিচরণকাল = \frac{usin\alpha}{g}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"If n \epsilon \mathdd{N}, then the value of i^{8n+5}?","n \epsilon \mathdd{N} হলে, i^{8n+5} এর মান কত?",1,-1,i,- i,1,-1,i,- i,c
What is the square root of \frac{1}{3} i?,\frac{1}{3} i এর বর্গমূল কোনটি?,\pm \frac{1}{\sqrt{3}} (1 + i),\pm \frac{1}{\sqrt{3}} (1 - i),\pm \frac{1}{\sqrt{6}} (1 + i),\pm \frac{1}{\sqrt{6}} (1 - i),\pm \frac{1}{\sqrt{3}} (1 + i),\pm \frac{1}{\sqrt{3}} (1 - i),\pm \frac{1}{\sqrt{6}} (1 + i),\pm \frac{1}{\sqrt{6}} (1 - i),c
"For conjugate of a complex number-
 i. \overline{z_{1} + z_{2}} = \overline{z_{1}} + \overline{z_{2}}
 ii. \overline{z} = z
 iii. \overline{z_{1}z_{2}} = \overline{z_{1}}.\overline{z_{2}}
 Which one is correct?","অনুবন্ধী জটিল সংখ্যার ক্ষেত্রে
 i. \overline{z_{1} + z_{2}} = \overline{z_{1}} + \overline{z_{2}}
 ii. \overline{z} = z
 iii. \overline{z_{1}z_{2}} = \overline{z_{1}}.\overline{z_{2}}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"If \omega is the cube root of unity, then what is the value of (1 + \omega - \omega^{2}) (\omega + \omega^{2} - 1) (\omega^{2} + 1 - \omega} = ?","এককের একটি কাল্পনিক ঘনমূল \omega হলে, (1 + \omega - \omega^{2}) (\omega + \omega^{2} - 1) (\omega^{2} + 1 - \omega} এর মান কত?",-8,8,0,1,-8,8,0,1,a
Which of the following is not polynomial?,নিচের কোনটি বহুপদী রাশি নয়?,ax^{2} + 2hxy + by^{2},2x^{2} + 3xy + y^{2},2x^{2} + y^{2} + 2gx + 2fy + c,2x^{2} + \frac{3y}{x} + y^{2},ax^{2} + 2hxy + by^{2},2x^{2} + 3xy + y^{2},2x^{2} + y^{2} + 2gx + 2fy + c,2x^{2} + \frac{3y}{x} + y^{2},d
"\gamma, \delta are two root of the equation x^{2} - 5x + 6 = 0.
 
 Which one of the following is true for the two roots of the above equation?","x^{2} - 5x + 6 = 0 সমীকরণের মূলদ্বয় \gamma, \delta
 
 সমীকরণটির মূলদ্বয়ের ক্ষেত্রে নিচের কোনটি সঠিক?",Two roots are real and equal,Two roots are irrational,Two roots are rational and unequal,Two roots are complex,মূলদ্বয় বাস্তব ও সমান,মূলদ্বয় অমূলদ,মূলদ্বয় মূলদ ও অসমান,মূলদ্বয় জটিল,c
"\gamma, \delta are two root of the equation x^{2} - 5x + 6 = 0.
 
 If \gamma > \delta, then the value of \gamma - \delta = ?","x^{2} - 5x + 6 = 0 সমীকরণের মূলদ্বয় \gamma, \delta
 
 \gamma > \delta হলে \gamma - \delta = কত?",1,3,4,5,1,3,4,5,a
What is the angle made by the latus rectum of the parabola x^{2} + 4x + 2y = 0 with the x-axis?,x^{2} + 4x + 2y = 0 পরাবৃত্তটির উপকেন্দ্রিক লম্ব x-অক্ষের সাথে কত কোণ তৈরি করে?,\frac{\pi}{2},\pi,\frac{\pi}{4},0,\frac{\pi}{2},\pi,\frac{\pi}{4},0,d
"For inverse trigonometric functions-
 i. domain of sin^{-1}x is [-1, 1]
 ii. the range of cos^{-1}x is [0, \pi]
 iii. domain of tan^{-1}x is (-\infty, \infty)
 Which one is correct?","বিপরীত ত্রিকোণমিতিক ফাংশনের ক্ষেত্রে-
 i. sin^{-1}x এর ডোমেন [-1, 1]
 ii. cos^{-1}x এর রেঞ্জ [0, \pi]
 iii. tan^{-1}x এর ডোমেন (-\infty, \infty)
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the value of sincot^{-1} tancos^{-1}x?,sincot^{-1} tancos^{-1}x এর মান কত?,x,x^{2},x^{3},0,x,x^{2},x^{3},0,a
"If cos\theta + sin\theta = \sqrt{2}, then the value of \theta-",cos\theta + sin\theta = \sqrt{2} হলে \theta এর মান-,2n\pi,(2n + 1)\pi,2n\pi + \frac{\pi}{4},(2n - 1)\pi,2n\pi,(2n + 1)\pi,2n\pi + \frac{\pi}{4},(2n - 1)\pi,c
"For inverse trigonometric functions-
 i. sin^{-1}x + sin^{-1}y = sin^{-1} \{x\sqrt{1 - y^{2}} + y\sqrt{1 - x^{2}}\}
 where -1 \leq x, y \leq 1 and x^{2} + y^{2} \leq 1
 ii. cos^{-1}x + cos^{-1}y = cos^{-1} \{xy - \sqrt{(1-x^{2})(1-y^{2})}\}
 where -1 \leq x, y \leq 1 and x + y \geq 1
 iii. tan^{-1}x + tan^{-1}y = tan^{-1} \frac{x + y}{1 - xy}
 where x > 0, y > 0 and 0 \leq xy \leq 1
 Which one is correct?","বিপরীত বৃত্তীয় ফাংশনের ক্ষেত্রে-
 i. sin^{-1}x + sin^{-1}y = sin^{-1} \{x\sqrt{1 - y^{2}} + y\sqrt{1 - x^{2}}\}
 যেখানে -1 \leq x, y \leq 1 এবং x^{2} + y^{2} \leq 1
 ii. cos^{-1}x + cos^{-1}y = cos^{-1} \{xy - \sqrt{(1-x^{2})(1-y^{2})}\}
 যেখানে -1 \leq x, y \leq 1 এবং x + y \geq 1
 iii. tan^{-1}x + tan^{-1}y = tan^{-1} \frac{x + y}{1 - xy}
 যেখানে x > 0, y > 0 এবং 0 \leq xy \leq 1
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
