English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which ion of the following will be freed of charge first during electrolysis?,তড়িৎ বিশ্লষণকালে নিচের কোন আয়নটি আগে চার্জমুক্ত হবে?,NO_{3}^{-},Cl^{-},SO_{4}^{2-},OH^{-},NO_{3}^{-},Cl^{-},SO_{4}^{2-},OH_{-},d
Which of the following is the functional group of nitrite?,নাইট্রাইলের কার্যকরি মূলক কোনটি?,\text{- NO_{2}},\text{- NC},\text{- CN},\text{- NH_{2}},\text{- NO_{2}},\text{- NC},\text{- CN},\text{- NH_{2}},c
"At STP, the volume of a gas is 500mL. What is the volume of that gas at 740 mm(Hg) pressure and 25\degree C temperature?",STP তে কোনো গ্যাসের আয়তন 500mL হলে 740 mm(Hg) চাপে ও 25\degree C তাপমাত্রায় উক্ত গ্যাসের আয়তন কত হবে?,0.76L,0.66L,0.56L,0.46L,0.76L,0.66L,0.56L,0.46L,c
"Which one is oxidant in reaction, Na_{2}S_{2}O_{3} + l_{2} \rightarrow Na_{2}S_{4}O_{6} + Nal.",Na_{2}S_{2}S_{2}O_{3} + I_{2} \rightarrow Na_{2}S_{4}O_{6} + NaI বিক্রিয়ায় কোনটি জারক?,Na_{2}S_{2}O_{3},l_{2},Na_{2}S_{4}O_{6},Nal,Na_{2}S_{2}O_{3},I_{2},Na_{2}S_{4}O_{6},NaI,b
Which gas is freed in cathode during the electrolysis of the aquous solution of edible salt?,খাদ্য লবণের জলীয় দ্রবণকে তড়িৎ বিশ্লেষণ করলে ক্যাথোডে কোন গ্যাসটি মুক্ত হয়?,O_{2},N_{2},Cl_{2},H_{2},O_{2},N_{2},Cl_{2},H_{2},d
R - CH_{2}Br + KOH(aq) \rightarrow Product. What is the mechanism of the reaction?,R - CH_{2}Br + KOH(aq} \rightarrow উৎপাদ বিক্রিয়াটির কৌশল কি?,Electrophilic substitution,Elimination,Nucleophilic substitution,Nucleophilic addition,ইলেকট্রোফিলিক প্রতিস্থাপন,অপসারণ,কেন্দ্রাকর্ষী প্রতিস্থাপন,কেন্দ্রাকর্ষী সংযোজন,c
Which compound can't be used to prepare standard solution for titration?,টাইট্রেশন বিক্রিয়ায় কোন যৌগ দিয়ে প্রমাণ দ্রবণ তৈরি করা যায় না?,KMnO_{4},Na_{2}CO_{3},K_{2}Cr_{2}O_{7},H_{2}C_{2}O_{4}. 2H_{2}O,KMnO_{4},Na_{2}CO_{3},K_{2}Cr_{2}O_{7},H_{2}C_{2}O_{4}.2H_{2}O,a
"R - CONH_{2} + Br_{2} + KOH \rightarrow 'X' (Main Product)
Compound 'X' is-",R - CONH_{2} + Br_{2} + KOH \rightarrow 'X' (প্রধান উৎপাদ 'X' যৌগটি হলো-,Alcohol,Amine,Aldehyde,Ether,অ্যালকোহল,অ্যামিন,অ্যালডিহাইড,ইথার,b
CH_{3} - C \equiv C - H + H_{2} \overset{Pd - BaSO_{4}}{\rightarrow} A_{9} the formula of compound 'A' is-,CH_3-C\equiv C-H + H_{2} \frac{Pb-BaSO_{4}}{ }\rightarrow A; A যৌগটির সংকেত -,CH_{3} - CH_{2} - CH_{3},CH_{3} - CH = CH_{2},CH_{3} - CH_{2} - COOH,CH_{3} - CH(OH) - CH_{3},CH_3-CH_{2}-CH_3,CH_3-CH=CH_W,CH_3-CH_{2}-COOH,CH_3-CH(OH)-CH_3,b
What will be the concentration of 0.5M HNO_{3} in ppm unit?,0.5 HNO_{3} এর ঘনমাত্রা ppm এককে কত?,31500,41500,53500,63500,31500,41500,53500,63500,a
Na_{2}S_{2}O_{3} + l_{2} \rightarrow product; in this reaction-,Na_2S_2O_{3} + I_2 \rightarrow উৎপাদ; এই বিক্রিয়ায়-,Na_{2}S_{2}O_{3} is an oxidizing agent,l_{2} is reduced,oxidation number of l_{2} has increased,oxidation number of 'S' has decreased,Na_2S_2O_{3} জারক,I_2 এর বিজারণ ঘটেছে,আহোডিনের জারণ মানের বৃদ্ধি হয়েছে,S এর জারণ মান হ্রাস পেয়েছে,b
What is the concentration of 12% (w/v) Na_{2}CO_{3} solution in morality?,12% (w/v) Na_2CO_{3} দ্রবণের ঘনমাত্রা মোলারিটিতে কত?,1.13,1.31,0.11,1.2,1.13,1.31,0.11,1.2,a
What is the oxidation number of the central atom of perchloric acid?,পারক্লোরিক এসিডের কেন্দ্রিয় পরমাণুর জারণ সংখ্যা কত?,{+1},{+3},{+5},{+7},{+1},{+3},{+5},{+7},d
The mixture that is used to identity primary amine-,প্রাইমারি অ্যামিন শনাক্তকরণে ব্যবহৃত হয়-,CHCl_{3} + KOH,Br{2} + KOH,Cu(OH)_{2} + NaOH,KMnO_{4} + KOH,CHCl_{3} + KOH,Br_{2} + KOH,Cu(OH)_2 + NaOH,KMnO_{4} + KOH,a
The solution of surcose is-,সুক্রোজের দ্রবণটি-,electrolyte,non electrolyte,electronic conductor,non metalic conductor,তড়িৎবিশ্লেষ্য,তড়িৎঅবিশ্লেষ্য,ইলেকট্রনীয় পরিবাহী,অধাতব পরিবাহী,b
The electro chemicall equivalent of which of the following is highest?,কোনটির তড়িৎ রাসায়নিক তুল্যাঙ্ক সবচেয়ে বেশি?,Cu,Ag,Zn,Fe,Cu,Ag,Zn,Fe,b
Which compound shows tautomerism?,কোন যৌগটি টটোমারিতা প্রদর্শন করে?,But-2-ene,Di ethyl ether,Propanone,Ethanal,বিউট-2-ইন,ডাইইথাইল ইথার,প্রোপানোন,ইথান্যাল,c
Which one is not Huckel number?,কোনটি হাকেল সংখ্যা নয়?,2,4,6,10,2,4,6,10,b
"Characteristics criteria of ideal gas are-
i. PV = nRT
ii. \left (\frac{du}{dv}  \right )_{T} = 0
iii. at STP molar volume is 22.414L
Which one is correct?","আদর্শ গ্যাসের বৈশিষ্ট্যসূচক মানদণ্ড হলো-
 i. PV = nRT
 ii. (du/dv)T = 0
 iii. STP তে মোলার আয়তন 22.414L
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"The solutions that are used differentiate ethene and ethyne-
i. [Ag(NH_{3})_{2}]NO_{3}
ii. [Cu(NH_{3})_{2}]Cl
iii. Br_{2} + CCl_{4}
Which one is correct?","ইথিন ও ইথাইনের পার্থক্যকরণে ব্যবহৃত দ্রবণ- 
 i. [Ag(NH_{3})_2]NO_{3} 
 ii. [Cu(NH_{3})_2]Cl 
 iii. Br_{2} + CCl_4
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which ion will be discharged on the cathode first?,কোন আয়নটি ক্যাথোডে সবার আগে চার্জমুক্ত হবে?,Ni^{2+},Cu_{2+},Zn_{2+},Na_{+},Ni^{2+},Cu^{2+},Zn^{2+},Na^+,b
"if 3000C of electricity is passed through AgNO_{3} solution, how many gms of Ag will be deposited on the cathode? [Ag = 108]","AgNO_{3} দ্রবণের মধ্যে 3000C বিদ্যুৎ চালনা করলে ক্যাথোডে কত 
 গ্রাম Ag সঞ্চিত হবে? [Ag = 108]",3.3575,2.3575,0.3357,0.2357,3.3575,2.3575,0.3357,0.2357,a
The method of decreasing carbon number from carbon chain of an organic compound is-,"জৈব যৌগের কার্বন শিকলে কার্বন সংখ্যা হ্রাস করার পদ্ধতি 
 হলো-",Wurtz reaction,Carbylamine reaction,Decarbonylation reaction,Williumson reaction,উর্টজ বিক্রিয়া,কার্বিল অ্যামিন বিক্রিয়া,ডিকার্বক্সিলেশন বিক্রিয়া,উইলিয়ামসন বিক্রিয়া,c
Which one is correct?,কোনটি সঠিক?,E\degree cell = E\degree anode(ox) + E\degree cathode(ox),E\degree cell = E\degree anode(red) - E\degree cathode(red),E\degree cell = E\degree anode(ox) + E\degree cathode(red),E\degree cell = E\degree anode(ox) - E\degree anode(red),E^o_ {কোষ} = E^o_{অ্যানোড (জারণ)} + E^o_{ক্যাথোড (জারণ)},E^o_ {কোষ} = E^o_{অ্যানোড (জারণ)} - E^o_{ক্যাথোড (বিজারণ)},E^o_ {কোষ} = E^o_{অ্যানোড (জারণ)} + E^o_{ক্যাথোড (বিজারণ)},E^o_ {কোষ} = E^o_{অ্যানোড (জারণ)} - E^o_{ক্যাথোড (বিজারণ)},c
"Aldehyde + Fehling solution \rightarrow Red (ppt).
The reaction is-",অ্যালডিহাইড + ফেহলিং দ্রবণ => লাল অধঃক্ষেপ; বিক্রিয়াটি-,substitution reaction,addition reaction,oxidation-reduction reaction,elimination reaction,প্রতিস্থাপন বিক্রিয়া,সংযোজন বিক্রিয়া,জারণ-বিজারণ বিক্রিয়া,অপসারণ বিক্রিয়া,c
How many Fardays of electricity is required to pass through fused AlCl_{3} to deposit 54gm of Al on the cathode?,গলিত AlCl_{3} এর মধ্যে কত ফ্যারাডে তড়িৎ প্রবাহিত করলে ক্যাথোডে 54 গ্রাম Al সঞ্চিত হবে?,1,3,6,9,1,3,6,9,c
"The unit of conductance is-
i. mho
ii. ohm^{-1}
iii. Siemens
Which one is correct?","পরিবাহিতার একক হলো- 
 i. mho
 ii. ohm^{-1}
 iii. Siemens
নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What would be the change in volume if the temperature and pressure of a gas were doubled?,কোনো গ্যাসের তাপমাত্রা ও চাপ দ্বিগুণ করা হলে আয়তনের কি পরিবর্তন হবে?,Double,No change,Four fold,Halves,দ্বিগুণ হবে,কোনো পরিবর্তন হবেনা,চারগুণ হবে,অর্ধেক হবে,b
In which one of the following Nitrogen shows highest Oxidation number?,কোন যৌগের অণুতে নাইট্রোজেন সর্বোচ্চ জারণ অবস্থা,NH_{2}OH,N_{2}H_{4},NH_{3},N_{3}H,NH_{2}OH,N_{2}H_{4},NH_{3},N_{3}H,d
"The standard reduction potential value Ag^{+}/Ag and Au^{3+}/Au half cells are + 0.80V an + 1.56V respectively.
Now what will be the cell potential?",Ag^{+}/Ag এবং Au^{3+}/Au অর্ধকোষদ্বয়ের প্রমাণ বিজারণ বিভব +0.80V এবং +1.56V । এ দুটি অর্ধকোষ দ্বারা গঠিত কোষের বিভব কত?,\text{+0.76V},\text{-0.76V},\text{+2.36V},\text{-2.36V},\text{+0.76V},\text{-0.76V},\text{+2.36V},\text{-2.36V},a
"For oxidizing both organic and inorganic pollutant, the amount of O_{2} indicates-",জৈব ও অজৈব উভয় ধরণের দূষণ জারণের জন্য O_{2} এর পরিমাণ নির্দেশ করে-,pH,DO,COD,BOD,pH,DO,COD,BOD,c
"In 3H_{2}S + 2HNO_{3} \rightarrow 2NO +3S + 4H_{2}O
reaction, the role H_{2}S is-",3H_{2}S + 2HNO_{3} \rightarrow 2NO + 3S + 4H_{2}O বিক্রিয়াটিতে H_{2}S এর ভূমিকা কী?,Titrant,Titrate,Oxidant,Reductant,টাইট্রান্ট,টাইট্রেট,জারক,বিজারক,d
"If at 18\degree temperature 0.8 atm pressure the density of a gas is 2.25 g/L, then what is its molecular mass?","180\degree C তাপমাত্রায় 0.8 atm চাপে কোনো গ্যাসের ঘনত্ব 2.25 g/L, এর আণবিক ভর কত?",67.11 g/mol,36.24 g/mol,24.36 g/mol,23.63 g.mol,67.11 g/mol,36.24 g/mol,24.36 g/mol,23.63 g/mol,a
Which one is more reactive in case of electrophilic addition reaction?,ইলেকট্রোফিলিক যুত বিক্রিয়ায় কোন যৌগ বেশি সক্রিয়?,Pentyne,Pentanal,Butanol,Butene,পেন্টাইন,পেন্টান্যাল,বিউটানল,বিউটিন,d
Used as semiconductor is-,সেমিকন্ডাক্টর হিসেবে ব্যবহৃত হয়-,Ge,Zn,Cu,Al,Ge,Zn,Cu,Al,a
"Fe^{2+} + MnO_{4}^{-} + H^{+} \rightarrow Fe^{3+} + MN^{2+} + H_{2}O
In these Redox reaction-
i. Fe^{2+} is a oxidant
ii. in MnO_{4}^{-}, Mn^{2+} undergoes reductant
iii. 5 electrons are received
Which one is correct?","Fe^{2+} + MnO_{4}^{-} + H^{+} \rightarrow Fe^{3+} + Mn^{2+} + H_{2}O; এ রেডক্স বিক্রিয়ার ক্ষেত্রে-
 i. Fe^{2+} একটি জারক
 ii. MnO_{4}^{-} এর Mn^{7+} আয়ন বিজারিত হয়েছে
 iii. 5টি ইলেকট্রন গ্রহন করেছে
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which one is the stability order of carbanion?,কার্বানায়নের সুস্থিতির ক্রম কোনটি?,3\degree > 2\degree > 1\degree,1\degree > 2\degree > 3\degree,1\degree > 3\degree > 2\degree,2\degree > 1\degree > 3\degree,3\degree > 2\degree > 1\degree,1\degree > 2\degree > 3\degree,1\degree > 3\degree > 2\degree,2\degree > 1\degree > 3\egree,b
Which one is strong acid?,কোনটি তীব্র এসিড?,HNO_{3},HNO_{2},H_{2}SO_{4},H_{2}SO_{3},HNO_{3},HNO_2,H_{2}OSO_{4},H_{2}SO_{3},c
What is the mass of one Oxygen atom?,একটি অক্সিজেন পরমাণুর ভর কত?,2.66 \times 10^{-23}g,3.76 \times 10^{-23}g,1.33 \times 10^{-22}g,1.88 \times 10^{-22}g,2.66 \times 10^{-23}g,3.76 \times 10^{-23}g,1.33 \times 10^{-22}g,1.88 \times 10^{-22}g,a
Which one indicates oxidation half cell?,নিচের কোন তড়িৎদ্বার জারণ অর্ধকোষ বোঝায়?,Zn^{2+}/Zn,Zn/Zn^{2+},Cu^{2+}/Cu,H^{+}/H_{2}.Pt,Zn^{2+}/Zn,Zn/Zn^{2+},Cu^{2+}/Cu,"H^{+}/H_{2}, Pt",b
In which compound nitrile functional group is present?,নিচের কোন যৌগে 'নাইট্রাল' কার্যকরী মূলকটি বিদ্যমান?,CH_{3}NH_{2},CCl_{3}NO_{2},CH_{3}CN,NH_{4}CNO,CH_{3}NH_{2},CCl_{3}NO_{2},CH_{3}CN,NH_{4}CNO,c
Unit of molarity solution is-,দ্রবণের মোলারিটির একক হচ্ছে-,g/L,mol/L,mol/kg,N/V,g/L,mol/L,mol/kg,N/V,b
Which one can be identify by using carbyle amine test?,কার্বিল অ্যামিন পরীক্ষা দ্বারা নিচের কোনটি শনাক্ত করা যায়?,Chloroform,Secondary amine,Tartiary amine,Nitrobenzene,ক্লোরোফরম,সেকেন্ডারি অ্যামিন,টারসিয়ারি অ্যামিন,নাইট্রোবেনজিন,a
"i) NH_{3} + HCO_{3} \rightleftharpoons NH_{4}^{+} + Co_{3}^{2-}
ii) HCO_{3}^{-} + H_{2}O \rightleftharpoons H_{2}CO_{3} + OH^{-}
Which one of the following is amphoteric substance?","(i) NH_{3} + HCO_{3}^{-} \rightleftharpoons NH^{+}_{4} + CO_{3}^{2-}
 (ii) HCO_{3}^{-} + H_{2}O \rightleftharpoons H_{2}CO_{3} + OH^{-}
 
 উদ্দীপকের কোনটিকে উভধর্মী পদার্থ বলা যায়?",NH_{3},H_{2}O,CO_{3}^{2-},HCO_{3}^{-},NH_{3},H_{2}O,CO_{3}^{2-},HCO_{3}^{-},d
"i) NH_{3} + HCO_{3} \rightleftharpoons NH_{4}^{+} + Co_{3}^{2-}
ii) HCO_{3}^{-} + H_{2}O \rightleftharpoons H_{2}CO_{3} + OH^{-}
Main difference between reaction (i) and (ii) is-
i. aqueaous solution
ii. pH
iii. H^{+}","(i) NH_{3} + HCO_{3}^{-} \rightleftharpoons NH^{+}_{4} + CO_{3}^{2-}
(ii) HCO_{3}^{-} + H_{2}O \rightleftharpoons H_{2}CO_{3} + OH^{-}
 
 (i) ও (ii) নং বিক্রিয়ার মূল পার্থক্য হল-
 i. জলীয় দ্রবণ
 ii. pH
 iii. H^{+}
 নিচের কোনটি সঠিক?",i,ii,iii,"i, ii & iii",i,ii,iii,"i, ii ও iii",c
Which one of the following has highest rate of diffusion?,নিচের কোন গ্যাসটির ব্যাপন হার সর্বাধিক?,NH_{3},CH_{4},SO_{2},CO_{2},NH_{3},CH_{4},SO_{2},CO_{2},b
How many \pi (pie) electrons are present in anthracin molecule?,অ্যানথ্রাইসিন অণুতে \pi (পাই) ইলেকট্রন সংখ্যা কত?,6,10,14,16,6,10,14,16,c
"In case of molar solution-
i. it is a standard solution
ii. concentration of solutions is 1
iii. in 1L solution 0.1 mol substance mol dissolve
Which one is correct?","মোলার দ্রবণের ক্ষেত্রে প্রযোজ্য-
 i. এটি একটি প্রমাণ দ্রবণ
 ii. দ্রবণের ঘনমাত্রা 1M
 iii. 1L দ্রবণের 0.1 মোল পরিমাণ পদার্থ দ্রবীভূত থাকে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
What will be the required time for depositing 1.61g Ag when 1.2 amp electricity i passed through AgNO_{3} solution?,AgNO_{3} দ্রবণে 1.2 amp বিদ্যুৎ কতক্ষণ চালনা করলে 1.61 g Ag জমা হবে?,40 min,30 min,25 min,20 min,40 min,30 min,25 min,20 min,d
At constant pressure the velocity of a gas to its density is-,স্থির চাপে গ্যাসের গতিবেগ ঘনত্বের-,proportional,inversely proportional,proportional to the square,inversely proportional to the square root,সমানুপাতিক,ব্যস্তানুপাতিক,বর্গের সমানুপাতিক,বর্গমূলের ব্যস্তানুপাতিক,d
1g of which gas will occupy maximum volume at STP?,STP-তে কোন গ্যাসের 1g সবচেয়ে বেশি আয়তন দখল করবে?,H_{2},N_{2},O_{2},Ar,H_{2},N_{2},O_{2},Ar,a
"Lewis acids of the following-
i. SO_{2}
ii. CO_{2}
iii. Ag^{+}
Which one is correct?","লুইস এসিডগুলো হলো-
 i. SO_{2}
 ii. CO_{2}
 iii. Ag^{+}
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
Which of the following is stability order of carbanion?,কার্বানায়নের সুস্থিতির ক্রম কোনটি?,3\degree > 2\degree > 1\degree carbanion,1\degree > 2\degree > 3\degree carbanion,1\degree > 3\degree > 2\degree carbanion,2\degree > 1\degree > 3\degree carbanion,3\degree > 2\degree > 1\degree কার্বানায়ন,1\degree > 2\degree > 3\degree কার্বানায়ন,1\degree > 3\degree > 2\degree কার্বানায়ন,2\degree > 1\degree > 3\egree কার্বানায়ন,b
RMgX + CH_{3}COCH_{3} \rightarrow A \xrightarrow[H^{+}]{H_{2}O}B; What is B?,RMgX + CH_{3}COCH_{3} \rightarrow A \xrigharrow[H^{+}]{H_{2}O} B; B যৌগটি কী?,Organic acid,3\degree alcohol,2\degree alcohol,1\degree alcohol,জৈব এসিড,3\degree অ্যালকোহল,2\degree অ্যালকোহল,1\degree অ্যালকোহল,b
What is the oxidation number of the central atom of K_{2}MnO_{4}?,K_{2}MnO_{4} এ কেন্দ্রীয় পরমাণুর জারণ মান কত?,\text+5,\text+6,\text+7,\text+4,\text{+ 5},\text{+ 6},\text{+ 7},\text{+ 4},b
Which one is the nucleophile?,নিচের কোনটি নিউক্লিওফাইল?,CH_{3}CH_{2}OH,FeCl_{3},SO_{3},BF_{3},CH_{3}CH_{2}OH,FeCl_{3},SO_{3},BF_{3},a
Which test is applicable to differentiate between methanol and ethanol?,কোন পরীক্ষা দ্বারা মিথানল ও ইথানলের মধ্যে পার্থক্য করা যায়?,Iodoform,Carbyl-amine,Bayar,Lucus reagent,আয়োডোফর্ম,কার্বিল-অ্যামিন,বেয়ার,লুকাস,a
How many silver atom will be accumulated at cathode when 160 mA current is passed through AgNO_{3} solution for 40 minutes?,"বিকারক- \circ --
 সিলভার নাইট্রেট দ্রবণের মধ্যদিয়ে 160mA বিদ্যুৎ 40 min ধরে চালনা করলে ক্যাথোডে কতটি সিলভার পরমাণু জমা হবে?",2.396 \times 10^{21},6.023 \times 10^{23},6.505 \times 10^{25},2.584 \times 10^{23},2.396 \times 10^{21},6.023 \times 10^{23},6.505 \times 10^{25},2.584 \times 10^{23},a
How mole of Ferrous sulphate will be oxidized by half mole of KMnO_{4} in acidic medium?,অম্লীয় মাধ্যমে \frac{1}{2} মোল KMnO_{4} কত মোল ফেরাস সালফেটকে জারিত করতে পারবে?,10,6,5,2.5,10,6,5,2.5,d
"H_{2}O + HCl \rightarrow Cl^{-1} + H_{3}O^{+}, in this reaction-
i. Cl^{-1} is the conjugate base of HCl
ii. H_{2}O is an acid
iii. H_{3}O^{+} is a conjugate acid
Which one is correct?","H_{2}O + HCl \rightarrow Cl^{-} + H_{3}O^{+}; বিক্রিয়াটিতে-
 i. HCl এর অনুবন্ধী ক্ষারক হলো Cl^{-}
 ii. H_{2}O একটি এসিড
 iii. H_{3}O^{+} একটি অনুবন্ধী এসিড
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iiii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
"Iodoform is formed when reacts with NaOH and l_{2}-
i. C_{2}H_{5}OH
ii. C_{2}H_{5}COCH_{3}
iii. C_{2}H_{5}CHO
Which one is correct?","NaOH ও I_{2} এর সাথে বিক্রিয়ায় আয়োডফর্ম গঠন করে-
 i. C_{2}H_{5}OH
 ii. C_{2}H_{5}COCH_{3}
 iii. C_{2}H_{5}CHO
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iiii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
Which one is correct regarding the purity standard of water?,পানির বিশুদ্ধতার মানদণ্ড সম্পর্কে কোনটি সঠিক?,Do increases as temperature increase,COD is greater than BOD,BOD decreases as DO decrease,Pollution decreases as COD increase,তাপমাত্রা বৃদ্ধিতে DO বৃদ্ধি পায়,COD এর মান BOD অপেক্ষা বেশি হয়,DO হ্রাস পেলে BOD হ্রাস পায়,COD বৃদ্ধি পেলে দূষণ হ্রাস পায়,b
Calculate the concentration of 200 mL 10% HCl in ppm unit.,200mL 10% HCl দ্রবণের ঘনমাত্রা ppm এককে কত?,5 \times 10^{4},1 \times 10^{5},5.48,2.74,5 \times 10^{4},1 \times 10^{5},5.48,2.74,b
Propyne + H_{2} \overset{A}{\rightarrow} propene; A is-,প্রোপাইন + H_{2} \xrightarrow{A} প্রোপিন; A হলো-,Ni + 180\degree C,Zn + conc HCl,Pd + BaSO_{4},Pb + BaSO_{4},Ni + 180\degree C,Zn + গাঢ় HCl,Pd + BaSO_{4},Pb + BaSO_{4},c
The pH range of methyl red's color change-,মিথাইল রেড এর বর্ণ পরিবর্তনের pH সীমা-,10 - 4,10 - 8,7 - 4,1 - 3,10 - 4,10 - 8,7 - 4,1 - 3,c
"Toluene + [O]\xrightarrow[KOH]{KmnO_{4}}A\overset{NaOH}{\rightarrow}B\xrightarrow[CaO]{NaOH}C
Applicable for A is-
i. a benzaldehyde
ii. substitute is meta indicator
iii. less reactive than C in nitration reaction
Which one is correct?","টলুইন + [O] \xrightarrow[KOH]{KMnO_{4}} A \xrightarrow{NaOH} B \xrightarrow[CaO]{NaOH} C
 
 A যৌগটির জন্য যা প্রযোজ্য-
 i. এটি বেনজালডিহাইড
 ii. এটির প্রতিস্থাপক মেটা নির্দেশক
 iii. নাইট্রেশন বিক্রিয়ায় C অপেক্ষা কম সক্রিয়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
"Toluene + [O]\xrightarrow[KOH]{KmnO_{4}}A\overset{NaOH}{\rightarrow}B\xrightarrow[CaO]{NaOH}C
The characteristics of compound C are-
i. shows special types of unsaturation
ii. not oxidized by KMnO_{4}
iii. it is a solid compound
Which one is correct?","টলুইন + [O] \xrightarrow[KOH]{KMnO_{4}} A \xrightarrow{NaOH} B \xrightarrow[CaO]{NaOH} C
 
 C যৌগের বৈশিষ্ট্য হলো-
 i. বিশেষ ধরনের অসম্পৃক্ততা দেখায়
 ii. KMnO_{4} দ্বারা জারিত হয় না
 iii. এটি কঠিন পদার্থ
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
"The standard oxidation potential of Li, Na, Zn and Cu is + 3.04 V, +2.71 V, + 0.76 V and - 0.34 V respectively, which cation will charge free at first during electrolysis?","Li, Na, Zn ও Cu এর প্রমাণ জারণ বিভব যথাক্রমে + 3.04V, + 2.71V, +0.76V ও -0.34V হলে তড়িৎ বিশ্লেষণের সময় কোন আয়নটি সর্বপ্রথম চার্জমুক্ত হবে?",Cu^{2+},Zn^{2+},Na^{+},Li^{+},Cu^{2+},Zn^{2+},Na^{+},Li^{+},a
"Ni(s) + 2Ag^{+}(aq) \overset{2e^{-}} {\rightarrow}Ni^{2+}(aq) + 2Ag(s); in this reaction-
i. Ni becomes oxidized
ii. Ag becomes oxidized
iii. A redox reaction
Which one is correct?","Ni(s) + 2Ag^{+}(aq) \xrightarrow{2e^{-}} Ni^{2+}(aq) + 2Ag(s); বিক্রিয়াটিতে-
 i. Ni জারিত হয়
 ii. Ag জারিত হয়
 iii. বিক্রিয়াটি একটি রিডক্স বিক্রিয়া
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
Which one of the following compound will show optical isomerism?,নিচের কোন যৌগ আলোক সমাণুতা দেখাবে?,H_{2}N - CH_{2} - COOH,H_{2}N - CH(CH_{3}) - COOH,CH_{3} - CHOH - CH_{3},CH_{3} - CH _{2} - COOH,H_{2}N - CH_{2} - COOH,H_{2}N - CH(CH_{3}) - COOH,CH_{3} - CHOH - CH_{3},CH_{3} - CH_{2} - COOH,b
"CH_{3}CH = CH_{2} + HBr \overset{R_{2}O_{2}}{\rightarrow}A(main) + B(secondary)
Compound A is-
i. 2 bromo propane
ii. 1 bromo propane
iii. formed by free radical mechanism
Which one is correct?","CH_{3}CH = CH_{2} + HBr \xrightarrow{R_{2}O_{2}} A (প্রধান) + B (গৌণ); A যৌগটি-
 i. 2-ব্রোমো প্রোপেন
 ii. 1-ব্রোমো প্রোপেন
 iii. ফ্রি রেডিক্যাল কৌশলে তৈরি হয়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
Which compound will produce when propanal is reduced by Zn - Hg and cons. HCl?,প্রোপান্যালকে Zn - Hg ও গাঢ় HCl দ্বারা বিজারিত করলে নিচের কোন যৌগ উৎপন্ন হয়?,Ethanol,Propanol-1,Propane,Propanoic acid,ইথানল,প্রোপানল-১,প্রোপেন,প্রোপানয়িক এসিড,c
"X(s) + Y^{2+}(aq)\rightleftharpoons X^{2+}(aq)+Y(s)
E\degree X^{2+}(aq)/X(s) = - 0.62 V
E\degree Y^{2+}(aq)/Y(s) = 0.20 V
What is emf of the stem cell?","X(s) + Y^{2+}(aq) \rightleftharpoons X^{2+}(aq) + Y(s)
 E^{0}_{x^{2+}(aq)/X(s)} = -0.62 V
 E^{0}_{Y^{2+}(aq)/Y(s)} = 0.20 V
 
 উদ্দীপকের কোষটির কোষ-বিভব কত?",\text{+ 0.82V},\text{- 0.82V},\text{+ 0.42V},\text{- 0.42V},\text{+ 0.82V},\text{- 0.82V},\text{+ 0.42V},\text{- 0.42V},a
